"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"ECO-ZR06FC","title","ECO-ZR06FC","0","0","0","1","0"
"ECO-ZR06FC","application","2","0","0","0","1","0"
"ECO-ZR06FC","indoor","0","0","0","0","1","0"
"ECO-ZR06FC","outdoor","1","0","0","0","1","0"
"ECO-ZR06FC","coolingMode7c12c","0","0","0","0","1","0"
"ECO-ZR06FC","coolingMode18c23c","0","0","0","0","1","0"
"ECO-ZR06FC","colderClimate","0","0","0","0","1","0"
"ECO-ZR06FC","warmerClimate","0","0","0","0","1","0"
"ECO-ZR06FC","reversibility","1","0","0","0","1","0"
"ECO-ZR06FC","colderForHeating","0","0","0","0","1","0"
"ECO-ZR06FC","warmerForHeating","0","0","0","0","1","0"
"ECO-ZR06FC","en145112Certification","0","0","0","0","1","0"
"ECO-ZR06FC","heatSource","0","0","0","0","1","0"
"ECO-ZR06FC","additionalOutdoorAir","0","0","0","0","1","0"
"ECO-ZR06FC","additionalExhaustAir","0","0","0","0","1","0"
"ECO-ZR06FC","additionalIndoorAir","0","0","0","0","1","0"
"ECO-ZR06FC","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"ECO-ZR06FC","powerSupply","2","0","0","0","1","0"
"ECO-ZR06FC","offPeakProduct","0","0","0","0","1","0"
"ECO-ZR06FC","EN14511_2_001","18.06","4","10","0","2","0"
"ECO-ZR06FC","EN14511_2_001","17.60","5","10","0","2","0"
"ECO-ZR06FC","EN14511_2_002","3.77","4","10","0","2","0"
"ECO-ZR06FC","EN14511_2_002","5.57","5","10","0","2","0"
"ECO-ZR06FC","EN14511_2_003","4.79","4","10","0","2","0"
"ECO-ZR06FC","EN14511_2_003","3.16","5","10","0","2","0"
"ECO-ZR06FC","EN14511_4_003","2","0","10","0","2","0"
"ECO-ZR06FC","EN14511_4_004","2","0","10","0","2","0"
"ECO-ZR06FC","EN14511_4_005","2","0","10","0","2","0"
"ECO-ZR06FC","EN14511_4_006","2","0","10","0","2","0"
"ECO-ZR06FC","EN12102_1_002","70","4","3","0","2","0"
"ECO-ZR06FC","EN12102_1_002","70","5","3","0","2","0"
"ECO-ZR06FC","EN14825_001","206","4","3","0","2","0"
"ECO-ZR06FC","EN14825_001","148","5","3","0","2","0"
"ECO-ZR06FC","EN14825_002","16.20","4","3","0","2","0"
"ECO-ZR06FC","EN14825_002","14.20","5","3","0","2","0"
"ECO-ZR06FC","EN14825_003","5.22","4","3","0","2","0"
