Manufacturer,Model,Type,Modus,Refrigerant,Mass of Refrigerant [kg],Date,SPL indoor [dBA],SPL outdoor [dBA],Prated [kW],PSB [W],Guideline,Climate,P_el_n [W],P_th_max [W],k1,k2,k3,k4,k5,k6,k7,k8,k9,Group
Advantix ,i-SHWAK V4 06,Outdoor Air/Water,Inverter,R410a,2.68,2020-05-26,35.0,64.0,4.0,11,EN 14825,average,1978,4500,-0.0535503520951751,-0.024223476564205683,2.92228215227116,-0.03702968402592796,0.011927709206512352,0.3198795890553267,0.14163714685839135,-0.04259416053306359,4.8621942543196806,1.0
Advantix ,i-SHWAK V4 08,Outdoor Air/Water,Inverter,R410a,2.2,2020-05-26,35.0,64.0,5.0,11,EN 14825,average,2099,5000,-0.03312063692342099,-0.003651763939091224,2.200717931932159,-0.033174463768205015,0.013949786570964708,0.2346095779856433,0.14561100860024606,-0.03924362794603907,4.8068611811176165,1.0
Advantix ,i-SHWAK V4 10,Outdoor Air/Water,Inverter,R410a,3.45,2020-05-26,39.0,64.0,6.0,11,EN 14825,average,2432,5500,-0.023161609306527414,-0.01698524280395072,2.7825320374426656,-0.033219410257712995,0.013448012721055462,0.26470384552926474,0.16995760340577873,-0.07305189894186788,6.208807414610039,1.0
Advantix ,i-SHWAK V4 12,Outdoor Air/Water,Inverter,R410a,3.45,2020-05-26,39.0,65.0,7.0,11,EN 14825,average,2711,6700,-0.025771492262202232,0.0028069458641168947,2.119310868650492,-0.028690877657214918,0.013834256744141123,0.2271801409854388,0.12311116617431875,-0.07741840166667187,6.435368475681724,1.0
Advantix ,i-SHWAK V4 14,Outdoor Air/Water,Inverter,R410a,4.4,2020-05-26,40.0,68.0,9.0,11,EN 14825,average,3880,9300,-0.05310172072167208,-0.01047850463951977,2.3115185370351017,-0.0384442666726405,0.01150035044176405,0.2931285824627323,0.15713051832787067,-0.05966991310390725,5.518696448799263,1.0
Advantix ,i-SHWAK V4 14T,Outdoor Air/Water,Inverter,R410a,4.4,2020-05-26,40.0,68.0,9.0,11,EN 14825,average,3880,9300,-0.05310172072167208,-0.01047850463951977,2.3115185370351017,-0.0384442666726405,0.01150035044176405,0.2931285824627323,0.15713051832787067,-0.05966991310390725,5.518696448799263,1.0
Advantix ,i-SHWAK V4 16,Outdoor Air/Water,Inverter,R410a,4.6,2020-05-26,40.0,68.0,9.0,11,EN 14825,average,3843,9100,-0.02349015513929305,-0.0021330685515938527,2.1559300945110538,-0.032627184384432684,0.016423906659771875,0.15621325731558694,0.16314167537677576,-0.04730672678430349,5.150172869391708,1.0
Advantix ,i-SHWAK V4 16T,Outdoor Air/Water,Inverter,R410a,4.6,2020-05-26,40.0,68.0,9.0,11,EN 14825,average,3843,9100,-0.02349015513929305,-0.0021330685515938527,2.1559300945110538,-0.032627184384432684,0.016423906659771875,0.15621325731558694,0.16314167537677576,-0.04730672678430349,5.150172869391708,1.0
Airwell Residential,PAC BT MB 10KW H11,Outdoor Air/Water,Inverter,R410a,3.6,2018-07-30,,67.0,11.0,17,EN 14825,average,3321,9700,-0.10150094590575877,0.01820187311642504,1.314176990372142,-0.04328395452542122,0.021449563437262342,-0.060466034295853927,0.10380456288843028,-0.054904984726921284,5.534042879878394,1.0
Airwell Residential,PAC BT MB 12KW H11,Outdoor Air/Water,Inverter,R410a,3.6,2018-07-30,,,11.0,17,EN 14825,average,3904,9700,-0.12378922171398887,-0.015113562576777604,2.4672633257924863,-0.04631805926119906,0.011826191140450087,0.2328868114958381,0.1148683280460124,-0.0941987305401378,7.212292214156132,1.0
