manufacturers,models,titels,dates,types,refrigerants,mass_of_refrigerants,spl_indoor,spl_outdoor,eta,p_rated,scop,t_biv,tol,p_th_minus7,cop_minus7,p_th_2,cop_2,p_th_7,cop_7,p_th_12,cop_12,p_th_tbiv,cop_tbiv,p_th_tol,cop_tol,rated_airflows,wtols,poffs,ptos,psbs,pcks,supply_energy,supp_energy_types,p_sups,p_design_cools,seers,pdcs_35,eer_35,pdcs_30,eer_30,pdcs_25,eer_25,pdcs_20,eer_20,temperatures
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 6 MR + MHC/EM 4-8 R32 + HPSL180 EVO,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,58,178,6.50,4.52,-10,-10,5.90,3.16,3.50,4.48,2.25,5.61,2.50,6.92,6.60,2.68,6.60,2.68,,60,12,12,12,0,Electricity,0,0.00,6.50,4.01,6.50,3.09,4.90,3.99,3.10,4.55,1.37,3.96,low
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 6 MR + MHC/EM 4-8 R32 + HPSL180 EVO,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,58,132,6.00,3.38,-7,-10,5.50,2.22,3.40,3.37,2.10,4.07,2.50,6.58,5.50,2.22,5.30,1.82,,60,12,12,12,0,Electricity,0,0.70,7.00,6.49,7.00,5.14,5.39,6.65,3.32,4.93,1.78,12.82,high
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 6 MR + MHC/H 4-8 R32,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,58,178,6.50,4.52,-10,-10,5.90,3.16,3.50,4.48,2.25,5.61,2.50,6.92,6.60,2.68,6.60,2.68,,60,12,12,12,0,Electricity,0,0.00,6.50,4.01,6.50,3.09,4.90,3.99,3.10,4.55,1.37,3.96,low
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 6 MR + MHC/H 4-8 R32,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,58,132,6.00,3.38,-7,-10,5.50,2.22,3.40,3.37,2.10,4.07,2.50,6.58,5.50,2.22,5.30,1.82,,60,12,12,12,0,Electricity,0,0.70,7.00,6.49,7.00,5.14,5.39,6.65,3.32,4.93,1.78,12.82,high
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 8 MR + MHC/EM 4-8 R32,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,59,177,7.00,4.50,-7,-10,6.19,2.97,4.12,4.46,2.78,5.70,2.67,7.80,6.19,2.97,6.64,2.58,,60,12,12,12,0,Electricity,0,0.36,6.50,4.43,6.50,3.02,4.97,4.12,3.35,4.74,1.55,5.50,low
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 8 MR + MHC/EM 4-8 R32,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,59,131,7.00,3.34,-7,-10,6.19,2.09,3.79,3.24,2.49,4.57,2.55,6.10,6.19,2.09,4.90,1.66,,60,12,12,12,0,Electricity,0,2.10,7.10,5.89,7.10,4.88,5.65,6.81,3.18,5.26,1.67,7.40,high
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 8 MR + MHC/EM 4-8 R32 + HPSL180 EVO,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,59,177,7.00,4.50,-7,-10,6.19,2.97,4.12,4.46,2.78,5.70,2.67,7.80,6.19,2.97,6.64,2.58,,60,12,12,12,0,Electricity,0,0.36,6.50,4.43,6.50,3.02,4.97,4.12,3.35,4.74,1.55,5.50,low
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 8 MR + MHC/EM 4-8 R32 + HPSL180 EVO,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,59,131,7.00,3.34,-7,-10,6.19,2.09,3.79,3.24,2.49,4.57,2.55,6.10,6.19,2.09,4.90,1.66,,60,12,12,12,0,Electricity,0,2.10,7.10,5.89,7.10,4.88,5.65,6.81,3.18,5.26,1.67,7.40,high
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 8 MR + MHC/EM 4-8 R32 + HPSL180 EVO,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,59,177,7.00,4.50,-7,-10,6.19,2.97,4.12,4.46,2.78,5.70,2.67,7.80,6.19,2.97,6.64,2.58,,60,12,12,12,0,Electricity,0,0.36,6.50,4.43,6.50,3.02,4.97,4.12,3.35,4.74,1.55,5.50,low
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 8 MR + MHC/EM 4-8 R32 + HPSL180 EVO,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,59,131,7.00,3.34,-7,-10,6.19,2.09,3.79,3.24,2.49,4.57,2.55,6.10,6.19,2.09,4.90,1.66,,60,12,12,12,0,Electricity,0,2.10,7.10,5.89,7.10,4.88,5.65,6.81,3.18,5.26,1.67,7.40,high
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 8 MR + MHC/H 4-8 R32,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,59,177,7.00,4.50,-7,-10,6.19,2.97,4.12,4.46,2.78,5.70,2.67,7.80,6.19,2.97,6.64,2.58,,60,12,12,12,0,Electricity,0,0.36,6.50,4.43,6.50,3.02,4.97,4.12,3.35,4.74,1.55,5.50,low
 BDR Thermea FR (OERTLI),Oertli OENOVIAPAC-C FIRST R32 6/8 & OENOVIAPAC-C SLIM R32 6/8,AWHPR 8 MR + MHC/H 4-8 R32,03.12.2021,Outdoor Air/Water,R32,"1,200 kg",33,59,131,7.00,3.34,-7,-10,6.19,2.09,3.79,3.24,2.49,4.57,2.55,6.10,6.19,2.09,4.90,1.66,,60,12,12,12,0,Electricity,0,2.10,7.10,5.89,7.10,4.88,5.65,6.81,3.18,5.26,1.67,7.40,high
 Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Prima 4GT,14.04.2021,Outdoor Air/Water,R32,"1,500 kg",,55,191,5.52,4.85,-7,-10,4.88,3.19,3.06,4.78,1.93,6.13,1.48,8.05,4.88,3.19,4.42,2.86,,65,14,24,14,0,Electricity,1,1.11,,,,,,,,,,,low
 Galmet Sp. z o.o. Sp. K.,Prima 4-6GT,Prima 4GT,14.04.2021,Outdoor Air/Water,R32,"1,500 kg",,55,130,4.40,3.31,-7,-10,3.89,2.17,2.38,3.30,2.95,4.41,1.32,5.66,3.89,2.17,3.42,1.91,,65,14,24,14,0,Electricity,1,0.98,,,,,,,,,,,high
