manufacturers,models,titels,dates,types,refrigerants,mass_of_refrigerants,spl_indoor,spl_outdoor,eta,p_rated,scop,t_biv,tol,p_th_minus7,cop_minus7,p_th_2,cop_2,p_th_7,cop_7,p_th_12,cop_12,p_th_tbiv,cop_tbiv,p_th_tol,cop_tol,rated_airflows,wtols,poffs,ptos,psbs,pcks,supply_energy,supp_energy_types,p_sups,p_design_cools,seers,pdcs_35,eer_35,pdcs_30,eer_30,pdcs_25,eer_25,pdcs_20,eer_20,temperatures
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP HYBRID UNIVERSAL 4,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,2,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP HYBRID UNIVERSAL 4,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,2,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-CRX 1Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-CRX 1Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-CRX 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-CRX 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-RX 1Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-RX 1Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-RX 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-RX 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-RXL,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-RXL,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-X 1Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-X 1Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-X 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO 04M-X 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO BUILT-IN 04M-CRX,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",0,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,2,1.10,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,AEROTOP MONO BUILT-IN 04M-CRX,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",0,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,2,0.70,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M 2Z  ,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M 2Z  ,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M 2Z LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M 2Z LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT COMPACT 40 M LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M 2Z,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M 2Z H,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M 2Z H,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M 2Z H LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M 2Z H LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M 2Z LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M 2Z LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M H,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M H,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M H LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M H LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT FLEX 40 M LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT LITE 40 M ,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT LITE 40 M ,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT LITE 40 M LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT LITE 40 M LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M FLEX IN 4 LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",0,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,2,1.10,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M FLEX IN 4 LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",0,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,2,0.70,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M HYBRID 4 LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,2,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M HYBRID 4 LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,2,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M HYBRID 40,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,2,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M HYBRID 40,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,2,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M HYBRID FLEX 4 LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,2,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M HYBRID FLEX 4 LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,2,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M HYBRID UNIVERSAL 4 LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,2,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT M HYBRID UNIVERSAL 4 LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,2,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",15,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M 2Z ,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M 2Z ,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M 2Z H ,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M 2Z H ,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M 2Z H LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M 2Z H LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M 2Z LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,191,5.21,4.55,-7,-10,4.61,3.30,2.80,4.48,1.82,5.44,1.54,7.21,4.61,3.30,4.07,2.99,,60,13,13,13,13,,1,1.14,,,,,,,,,,,low
 Ariston Thermo Group,NIMBUS 40 M - ARIANEXT 40 M - AEROTOP MONO 04X - ENERGION M 4,ARIANEXT PLUS 40 M 2Z LINK,19.12.2017,Outdoor Air/Water,R410A,"1,880 kg",43,57,135,4.64,3.25,-7,-10,4.10,2.29,2.50,3.27,1.62,3.69,1.51,5.29,4.10,2.13,3.92,2.13,,60,13,13,13,13,,1,0.72,,,,,,,,,,,high
