Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W],Pdc_n,P_el_n
Advantix S.p.A.,i-32V506,35,7,3.14,1.0,5020.0,1598.7261146496814,1.0,1.0
Advantix S.p.A.,i-32V506,25,7,4.82,1.0,2700.0,560.1659751037344,0.5378486055776892,0.35038270155890955
Advantix S.p.A.,i-32V506,20,7,6.57,1.0,2960.0,450.5327245053272,0.5896414342629482,0.28180732170253536
Advantix S.p.A.,i-32V506,30,7,4.03,1.0,3700.0,918.1141439205954,0.7370517928286853,0.5742785681096951
Advantix S.p.A.,i-32V506,35,18,3.7994,1.0,5163.07,1358.9171974522292,1.0285,0.85
Advantix S.p.A.,i-32V506,25,18,5.784,1.0,2494.7999999999997,431.32780082987546,0.4969721115537848,0.26979468020036035
Advantix S.p.A.,i-32V506,20,18,6.2415,1.0,1771.5600000000002,283.83561643835617,0.35290039840637455,0.1775386126725973
Advantix S.p.A.,i-32V506,30,18,4.8763000000000005,1.0,3671.14,752.8535980148882,0.7313027888446215,0.47090842584995
Advantix S.p.A.,i-32V510T,35,7,3.15,1.0,7530.0,2390.4761904761904,1.0,1.0
Advantix S.p.A.,i-32V510T,25,7,4.46,1.0,3560.0,798.2062780269058,0.47277556440903057,0.33391099280010006
Advantix S.p.A.,i-32V510T,20,7,6.36,1.0,4350.0,683.9622641509434,0.5776892430278885,0.28611967225437873
Advantix S.p.A.,i-32V510T,30,7,3.92,1.0,5490.0,1400.5102040816328,0.7290836653386454,0.5858708025042687
Advantix S.p.A.,i-32V510T,35,18,3.8114999999999997,1.0,7744.604999999999,2031.9047619047617,1.0284999999999997,0.85
Advantix S.p.A.,i-32V510T,25,18,5.351999999999999,1.0,3289.44,614.6188340807175,0.4368446215139442,0.2571114644560771
Advantix S.p.A.,i-32V510T,20,18,6.042,1.0,2603.475,430.89622641509436,0.3457470119521912,0.1802553935202586
Advantix S.p.A.,i-32V510T,30,18,4.7432,1.0,5447.178,1148.4183673469388,0.7233968127490039,0.4804140580535003
Advantix S.p.A.,i-32V512,20,7,6.32,1.0,4230.0,669.3037974683544,0.4970622796709753,0.23987973939817636
