,title,application,indoor,outdoor,coolingMode7c12c,coolingMode18c23c,colderClimate,warmerClimate,reversibility,colderForHeating,warmerForHeating,en145112Certification,heatSource,additionalOutdoorAir,additionalExhaustAir,additionalIndoorAir,additionalNonheatedSpaceAir,powerSupply,offPeakProduct,Refrigerant,Mass of Refrigerant,Date,Manufacturer,Modelname,Type,Energy
 ait-deutschland GmbH NOVELAN L8 Split-HV 12,NOVELAN L8 Split-HV 12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R410A,"2,600 kg",29.04.2020, ait-deutschland GmbH,L8 Split,Outdoor Air/Water,Electricity
" Qingdao Hisense Hitachi Air-conditioning Systems Co.,Ltd. AHW-060HCDS1/AHS-060HCDSAA-23",AHW-060HCDS1/AHS-060HCDSAA-23,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,R32,"0,980 kg",10.02.2023," Qingdao Hisense Hitachi Air-conditioning Systems Co.,Ltd.",Hi -Therma Integra 4 6kW,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM60VAA(-BS) + E*SD-*M*D,PUD-SWM60VAA(-BS) + E*SD-*M*D,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM60VAA(-BS) + E*SD-M*D,PUD-SWM60VAA(-BS) + E*SD-M*D,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM60VAA(-BS) + E*ST20D-*M*D,PUD-SWM60VAA(-BS) + E*ST20D-*M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM60VAA(-BS) + E*ST20D-M*D,PUD-SWM60VAA(-BS) + E*ST20D-M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM80VAA(-BS) + E*SD-*M*D,PUD-SWM80VAA(-BS) + E*SD-*M*D,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM80VAA(-BS) + E*SD-M*D,PUD-SWM80VAA(-BS) + E*SD-M*D,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM80VAA(-BS) + E*ST20D-*M*D,PUD-SWM80VAA(-BS) + E*ST20D-*M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
 Mitsubishi Electric Air Conditioning Systems Europe LTD PUD-SWM80VAA(-BS) + E*ST20D-M*D,PUD-SWM80VAA(-BS) + E*ST20D-M*D,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,R32,"1,300 kg",30.11.2020, Mitsubishi Electric Air Conditioning Systems Europe LTD,Ecodan Power Inverter 6/8-200D AA,Outdoor Air/Water,Electricity
