T_in,T_out,T_amb,COP,EER,P_el,P_th,m_dot,P_th_real,P_el_real,COP_real,RE_P_th,RE_P_el,RE_COP,titel,Group,Pdc_real,Pel_c_real,EER_real,RE_Pdc,RE_Pel_c,RE_EER
-7,34,-7,3.118145940065574,0.0,1618.0755543360565,5045.395720472327,0.24025693907011084,4680.0,1570.0,2.98,7.807600864793329,3.0621372188571083,4.6357698008581805,Acond PRO-N,1.0,,,,,,
-7,52,-7,2.1740475770035346,0.0,2015.9220375358846,4382.710421132918,0.20870049624442466,4540.0,2064.0,2.2,-3.4645281688784557,-2.329358646517221,-1.1796555907484407,Acond PRO-N,1.0,,,,,,
2,30,2,4.142465101613595,0.0,616.8825864100659,2555.414585996831,0.12168640885699196,2880.0,689.0,4.18,-11.270326875110026,-10.466968590701619,-0.8979640762297736,Acond PRO-N,1.0,,,,,,
2,42,2,3.5130661929055407,0.0,882.1135752099317,3098.92337937305,0.14756777997014525,2770.0,810.0,3.42,11.87449023007401,8.902910519744655,2.721233710688331,Acond PRO-N,1.0,,,,,,
7,27,7,4.75232567618616,0.0,365.8393693840178,1738.587828483421,0.08278989659444862,1830.0,358.0,5.11,-4.995200629321261,2.189767984362523,-6.999497530603527,Acond PRO-N,1.0,,,,,,
7,36,7,4.280276494655027,0.0,415.5701797839963,1778.755272409003,0.08470263201947634,1860.0,417.0,4.46,-4.367996107042849,-0.34288254580424615,-4.029675007734824,Acond PRO-N,1.0,,,,,,
12,24,12,5.362186250758782,0.0,349.2624325840445,1872.8102139087296,0.08918143875755855,1810.0,349.0,5.18,3.4701775640182175,0.0751955828207862,3.517109088007375,Acond PRO-N,1.0,,,,,,
12,30,12,5.047486796404655,0.0,382.4163061840204,1930.241256193683,0.09191625029493729,1760.0,362.0,4.86,9.672798647368364,5.6398635867459745,3.857753012441467,Acond PRO-N,1.0,,,,,,
-7,34,-7,3.5217040537490902,0.0,2885.156726680293,10160.668140051444,0.4838413400024497,9230.0,2849.0,3.24,10.08307844042735,1.2691023755806663,8.694569560157106,Acond PRO-R,1.0,,,,,,
-7,52,-7,2.059915325548218,0.0,3563.8485278934695,7341.2262005402135,0.34958220002572443,9000.0,3600.0,2.5,-18.430819993997627,-1.0042075585147359,-17.60338697807129,Acond PRO-R,1.0,,,,,,
2,30,2,5.086189201155378,0.0,1030.7660246361593,5242.671023422291,0.2496510011153472,5460.0,1085.0,5.03,-3.9803841864049283,-4.998523075008365,1.1170815339041296,Acond PRO-R,1.0,,,,,,
2,42,2,4.111663382354777,0.0,1483.2272254449094,6098.531070573508,0.29040624145588134,5530.0,1429.0,3.87,10.280851185777728,3.7947673509383772,6.2445318437927,Acond PRO-R,1.0,,,,,,
7,27,7,6.01851132685897,0.0,655.3052565521796,3943.9621091095164,0.18780771948140554,3810.0,602.0,6.33,3.5160658558928137,8.854693779431821,-4.920832119131591,Acond PRO-R,1.0,,,,,,
7,36,7,5.287616962758648,0.0,740.141731703801,3913.5859754025782,0.1863612369239323,3520.0,708.0,4.97,11.181419755755062,4.539792613531213,6.390683355304794,Acond PRO-R,1.0,,,,,,
12,24,12,6.950833452562166,0.0,627.0264315016391,4358.356295722272,0.20754077598677487,4050.0,546.0,7.42,7.613735696846224,14.840005769530972,-6.322999291615017,Acond PRO-R,1.0,,,,,,
12,30,12,6.463570543161951,0.0,683.5840816027201,4418.393933621756,0.21039971112484554,3880.0,632.0,6.14,13.876132309839084,8.162038228278501,5.269878553126239,Acond PRO-R,1.0,,,,,,
-7,34,-7,3.293296193488004,0.0,2106.5426326046363,6937.468833377048,0.3303556587322404,6100.0,2061.0,2.96,13.728997268476206,2.20973472123418,11.260006536756894,i-32V506 A,1.0,,,,,,
-7,52,-7,1.5228191529865853,0.0,2719.4657095269267,4141.254468357858,0.19720259373132656,6000.0,2765.0,2.17,-30.979092194035694,-1.6468097820279692,-29.824002166516806,i-32V506 A,1.0,,,,,,
2,30,2,4.578025870349165,0.0,777.6925974282636,3560.2968302056297,0.16953794429550617,3800.0,846.0,4.49,-6.307978152483429,-8.074161060488926,1.9604870901818616,i-32V506 A,1.0,,,,,,
2,42,2,3.397707843348087,0.0,1186.307982043229,4030.7279352147207,0.19193942548641527,3600.0,1118.0,3.22,11.96466486707557,6.109837392059836,5.5188771226113875,i-32V506 A,1.0,,,,,,
