Manufacturer,Model,Date,Type,SPL indoor [dBA],SPL outdoor [dBA],Refrigerant,Mass of Refrigerant [kg],PSB [W],Prated [W],Guideline,Climate,T_in [°C],T_out [°C],P_th [W],COP,P_el [W]
Viessmann,Vitocal 200-S AWB-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,7,36,5380,4.24,1269
Viessmann,Vitocal 200-S AWB-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,12,24,6650,7.64,870
Viessmann,Vitocal 200-S AWB-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,12,30,6420,5.72,1122
Viessmann,Vitocal 200-S AWB-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,-7,34,9390,3.12,3010
Viessmann,Vitocal 200-S AWB-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,-7,52,9490,2.26,4199
Viessmann,Vitocal 200-S AWB-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,2,30,5720,4.29,1333
Viessmann,Vitocal 200-S AWB-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,2,42,5910,3.19,1853
Viessmann,Vitocal 200-S AWB-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,7,27,8880,5.68,1563
Viessmann,Vitocal 200-S AWB-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,7,36,5390,4.27,1262
Viessmann,Vitocal 200-S AWB-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,12,24,6670,7.74,862
Viessmann,Vitocal 200-S AWB-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,12,30,6420,5.75,1117
Viessmann,Vitocal 200-S AWB-E-M 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,-7,34,8250,3.24,2546
Viessmann,Vitocal 200-S AWB-E-M 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,-7,52,8270,2.26,3659
Viessmann,Vitocal 200-S AWB-E-M 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,2,30,5320,4.32,1231
Viessmann,Vitocal 200-S AWB-E-M 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,2,42,6070,3.15,1927
Viessmann,Vitocal 200-S AWB-E-M 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,7,27,6600,5.81,1136
Viessmann,Vitocal 200-S AWB-E-M 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,7,36,5370,4.21,1276
Viessmann,Vitocal 200-S AWB-E-M 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,12,24,6630,7.51,883
Viessmann,Vitocal 200-S AWB-E-M 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,12,30,6410,5.7,1125
Viessmann,Vitocal 200-S AWB-E-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,-7,34,8830,3.19,2768
Viessmann,Vitocal 200-S AWB-E-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,-7,52,8910,2.27,3925
Viessmann,Vitocal 200-S AWB-E-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,2,30,5710,4.3,1328
Viessmann,Vitocal 200-S AWB-E-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,2,42,5900,3.17,1861
Viessmann,Vitocal 200-S AWB-E-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,7,27,8860,5.63,1574
Viessmann,Vitocal 200-S AWB-E-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,7,36,5380,4.24,1269
Viessmann,Vitocal 200-S AWB-E-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,12,24,6650,7.64,870
Viessmann,Vitocal 200-S AWB-E-M 201.D13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,12,30,6420,5.72,1122
Viessmann,Vitocal 200-S AWB-E-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,-7,34,9390,3.12,3010
Viessmann,Vitocal 200-S AWB-E-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,-7,52,9490,2.26,4199
Viessmann,Vitocal 200-S AWB-E-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,2,30,5720,4.29,1333
Viessmann,Vitocal 200-S AWB-E-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,2,42,5910,3.19,1853
Viessmann,Vitocal 200-S AWB-E-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,7,27,8880,5.68,1563
Viessmann,Vitocal 200-S AWB-E-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,7,36,5390,4.27,1262
Viessmann,Vitocal 200-S AWB-E-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,12,24,6670,7.74,862
Viessmann,Vitocal 200-S AWB-E-M 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,12,30,6420,5.75,1117
Viessmann,Vitocal 222-S AWBT-M 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,-7,34,8250,3.24,2546
Viessmann,Vitocal 222-S AWBT-M 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,-7,52,8270,2.26,3659
Viessmann,Vitocal 222-S AWBT-M 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,2,30,5320,4.32,1231
Viessmann,Vitocal 222-S AWBT-M 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,2,42,6070,3.15,1927
Viessmann,Vitocal 222-S AWBT-M 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,7,27,6600,5.81,1136
Viessmann,Vitocal 222-S AWBT-M 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,7,36,5370,4.21,1276
Viessmann,Vitocal 222-S AWBT-M 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,12,24,6630,7.51,883
Viessmann,Vitocal 222-S AWBT-M 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,12,30,6410,5.7,1125
Viessmann,Vitocal 222-S AWBT-M 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,-7,34,8830,3.19,2768
Viessmann,Vitocal 222-S AWBT-M 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,-7,52,8910,2.27,3925
Viessmann,Vitocal 222-S AWBT-M 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,2,30,5710,4.3,1328
Viessmann,Vitocal 222-S AWBT-M 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,2,42,5900,3.17,1861
Viessmann,Vitocal 222-S AWBT-M 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,7,27,8860,5.63,1574
Viessmann,Vitocal 222-S AWBT-M 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,7,36,5380,4.24,1269
Viessmann,Vitocal 222-S AWBT-M 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,12,24,6650,7.64,870
Viessmann,Vitocal 222-S AWBT-M 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,12,30,6420,5.72,1122
Viessmann,Vitocal 222-S AWBT-M 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,-7,34,9390,3.12,3010
Viessmann,Vitocal 222-S AWBT-M 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,-7,52,9490,2.26,4199
Viessmann,Vitocal 222-S AWBT-M 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,2,30,5720,4.29,1333
Viessmann,Vitocal 222-S AWBT-M 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,2,42,5910,3.19,1853
Viessmann,Vitocal 222-S AWBT-M 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,7,27,8880,5.68,1563
Viessmann,Vitocal 222-S AWBT-M 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,7,36,5390,4.27,1262
Viessmann,Vitocal 222-S AWBT-M 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,12,24,6670,7.74,862
Viessmann,Vitocal 222-S AWBT-M 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,12,30,6420,5.75,1117
Viessmann,Vitocal 222-S AWBT-M-E -AC 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,-7,34,8250,3.24,2546
Viessmann,Vitocal 222-S AWBT-M-E -AC 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,-7,52,8270,2.26,3659
Viessmann,Vitocal 222-S AWBT-M-E -AC 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,2,30,5320,4.32,1231
Viessmann,Vitocal 222-S AWBT-M-E -AC 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,2,42,6070,3.15,1927
Viessmann,Vitocal 222-S AWBT-M-E -AC 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,7,27,6600,5.81,1136
Viessmann,Vitocal 222-S AWBT-M-E -AC 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,7,36,5370,4.21,1276
Viessmann,Vitocal 222-S AWBT-M-E -AC 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,12,24,6630,7.51,883
Viessmann,Vitocal 222-S AWBT-M-E -AC 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,12,30,6410,5.7,1125
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,-7,34,8830,3.19,2768
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,-7,52,8910,2.27,3925
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,2,30,5710,4.3,1328
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,2,42,5900,3.17,1861
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,7,27,8860,5.63,1574
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,7,36,5380,4.24,1269
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,12,24,6650,7.64,870
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,12,30,6420,5.72,1122
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,-7,34,9390,3.12,3010
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,-7,52,9490,2.26,4199
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,2,30,5720,4.29,1333
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,2,42,5910,3.19,1853
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,7,27,8880,5.68,1563
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,7,36,5390,4.27,1262
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,12,24,6670,7.74,862
Viessmann,Vitocal 222-S AWBT-M-E-AC 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,12,30,6420,5.75,1117
Viessmann,Vitocal 222-S AWBT-M-E 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,-7,34,8250,3.24,2546
Viessmann,Vitocal 222-S AWBT-M-E 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,-7,52,8270,2.26,3659
Viessmann,Vitocal 222-S AWBT-M-E 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,2,30,5320,4.32,1231
Viessmann,Vitocal 222-S AWBT-M-E 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,2,42,6070,3.15,1927
Viessmann,Vitocal 222-S AWBT-M-E 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,7,27,6600,5.81,1136
Viessmann,Vitocal 222-S AWBT-M-E 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,7,36,5370,4.21,1276
Viessmann,Vitocal 222-S AWBT-M-E 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.32,EN 14825,average,12,24,6630,7.51,883
Viessmann,Vitocal 222-S AWBT-M-E 221.C10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.35,EN 14825,average,12,30,6410,5.7,1125
Viessmann,Vitocal 222-S AWBT-M-E 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,-7,34,8830,3.19,2768
Viessmann,Vitocal 222-S AWBT-M-E 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,-7,52,8910,2.27,3925
Viessmann,Vitocal 222-S AWBT-M-E 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,2,30,5710,4.3,1328
Viessmann,Vitocal 222-S AWBT-M-E 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,2,42,5900,3.17,1861
Viessmann,Vitocal 222-S AWBT-M-E 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,7,27,8860,5.63,1574
Viessmann,Vitocal 222-S AWBT-M-E 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,7,36,5380,4.24,1269
Viessmann,Vitocal 222-S AWBT-M-E 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,9.99,EN 14825,average,12,24,6650,7.64,870
Viessmann,Vitocal 222-S AWBT-M-E 221.C13,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,50,10.07,EN 14825,average,12,30,6420,5.72,1122
Viessmann,Vitocal 222-S AWBT-M-E 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,-7,34,9390,3.12,3010
Viessmann,Vitocal 222-S AWBT-M-E 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,-7,52,9490,2.26,4199
Viessmann,Vitocal 222-S AWBT-M-E 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,2,30,5720,4.29,1333
Viessmann,Vitocal 222-S AWBT-M-E 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,2,42,5910,3.19,1853
Viessmann,Vitocal 222-S AWBT-M-E 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,7,27,8880,5.68,1563
Viessmann,Vitocal 222-S AWBT-M-E 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,7,36,5390,4.27,1262
Viessmann,Vitocal 222-S AWBT-M-E 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.61,EN 14825,average,12,24,6670,7.74,862
Viessmann,Vitocal 222-S AWBT-M-E 221.C16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,59,10.72,EN 14825,average,12,30,6420,5.75,1117
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V4W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,61.0,R32,1.55,15,6.21,EN 14825,average,-7,34,5490,2.84,1933
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V4W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,61.0,R32,1.55,15,6.0,EN 14825,average,-7,52,5310,2.0,2655
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V4W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,61.0,R32,1.55,15,6.21,EN 14825,average,2,30,3340,4.6,726
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V4W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,61.0,R32,1.55,15,6.0,EN 14825,average,2,42,3230,3.23,1000
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V4W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,61.0,R32,1.55,15,6.21,EN 14825,average,7,27,2150,6.48,332
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V4W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,61.0,R32,1.55,15,6.0,EN 14825,average,7,36,2080,4.6,452
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V4W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,61.0,R32,1.55,15,6.21,EN 14825,average,12,24,960,8.93,108
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V4W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,61.0,R32,1.55,15,6.0,EN 14825,average,12,30,920,6.1,151
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V6W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,4.0,62.0,R32,1.55,15,6.21,EN 14825,average,-7,34,5490,2.84,1933
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V6W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,62.0,R32,1.55,15,6.0,EN 14825,average,-7,52,5310,2.0,2655
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V6W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,4.0,62.0,R32,1.55,15,6.21,EN 14825,average,2,30,3340,4.6,726
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V6W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,62.0,R32,1.55,15,6.0,EN 14825,average,2,42,3230,3.23,1000
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V6W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,4.0,62.0,R32,1.55,15,6.21,EN 14825,average,7,27,2150,6.48,332
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V6W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,62.0,R32,1.55,15,6.0,EN 14825,average,7,36,2080,4.6,452
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V6W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,4.0,62.0,R32,1.55,15,6.21,EN 14825,average,12,24,960,8.93,108
"GD Midea Heating & Ventilating Equipment Co., Ltd.",MHA-V6W/D2N8+SMK-60/CGN8,2019-12-11,Outdoor Air/Water,43.0,62.0,R32,1.55,15,6.0,EN 14825,average,12,30,920,6.1,151
Viessmann,Vitocal 200-S AWB-E-AC 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.75,EN 14825,average,-7,34,8630,3.27,2639
Viessmann,Vitocal 200-S AWB-E-AC 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.67,EN 14825,average,-7,52,8560,2.28,3754
Viessmann,Vitocal 200-S AWB-E-AC 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.75,EN 14825,average,2,30,5340,4.34,1230
Viessmann,Vitocal 200-S AWB-E-AC 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.67,EN 14825,average,2,42,5480,3.19,1718
Viessmann,Vitocal 200-S AWB-E-AC 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.75,EN 14825,average,7,27,6630,5.98,1109
Viessmann,Vitocal 200-S AWB-E-AC 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.67,EN 14825,average,7,36,6300,4.43,1422
Viessmann,Vitocal 200-S AWB-E-AC 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.75,EN 14825,average,12,24,6850,7.81,877
Viessmann,Vitocal 200-S AWB-E-AC 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.67,EN 14825,average,12,30,6610,5.86,1128
Viessmann,Vitocal 200-S AWB-E-AC 201.D13,2020-12-17,Outdoor Air/Water,,,R410a,3.6,31,10.99,EN 14825,average,-7,34,9730,3.16,3079
Viessmann,Vitocal 200-S AWB-E-AC 201.D13,2020-12-17,Outdoor Air/Water,,,R410a,3.6,31,11.0,EN 14825,average,-7,52,9730,2.28,4268
Viessmann,Vitocal 200-S AWB-E-AC 201.D13,2020-12-17,Outdoor Air/Water,,,R410a,3.6,31,10.99,EN 14825,average,2,30,5980,4.46,1341
Viessmann,Vitocal 200-S AWB-E-AC 201.D13,2020-12-17,Outdoor Air/Water,,,R410a,3.6,31,11.0,EN 14825,average,2,42,5870,3.28,1790
Viessmann,Vitocal 200-S AWB-E-AC 201.D13,2020-12-17,Outdoor Air/Water,,,R410a,3.6,31,10.99,EN 14825,average,7,27,6860,6.05,1134
Viessmann,Vitocal 200-S AWB-E-AC 201.D13,2020-12-17,Outdoor Air/Water,,,R410a,3.6,31,11.0,EN 14825,average,7,36,6530,4.5,1451
Viessmann,Vitocal 200-S AWB-E-AC 201.D13,2020-12-17,Outdoor Air/Water,,,R410a,3.6,31,10.99,EN 14825,average,12,24,6870,7.91,869
Viessmann,Vitocal 200-S AWB-E-AC 201.D13,2020-12-17,Outdoor Air/Water,,,R410a,3.6,31,11.0,EN 14825,average,12,30,6610,5.9,1120
Viessmann,Vitocal 200-S AWB-E-AC 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,40,11.65,EN 14825,average,-7,34,10300,3.09,3333
Viessmann,Vitocal 200-S AWB-E-AC 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,40,11.98,EN 14825,average,-7,52,10600,2.32,4569
Viessmann,Vitocal 200-S AWB-E-AC 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,40,11.65,EN 14825,average,2,30,6410,4.49,1428
Viessmann,Vitocal 200-S AWB-E-AC 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,40,11.98,EN 14825,average,2,42,6250,3.34,1871
Viessmann,Vitocal 200-S AWB-E-AC 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,40,11.65,EN 14825,average,7,27,7270,5.94,1224
Viessmann,Vitocal 200-S AWB-E-AC 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,40,11.98,EN 14825,average,7,36,6780,4.54,1493
Viessmann,Vitocal 200-S AWB-E-AC 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,40,11.65,EN 14825,average,12,24,6880,7.94,866
Viessmann,Vitocal 200-S AWB-E-AC 201.D16,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,40,11.98,EN 14825,average,12,30,6630,5.98,1109
Viessmann,Vitocal 200-S AWB 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.75,EN 14825,average,-7,34,8630,3.27,2639
Viessmann,Vitocal 200-S AWB 201.D10,2020-12-17,Outdoor Air/Water,39.0,56.0,R410a,3.6,25,9.67,EN 14825,average,-7,52,8560,2.28,3754
