manufacturers,models,titel,dates,types,refrigerants,mass_of_refrigerants,spl_indoor_l,spl_outdoor_l,eta_l,p_rated_l,scop_l,t_biv,tol,p_th_minus7_l,cop_minus7_l,p_el_minus7_l,p_th_2_l,cop_2_l,p_el_2_l,p_th_7_l,cop_7_l,p_el_7_l,p_th_12_l,cop_12_l,p_el_12_l,p_th_tbiv_l,cop_tbiv_l,p_el_tbiv_l,p_th_tol_l,cop_tol_l,p_el_tol_l,rated_airflows_l,wtols,poffs,ptos,psbs,pcks,supp_energy_types,p_sups_l,p_design_cools_l,seers_l,pdcs_35_l,eer_35_l,p_el_35_l,pdcs_30_l,eer_30_l,p_el_30_l,pdcs_25_l,eer_25_l,p_el_25_l,pdcs_20_l,eer_20_l,p_el_20_l,spl_indoor_h,spl_outdoor_h,eta_h,p_rated_h,p_th_minus7_h,cop_minus7_h,p_el_minus7_h,p_th_2_h,cop_2_h,p_el_2_h,p_th_7_h,cop_7_h,p_el_7_h,p_th_12_h,cop_12_h,p_el_12_h,p_th_tbiv_h,cop_tbiv_h,p_el_tbiv_h,p_th_tol_h,cop_tol_h,p_el_tol_h,rated_airflows_h,p_sups_h,p_design_cools_h,seers_h,pdcs_35_h,eer_35_h,p_el_35_h,pdcs_30_h,eer_30_h,p_el_30_h,pdcs_25_h,eer_25_h,p_el_25_h,pdcs_20_h,eer_20_h,p_el_20_h,p_el_minus7_l_n,p_el_2_l_n,p_el_7_l_n,p_el_12_l_n,p_el_tbiv_l_n,p_el_tol_l_n,p_el_35_l_n,p_el_30_l_n,p_el_25_l_n,p_el_20_l_n,p_el_minus7_h_n,p_el_2_h_n,p_el_7_h_n,p_el_12_h_n,p_el_tbiv_h_n,p_el_tol_h_n,p_el_35_h_n,p_el_30_h_n,p_el_25_h_n,p_el_20_h_n
 Acond a.s.,Acond PRO-N,Acond PRO-N,17.03.2022,Outdoor Air/Water,R290,"1,350 kg",,,164.0,5.29,4.18,-10.0,-22.0,4680.0,2.98,1570.4697986577182,2880.0,4.18,688.9952153110048,1830.0,5.11,358.12133072407045,1810.0,5.18,349.42084942084944,5290.0,2.21,2393.665158371041,5290.0,2.21,2393.665158371041,,70.0,16.0,16.0,16.0,0.0,0,0.0,,,,,,,,,,,,,,,0.0,48,135.0,5.14,4540.0,2.2,2063.6363636363635,2770.0,3.42,809.9415204678363,1860.0,4.46,417.0403587443946,1760.0,4.86,362.13991769547323,5140.0,1.88,2734.0425531914893,5140.0,1.88,2734.0425531914893,,0.0,,,,,,,,,,,,,,,0.7610206072790705,0.3338743334106191,0.17353897083545264,0.1693228785739799,1.1599258476687864,1.1599258476687864,,,,,1.0,0.3924826751165727,0.20209004168230577,0.17548630372908394,1.3248664354672417,1.3248664354672417,,,,
 Acond a.s.,Acond PRO-R,Acond PRO-R,17.03.2022,Outdoor Air/Water,R290,"2,750 kg",,,199.0,10.38,5.05,-10.0,-22.0,9230.0,3.24,2848.7654320987654,5460.0,5.03,1085.4870775347913,3810.0,6.33,601.8957345971564,4050.0,7.42,545.822102425876,10380.0,2.76,3760.8695652173915,10380.0,2.76,3760.8695652173915,,70.0,16.0,16.0,16.0,0.0,0,0.0,,,,,,,,,,,,,,,0.0,49,154.0,10.17,9000.0,2.5,3600.0,5530.0,3.87,1428.9405684754522,3520.0,4.97,708.2494969818914,3880.0,6.14,631.9218241042346,10170.0,2.08,4889.423076923077,10170.0,2.08,4889.423076923077,,0.0,,,,,,,,,,,,,,,0.7913237311385459,0.3015241882041087,0.16719325961032122,0.15161725067385445,1.0446859903381642,1.0446859903381642,,,,,1.0,0.39692793568762563,0.19673597138385873,0.17553384002895406,1.3581730769230769,1.3581730769230769,,,,
 Advantix S.p.A.,i-32V5 06/08 A,i-32V506 A,05.08.2022,Outdoor Air/Water,R32,"0,970 kg",,62,175.0,7.0,4.46,-7.0,-20.0,6100.0,2.96,2060.810810810811,3800.0,4.49,846.3251670378619,3200.0,5.37,595.903165735568,3500.0,7.29,480.10973936899865,6100.0,2.96,2060.810810810811,6100.0,2.73,2234.4322344322345,,60.0,22.0,22.0,22.0,0.0,0,0.9,5.19,4.42,5190.0,3.16,1642.4050632911392,3800.0,4.04,940.5940594059406,2450.0,4.8,510.4166666666667,2860.0,6.51,439.3241167434716,,62,126.0,7.0,6000.0,2.17,2764.9769585253457,3600.0,3.22,1118.0124223602484,3000.0,3.82,785.3403141361257,3300.0,5.05,653.4653465346535,6000.0,2.17,2764.9769585253457,6000.0,2.04,2941.176470588235,,1.0,,,,4.710353726844268,,,6.226515963071146,,,7.38093071199996,,,10.983775775577591,,0.7453265765765765,0.3060876020786934,0.21551831160769708,0.17363968907178784,0.7453265765765765,0.8081196581196581,1.0,0.5726931074610352,0.3107739242132306,0.2674882868804182,1.0,0.40434782608695646,0.28403141361256545,0.23633663366336632,1.0,1.0637254901960784,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 06/08 A,i-32V508 A,05.08.2022,Outdoor Air/Water,R32,"0,970 kg",,62,175.0,8.0,4.46,-7.0,-20.0,6800.0,2.98,2281.8791946308725,4200.0,4.58,917.0305676855895,3200.0,5.16,620.1550387596899,3600.0,6.85,525.5474452554745,6800.0,2.98,2281.8791946308725,6800.0,2.71,2509.2250922509224,,60.0,22.0,22.0,22.0,0.0,0,1.2,6.14,4.51,6140.0,3.12,1967.9487179487178,4510.0,4.08,1105.392156862745,2900.0,4.85,597.938144329897,2900.0,6.27,462.51993620414675,,62,128.0,7.0,6600.0,2.21,2986.425339366516,3900.0,3.26,1196.319018404908,3000.0,3.9,769.2307692307693,3400.0,5.23,650.095602294455,6600.0,2.21,2986.425339366516,6400.0,2.0,3200.0,,0.6,,,,4.6507289961247205,,,6.288164635972842,,,7.457815406916626,,,10.578843949749846,,0.7640837909294285,0.30706629614926556,0.20765797509983555,0.17597876575978766,0.7640837909294285,0.840210220284021,1.0,0.5616976432266717,0.30383827529467083,0.23502641709396382,1.0,0.4005856107083101,0.25757575757575757,0.21768352743496147,1.0,1.0715151515151515,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 06/08 A,i-32V5SL08 A,05.08.2022,Outdoor Air/Water,R32,"0,970 kg",,53,180.0,8.0,4.57,-7.0,-20.0,6700.0,3.0,2233.3333333333335,4100.0,4.67,877.9443254817987,3200.0,5.49,582.8779599271402,3500.0,7.02,498.5754985754986,6700.0,3.0,2233.3333333333335,6500.0,2.61,2490.4214559386974,,60.0,22.0,22.0,22.0,0.0,0,1.5,6.14,4.51,6140.0,3.12,1967.9487179487178,4510.0,4.08,1105.392156862745,2900.0,4.85,597.938144329897,2900.0,6.27,462.51993620414675,,53,131.0,7.0,6500.0,2.23,2914.798206278027,3800.0,3.32,1144.578313253012,3000.0,4.08,735.2941176470588,3400.0,5.36,634.3283582089551,6500.0,2.23,2914.798206278027,6100.0,1.92,3177.0833333333335,,0.9,,,,4.6507289961247205,,,6.288164635972842,,,7.457815406916626,,,10.578843949749846,,0.7662051282051282,0.3012024378191402,0.19997197702115732,0.1710497479728249,0.7662051282051282,0.8544061302681992,1.0,0.5616976432266717,0.30383827529467083,0.23502641709396382,1.0,0.39267840593141795,0.252262443438914,0.2176234213547646,1.0,1.0899839743589743,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 10/12,i-32V510,26.05.2020,Outdoor Air/Water,R32,"2,500 kg",,62,178.0,9.0,4.53,-7.0,-20.0,8300.0,2.93,2832.7645051194536,5300.0,4.32,1226.8518518518517,4200.0,6.01,698.8352745424293,4900.0,8.08,606.4356435643564,8300.0,2.93,2832.7645051194536,8300.0,2.71,3062.730627306273,,60.0,19.0,22.0,19.0,0.0,0,0.7,7.53,4.34,7530.0,3.15,2390.4761904761904,5490.0,3.92,1400.5102040816328,3560.0,4.46,798.2062780269058,4350.0,6.36,683.9622641509434,,62,135.0,9.0,8100.0,2.13,3802.816901408451,5200.0,3.41,1524.9266862170086,4100.0,4.3,953.4883720930233,4800.0,6.36,754.7169811320755,8100.0,2.13,3802.816901408451,8100.0,1.96,4132.65306122449,,0.9,,,,4.695447544164381,,,6.041569944366063,,,6.858114786566629,,,10.730693384435252,,0.7449121476425229,0.322616598079561,0.18376779441671287,0.15947011367803443,0.7449121476425229,0.8053847205138718,1.0,0.5858708025042687,0.33391099280010006,0.28611967225437873,1.0,0.40099923970891704,0.2507321274763135,0.19846261355695316,1.0,1.0867346938775508,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 10/12,i-32V512,26.05.2020,Outdoor Air/Water,R32,"2,500 kg",,62,176.0,10.0,4.47,-7.0,-20.0,8900.0,2.88,3090.277777777778,5400.0,4.31,1252.9002320185616,4300.0,5.82,738.8316151202749,4900.0,7.81,627.4007682458387,8900.0,2.88,3090.277777777778,8800.0,2.64,3333.333333333333,,60.0,19.0,22.0,19.0,0.0,0,1.2,8.51,4.43,8510.0,3.05,2790.16393442623,6280.0,4.03,1558.3126550868485,3980.0,4.58,868.9956331877729,4230.0,6.32,669.3037974683544,,62,131.0,10.0,8500.0,2.08,4086.5384615384614,5200.0,3.35,1552.2388059701493,4200.0,4.24,990.566037735849,4800.0,5.31,903.9548022598871,8500.0,2.08,4086.5384615384614,8700.0,1.96,4438.775510204082,,1.3,,,,4.546385717365512,,,6.211103794845723,,,7.042638054366629,,,10.663204746797295,,0.7562091503267974,0.30659205677630685,0.1807964422882555,0.1535286585825111,0.7562091503267974,0.8156862745098039,1.0,0.5585021854306566,0.31144966876882574,0.23987973939817636,1.0,0.3798419666374013,0.24239733629300778,0.22120305749418415,1.0,1.0861944777911166,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 10/12,i-32V5SL12,26.05.2020,Outdoor Air/Water,R32,"2,500 kg",,53,180.0,10.0,4.58,-7.0,-20.0,8700.0,2.9,3000.0,5300.0,4.42,1199.0950226244345,4300.0,6.14,700.3257328990228,4800.0,8.0,600.0,8700.0,2.9,3000.0,8400.0,2.55,3294.117647058824,,60.0,19.0,22.0,19.0,0.0,0,1.6,8.51,4.43,8510.0,3.05,2790.16393442623,6280.0,4.03,1558.3126550868485,3980.0,4.58,868.9956331877729,4230.0,6.32,669.3037974683544,,53,135.0,10.0,8400.0,2.09,4019.1387559808613,5200.0,3.44,1511.6279069767443,4200.0,4.47,939.5973154362416,4800.0,5.44,882.3529411764705,8400.0,2.09,4019.1387559808613,8300.0,1.89,4391.534391534392,,1.7,,,,4.546385717365512,,,6.211103794845723,,,7.042638054366629,,,10.663204746797295,,0.7464285714285714,0.2983462615815557,0.17424771211416162,0.14928571428571427,0.7464285714285714,0.819607843137255,1.0,0.5585021854306566,0.31144966876882574,0.23987973939817636,1.0,0.3761074197120709,0.23378076062639822,0.2195378151260504,1.0,1.092655580750819,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 16/18,i-32V516,26.05.2020,Outdoor Air/Water,R32,"4,000 kg",,66,177.0,14.0,4.5,-7.0,-20.0,12000.0,2.88,4166.666666666667,7300.0,4.33,1685.9122401847574,5700.0,5.83,977.7015437392796,6700.0,8.12,825.1231527093597,12000.0,2.88,4166.666666666667,11700.0,2.6,4500.0,,60.0,19.0,22.0,19.0,0.0,0,2.3,13.8,4.8,13800.0,3.15,4380.952380952381,10170.0,4.36,2332.5688073394494,6470.0,5.3,1220.754716981132,5530.0,6.67,829.0854572713644,,66,126.0,13.0,11500.0,2.09,5502.392344497608,6900.0,3.06,2254.901960784314,5500.0,4.11,1338.199513381995,6600.0,6.3,1047.6190476190477,11500.0,2.09,5502.392344497608,11500.0,1.94,5927.835051546392,,1.5,,,,4.695447544164381,,,6.719705346284703,,,8.149777661166622,,,11.253730326129423,,0.7572463768115942,0.30639622452053417,0.17768662838392124,0.14995716427500536,0.7572463768115942,0.8178260869565217,1.0,0.5324341842840048,0.27865053322395406,0.18924776742063754,1.0,0.40980392156862744,0.243203215910293,0.19039337474120083,1.0,1.077319587628866,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 16/18,i-32V518T,26.05.2020,Outdoor Air/Water,R32,"4,000 kg",,66,175.0,15.0,4.46,-7.0,-20.0,12800.0,2.83,4522.968197879859,7800.0,4.34,1797.2350230414747,5800.0,5.67,1022.9276895943563,6700.0,7.94,843.8287153652393,12800.0,2.83,4522.968197879859,12800.0,2.59,4942.084942084943,,60.0,19.0,22.0,19.0,0.0,0,2.2,15.04,5.05,15040.0,3.08,4883.116883116883,10960.0,4.38,2502.283105022831,7060.0,5.52,1278.985507246377,5540.0,6.8,814.7058823529412,,66,131.0,14.0,12500.0,2.03,6157.635467980296,7600.0,3.34,2275.4491017964074,5700.0,4.14,1376.8115942028987,6600.0,6.15,1073.170731707317,12500.0,2.03,6157.635467980296,12600.0,1.93,6528.497409326425,,1.4,,,,4.591104265405172,,,6.75052968273555,,,8.488070318799954,,,11.473068398452785,,0.7345300353356891,0.2918709677419355,0.16612345679012344,0.13703778337531486,0.7345300353356891,0.8025945945945946,1.0,0.5124356358690372,0.2619199044094974,0.16684136420525658,1.0,0.36953293413173655,0.22359420289855073,0.17428292682926824,1.0,1.0602279792746114,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 16/18,i-32V5SL16,26.05.2020,Outdoor Air/Water,R32,"4,000 kg",,53,186.0,13.0,4.72,-7.0,-20.0,11900.0,2.98,3993.288590604027,7300.0,4.56,1600.8771929824563,5800.0,6.17,940.032414910859,6700.0,8.7,770.1149425287357,11900.0,2.98,3993.288590604027,11400.0,2.65,4301.88679245283,,60.0,19.0,22.0,19.0,0.0,0,1.6,13.8,4.94,13800.0,3.15,4380.952380952381,10170.0,4.36,2332.5688073394494,6470.0,5.3,1220.754716981132,5530.0,6.67,829.0854572713644,,53,133.0,13.0,11500.0,2.16,5324.074074074074,6900.0,3.23,2136.2229102167184,5700.0,4.34,1313.3640552995391,6600.0,6.75,977.7777777777778,11500.0,2.16,5324.074074074074,11200.0,1.98,5656.565656565656,,1.8,,,,4.695447544164381,,,6.719705346284703,,,8.149777661166622,,,11.253730326129423,,0.7500437700612781,0.30068649885583526,0.17656261010499613,0.14464767616191906,0.7500437700612781,0.8080065627563577,1.0,0.5324341842840048,0.27865053322395406,0.18924776742063754,1.0,0.4012383900928793,0.24668403125626126,0.1836521739130435,1.0,1.0624505928853756,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 MIDI 0121 -0126,i-32V5 MIDI 0121,07.06.2021,Outdoor Air/Water,R32,"4,300 kg",,65,165.0,20.0,4.2,-7.0,-20.0,17300.0,2.54,6811.023622047244,10600.0,4.24,2500.0,9300.0,5.15,1805.8252427184466,10900.0,7.08,1539.5480225988701,17300.0,2.54,6811.023622047244,15500.0,2.31,6709.95670995671,,60.0,22.0,22.0,22.0,0.0,0,4.5,17.67,4.44,17700.0,3.02,5860.92715231788,12940.0,4.03,3210.9181141439203,8820.0,4.89,1803.6809815950921,9530.0,5.94,1604.3771043771042,,65,122.0,19.0,17000.0,1.86,9139.78494623656,10500.0,3.13,3354.6325878594253,9200.0,3.94,2335.02538071066,10800.0,5.51,1960.0725952813068,17000.0,1.86,9139.78494623656,15100.0,1.65,9151.515151515152,,3.9,,,,4.5016671693258505,,,6.211103794845723,,,7.519323162849959,,,10.022062689236698,,0.7452061139416396,0.27352941176470585,0.19757852655625358,0.16844466600199404,0.7452061139416396,0.73414820473644,1.0,0.5478515652381153,0.3077466985546429,0.27374117826095223,1.0,0.3670362713775606,0.2554792475365781,0.21445500160136652,1.0,1.001283422459893,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 MIDI 0128 -0132,i-32V5 MIDI 0128,07.06.2021,Outdoor Air/Water,R32,"5,100 kg",,67,169.0,25.0,4.29,-7.0,-20.0,21700.0,2.68,8097.014925373134,13200.0,4.26,3098.5915492957747,11900.0,5.39,2207.792207792208,13700.0,7.06,1940.5099150141643,21700.0,2.68,8097.014925373134,19300.0,2.41,8008.298755186722,,60.0,22.0,22.0,22.0,0.0,0,5.7,24.2,4.76,24200.0,3.03,7986.798679867988,17740.0,4.12,4305.825242718446,11320.0,5.38,2104.089219330855,12260.0,6.47,1894.8995363214838,,67,126.0,24.0,20800.0,1.93,10777.202072538861,12800.0,3.2,4000.0,11500.0,4.1,2804.878048780488,13500.0,5.77,2339.6880415944543,20800.0,1.93,10777.202072538861,18800.0,1.73,10867.052023121387,,5.2,,,,4.516573352005738,,,6.349813308874536,,,8.272793173033289,,,10.916287137939634,,0.7513095579793341,0.2875135427952329,0.20485764235764237,0.18005692961429504,0.7513095579793341,0.7430777210341525,1.0,0.539117788654417,0.26344588159390453,0.2372539502088469,1.0,0.3711538461538461,0.2602603189493433,0.2170960538594854,1.0,1.0083370386838593,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 MIDI 0128 -0132,i-32V5 MIDI 0132,07.06.2021,Outdoor Air/Water,R32,"5,100 kg",,67,158.0,24.0,4.02,-7.0,-20.0,21300.0,2.57,8287.937743190661,13000.0,3.94,3299.492385786802,11600.0,5.03,2306.1630218687874,13500.0,6.96,1939.655172413793,21300.0,2.57,8287.937743190661,18800.0,2.29,8209.606986899564,,60.0,22.0,22.0,22.0,0.0,0,5.2,26.0,4.81,26000.0,3.01,8637.873754152824,19100.0,4.15,4602.409638554216,12270.0,5.35,2293.457943925234,12560.0,6.63,1894.4193061840122,,67,122.0,25.0,21700.0,1.9,11421.052631578948,13300.0,3.09,4304.2071197411005,11900.0,3.96,3005.050505050505,14000.0,5.51,2540.834845735027,21700.0,1.9,11421.052631578948,19500.0,1.7,11470.588235294117,,5.5,,,,4.4867609866459635,,,6.396049813550807,,,8.226662356083288,,,11.186241688491465,,0.7256719682977998,0.2888956466817937,0.201922107905562,0.1698315588749404,0.7256719682977998,0.7188135149819894,1.0,0.532817423540315,0.2655118619698059,0.21931546583130293,1.0,0.37686606117548804,0.2631150211795373,0.22246941045606225,1.0,1.004337218758471,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V514,i-32V514,26.05.2020,Outdoor Air/Water,R32,"3,600 kg",,66,176.0,12.0,4.48,-7.0,-20.0,10700.0,2.98,3590.6040268456377,6500.0,4.2,1547.6190476190475,5800.0,5.98,969.8996655518393,6700.0,8.16,821.0784313725491,10700.0,2.98,3590.6040268456377,10500.0,2.69,3903.3457249070634,,60.0,19.0,22.0,19.0,0.0,0,1.5,11.48,4.77,11480.0,3.25,3532.3076923076924,8470.0,4.31,1965.1972157772623,5410.0,4.91,1101.8329938900204,5530.0,6.72,822.9166666666667,,66,130.0,12.0,10300.0,2.1,4904.761904761905,6200.0,3.21,1931.4641744548287,5700.0,4.19,1360.3818615751788,6600.0,6.17,1069.6920583468395,10300.0,2.1,4904.761904761905,10200.0,1.96,5204.081632653061,,1.8,,,,4.84450937096325,,,6.642644505157584,,,7.5500770408166265,,,11.338091123176868,,0.732064898677266,0.31553398058252424,0.19774653375328763,0.16740434037692747,0.732064898677266,0.7958277691558091,1.0,0.5563493859996604,0.3119300723120702,0.23296856852497097,1.0,0.3937936666364214,0.27735940867066755,0.21809255558527796,1.0,1.0610263522884882,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-HPV5H 0140,i-HPV5H 0140,25.02.2022,Outdoor Air/Water,R32,"6,500 kg",,74,167.0,31.0,4.25,-7.0,-10.0,27100.0,2.49,10883.534136546185,17600.0,4.23,4160.7565011820325,18000.0,5.54,3249.0974729241875,20200.0,7.11,2841.068917018284,27100.0,2.49,10883.534136546185,26900.0,2.17,12396.3133640553,,58.0,22.0,22.0,22.0,38.0,0,4.1,29.6,4.8,29600.0,3.1,9548.387096774193,21700.0,4.14,5241.545893719807,15000.0,5.0,3000.0,16190.000000000002,6.57,2464.231354642314,,74,126.0,29.0,25800.0,1.72,15000.0,17100.0,3.1,5516.129032258064,20200.0,4.59,4400.871459694989,22900.0,7.25,3158.6206896551726,25800.0,1.72,15000.0,25500.0,1.51,16887.417218543047,,29.0,,,,4.620916630764946,,,6.380637645325383,,,7.688469491666625,,,11.08500873203453,,0.7255689424364123,0.27738376674546883,0.21660649819494585,0.1894045944678856,0.7255689424364123,0.8264208909370201,1.0,0.5489456848152501,0.3141891891891892,0.2580782837632153,1.0,0.36774193548387096,0.2933914306463326,0.21057471264367816,1.0,1.1258278145695364,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-HPV5H 0260,i-HPV5H 0260,25.02.2022,Outdoor Air/Water,R32,"11,700 kg",,80,154.0,47.0,3.92,-7.0,-10.0,41800.0,2.18,19174.311926605504,27700.0,3.78,7328.042328042328,31200.0,5.56,5611.510791366907,35600.0,7.38,4823.848238482385,41800.0,2.18,19174.311926605504,40100.0,1.87,21443.85026737968,,58.0,22.0,22.0,22.0,76.0,0,6.9,48.0,4.86,48000.0,3.1,15483.870967741936,35400.0,4.12,8592.233009708738,27020.0,5.16,5236.434108527132,28950.0,6.45,4488.372093023256,,80,120.0,47.0,41300.0,1.55,26645.16129032258,29100.0,2.93,9931.74061433447,43400.0,4.68,9273.504273504273,42300.0,7.25,5834.482758620689,41300.0,1.55,26645.16129032258,37900.0,1.28,29609.375,,9.1,,,,4.620916630764946,,,6.349813308874536,,,7.934500515399957,,,10.882542819120657,,0.7196170335650977,0.27502338035025686,0.21060149459125196,0.18104030919243816,0.7196170335650977,0.8047934119718766,1.0,0.5549150485436893,0.3381863695090439,0.28987403100775194,1.0,0.3727408705137634,0.34803708532522093,0.2189696919094932,1.0,1.1112477300242132,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-HPV5H 0270,i-HPV5H 0270,25.02.2022,Outdoor Air/Water,R32,"12,000 kg",,81,155.0,49.0,3.94,-7.0,-10.0,43600.0,2.09,20861.244019138758,28800.0,3.89,7403.598971722365,33100.0,5.67,5837.7425044091715,36900.0,7.01,5263.908701854493,43600.0,2.09,20861.244019138758,41700.0,1.79,23296.08938547486,,58.0,22.0,22.0,22.0,76.0,0,7.3,53.2,4.85,53200.0,3.01,17674.418604651164,39200.0,4.06,9655.172413793105,29040.0,5.1,5694.117647058824,31500.0,6.73,4680.534918276374,,81,120.0,51.0,45500.0,1.55,29354.838709677417,28500.0,3.02,9437.086092715232,35300.0,4.38,8059.3607305936075,39700.0,6.82,5821.114369501466,45500.0,1.55,29354.838709677417,42900.0,1.41,30425.531914893618,,51.0,,,,4.4867609866459635,,,6.257340299521993,,,7.8422388814999575,,,11.35496328258636,,0.7106577632893424,0.25221051442131137,0.19886815124910368,0.17931996676647177,0.7106577632893424,0.7936030449996931,1.0,0.5462794918330309,0.32216718266253874,0.2648197387972159,1.0,0.32148315260898047,0.27454965126198005,0.1983016983016983,1.0,1.0364741641337387,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-SHWAK V4 06,i-SHWAK V4 06,26.05.2020,Outdoor Air/Water,R410A,"2,680 kg",35.0,64,151.0,5.0,3.86,-7.0,-10.0,5300.0,2.68,1977.6119402985073,3400.0,4.1,829.2682926829269,3600.0,4.15,867.4698795180722,3700.0,5.11,724.0704500978474,5300.0,2.68,1977.6119402985073,5000.0,2.34,2136.7521367521367,,39.0,0.0,11.0,11.0,0.0,0,0.0,5.07,3.82,5070.0,2.91,1742.2680412371133,3740.0,4.04,925.7425742574258,3400.0,4.09,831.2958435207825,3680.0,4.92,747.9674796747968,35.0,64,119.0,4.0,4500.0,1.57,2866.2420382165606,2700.0,2.95,915.2542372881355,3300.0,4.57,722.1006564551421,3600.0,6.02,598.0066445182724,4500.0,1.57,2866.2420382165606,4300.0,1.45,2965.5172413793102,,0.0,,,,4.337699159847095,,,6.226515963071146,,,6.289168044183299,,,8.301102429468779,,0.6899668325041459,0.28932249322493225,0.3026506024096385,0.25262013481191564,0.6899668325041459,0.7454890788224121,1.0,0.5313433710234929,0.477134300719029,0.4293067782748834,1.0,0.31932203389830505,0.2519328956965718,0.20863787375415282,1.0,1.0346360153256704,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-SHWAK V4 08,i-SHWAK V4 08,26.05.2020,Outdoor Air/Water,R410A,"2,200 kg",35.0,64,155.0,6.0,3.94,-7.0,-10.0,5500.0,2.62,2099.236641221374,3400.0,4.19,811.4558472553698,3600.0,4.39,820.0455580865604,3700.0,5.12,722.65625,5500.0,2.62,2099.236641221374,5100.0,2.33,2188.841201716738,,39.0,0.0,11.0,11.0,0.0,0,0.0,6.12,3.84,6120.0,2.9,2110.344827586207,4510.0,3.88,1162.3711340206187,3400.0,4.09,831.2958435207825,3680.0,4.92,747.9674796747968,35.0,64,124.0,5.0,5000.0,1.72,2906.9767441860467,3300.0,3.1,1064.516129032258,4000.0,4.42,904.9773755656108,4400.0,6.18,711.9741100323625,5000.0,1.72,2906.9767441860467,4400.0,1.44,3055.5555555555557,,0.0,,,,4.322792977167207,,,5.979921271464368,,,6.289168044183299,,,8.301102429468779,,0.7221374045801526,0.2791408114558472,0.28209567198177676,0.24859374999999997,0.7221374045801526,0.7529613733905578,1.0,0.5507967791927768,0.3939146970931812,0.3544290344864233,1.0,0.3661935483870967,0.3113122171945701,0.2449190938511327,1.0,1.051111111111111,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-SHWAK V4 10/12,i-SHWAK V4 10,26.05.2020,Outdoor Air/Water,R410A,"3,450 kg",39.0,64,161.0,6.0,4.1,-7.0,-10.0,6300.0,2.59,2432.4324324324325,4300.0,3.95,1088.607594936709,5300.0,5.38,985.1301115241636,5500.0,7.15,769.2307692307692,6300.0,2.59,2432.4324324324325,5600.0,2.44,2295.0819672131147,,39.0,0.0,11.0,11.0,0.0,0,0.0,7.56,4.91,7560.0,3.11,2430.8681672025723,5570.0,4.48,1243.3035714285713,5420.0,5.89,920.2037351443124,5730.0,6.59,869.4992412746586,39.0,64,123.0,6.0,5500.0,1.65,3333.3333333333335,4000.0,3.15,1269.8412698412699,5000.0,4.45,1123.5955056179776,5300.0,6.02,880.3986710963455,5500.0,1.65,3333.3333333333335,4700.0,1.25,3760.0,,0.0,,,,4.635822813444833,,,6.904651364989787,,,9.057017061183284,,,11.118753050853508,,0.7297297297297297,0.3265822784810127,0.2955390334572491,0.23076923076923073,0.7297297297297297,0.6885245901639344,1.0,0.5114648289871504,0.3785494201453455,0.3576908254449985,1.0,0.38095238095238093,0.33707865168539325,0.26411960132890366,1.0,1.128,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
