manufacturers,models,titel,dates,types,refrigerants,mass_of_refrigerants,spl_indoor_l,spl_outdoor_l,eta_l,p_rated_l,scop_l,t_biv,tol,p_th_minus7_l,cop_minus7_l,p_el_minus7_l,p_th_2_l,cop_2_l,p_el_2_l,p_th_7_l,cop_7_l,p_el_7_l,p_th_12_l,cop_12_l,p_el_12_l,p_th_tbiv_l,cop_tbiv_l,p_el_tbiv_l,p_th_tol_l,cop_tol_l,p_el_tol_l,rated_airflows_l,wtols,poffs,ptos,psbs,pcks,supp_energy_types,p_sups_l,p_design_cools_l,seers_l,pdcs_35_l,eer_35_l,p_el_35_l,pdcs_30_l,eer_30_l,p_el_30_l,pdcs_25_l,eer_25_l,p_el_25_l,pdcs_20_l,eer_20_l,p_el_20_l,spl_indoor_h,spl_outdoor_h,eta_h,p_rated_h,p_th_minus7_h,cop_minus7_h,p_el_minus7_h,p_th_2_h,cop_2_h,p_el_2_h,p_th_7_h,cop_7_h,p_el_7_h,p_th_12_h,cop_12_h,p_el_12_h,p_th_tbiv_h,cop_tbiv_h,p_el_tbiv_h,p_th_tol_h,cop_tol_h,p_el_tol_h,rated_airflows_h,p_sups_h,p_design_cools_h,seers_h,pdcs_35_h,eer_35_h,p_el_35_h,pdcs_30_h,eer_30_h,p_el_30_h,pdcs_25_h,eer_25_h,p_el_25_h,pdcs_20_h,eer_20_h,p_el_20_h,p_el_minus7_l_n,p_el_2_l_n,p_el_7_l_n,p_el_12_l_n,p_el_tbiv_l_n,p_el_tol_l_n,p_el_35_l_n,p_el_30_l_n,p_el_25_l_n,p_el_20_l_n,p_el_minus7_h_n,p_el_2_h_n,p_el_7_h_n,p_el_12_h_n,p_el_tbiv_h_n,p_el_tol_h_n,p_el_35_h_n,p_el_30_h_n,p_el_25_h_n,p_el_20_h_n
 Vaillant Deutschland GmbH & Co KG,VWL 55/6 A 230V,VWL 55/6 A 230V S3,12.11.2021,Outdoor Air/Water,R290,"0,600 kg",,52,177.0,4.45,4.5,-10.0,-10.0,3930.0,2.79,1408.6021505376343,2170.0,4.46,486.5470852017937,2260.0,5.99,377.2954924874791,2540.0,7.16,354.7486033519553,4420.0,2.21,2000.0,4420.0,2.21,2000.0,,55.0,8.0,17.0,17.0,0.0,1,0.03,,,,,,,,,,,,,,,,54,130.0,4.88,4320.0,2.11,2047.3933649289102,2460.0,3.19,771.1598746081505,2120.0,4.4,481.81818181818176,2520.0,6.03,417.910447761194,4630.0,1.86,2489.2473118279568,4630.0,1.86,2489.2473118279568,,0.25,,,,,,,,,,,,,,,0.6879978096375945,0.23764221059624643,0.1842809002658752,0.17326841506310778,0.9768518518518517,0.9768518518518517,,,,,1.0,0.3766544757924068,0.23533249158249153,0.20411829740187945,1.2158129231381918,1.2158129231381918,,,,
 Vaillant Deutschland GmbH & Co KG,VWL 75/5 AS 230V,VWL 75/5 AS 230V + VWL 77/5 IS,10.03.2021,Outdoor Air/Water,R410A,"2,390 kg",43.0,54,173.0,7.08,4.4,-7.0,-10.0,6300.0,2.58,2441.860465116279,3900.0,4.37,892.4485125858123,2720.0,5.86,464.16382252559725,3280.0,7.54,435.0132625994695,6260.0,2.57,2435.79766536965,5660.0,2.38,2378.1512605042017,,55.0,11.0,11.0,11.0,0.0,1,1.42,,,,,,,,,,,,,,,43.0,54,133.0,6.36,5620.0,2.0,2810.0,3310.0,3.29,1006.0790273556231,2690.0,4.62,582.2510822510823,3210.0,6.27,511.96172248803833,5620.0,2.0,2810.0,4920.0,1.84,2673.9130434782605,,1.44,,,,,,,,,,,,,,,0.8689894893652239,0.31759733543979085,0.16518285499131574,0.15480899024892153,0.8668319093842171,0.8463171745566554,,,,,1.0,0.35803524105182316,0.20720679083668408,0.18219278380357237,1.0,0.9515704781061426,,,,
 Vaillant Deutschland GmbH & Co KG,VWL 75/6 A 230V,VWL 65/6 A 230V,12.09.2022,Outdoor Air/Water,R290,"0,900 kg",,53,188.0,5.75,4.76,-10.0,-10.0,5190.0,3.1,1674.1935483870968,3010.0,4.73,636.3636363636363,3090.0,6.17,500.8103727714749,3660.0,7.6,481.5789473684211,5370.0,2.78,1931.654676258993,5370.0,2.78,1931.654676258993,,55.0,8.0,29.0,29.0,0.0,1,0.0,,,,,,,,,,,,,,,,55,131.0,4.49,3890.0,2.19,1776.2557077625572,2570.0,3.25,790.7692307692307,2950.0,4.48,658.4821428571428,3560.0,6.06,587.4587458745875,4840.0,1.89,2560.846560846561,4840.0,1.89,2560.846560846561,,0.0,,,,,,,,,,,,,,,0.9425408408657434,0.3582612759990651,0.28194722785849097,0.2711202814233527,1.0874868228810268,1.0874868228810268,,,,,1.0,0.44518884714257456,0.3707135971355122,0.33072870269032045,1.4417105316848247,1.4417105316848247,,,,
 Vaillant Deutschland GmbH & Co KG,VWL 75/6 A 230V,VWL 65/6 A 230V S3,12.09.2022,Outdoor Air/Water,R290,"0,900 kg",,50,186.0,6.73,4.71,-7.0,-10.0,5960.0,3.01,1980.0664451827245,3670.0,4.62,794.3722943722944,3120.0,6.36,490.566037735849,3690.0,7.82,471.86700767263426,5960.0,3.01,1980.0664451827245,5520.0,2.77,1992.7797833935017,,55.0,8.0,29.0,29.0,0.0,1,1.21,,,,,,,,,,,,,,,,57,136.0,6.26,5540.0,2.14,2588.785046728972,3630.0,3.39,1070.796460176991,3010.0,4.67,644.5396145610279,3570.0,6.19,576.7366720516962,5540.0,2.14,2588.785046728972,5050.0,1.9,2657.8947368421054,,1.21,,,,,,,,,,,,,,,0.7648632116770814,0.3068513916889368,0.18949662829507527,0.18227353725982623,0.7648632116770814,0.7697741401556126,,,,,1.0,0.41362895754129264,0.24897378613007215,0.2227827577961426,1.0,1.0266958008740263,,,,
 Vaillant Deutschland GmbH & Co KG,VWL 75/6 A 230V,VWL 75/6 A 230V,12.09.2022,Outdoor Air/Water,R290,"0,900 kg",,53,185.0,6.6,4.69,-10.0,-10.0,5840.0,2.72,2147.0588235294117,3720.0,4.68,794.8717948717949,3180.0,6.38,498.43260188087777,3740.0,7.88,474.61928934010155,6270.0,2.64,2375.0,6270.0,2.64,2375.0,,70.0,8.0,29.0,29.0,0.0,1,0.0,,,,,,,,,,,,,,,,55,134.0,6.13,5420.0,2.13,2544.6009389671362,3460.0,3.36,1029.7619047619048,3000.0,4.6,652.1739130434784,3590.0,6.18,580.906148867314,5420.0,2.13,2544.6009389671362,4880.0,1.88,2595.744680851064,,1.25,,,,,,,,,,,,,,,0.8437703494682005,0.31237581606585296,0.19587849483510508,0.18652012662258602,0.9333487084870848,0.9333487084870848,,,,,1.0,0.40468502899314707,0.25629712818867323,0.22828968580947948,1.0,1.0200989243934993,,,,
 Vaillant Deutschland GmbH & Co KG,VWL 75/6 A 230V,VWL 85/6 A 230V S3,12.09.2022,Outdoor Air/Water,R290,"0,900 kg",,58,187.0,7.21,4.75,-7.0,-10.0,6380.0,2.93,2177.4744027303755,3830.0,4.73,809.7251585623678,3210.0,6.33,507.1090047393365,3720.0,7.79,477.53530166880614,6380.0,2.93,2177.4744027303755,6000.0,2.66,2255.6390977443607,,55.0,8.0,29.0,29.0,0.0,1,1.21,,,,,,,,,,,,,,,,57,135.0,6.39,5660.0,2.17,2608.294930875576,3490.0,3.32,1051.2048192771085,3060.0,4.67,655.2462526766595,3620.0,6.23,581.059390048154,5660.0,2.17,2608.294930875576,5090.0,1.92,2651.041666666667,,1.3,,,,,,,,,,,,,,,0.8348267586439778,0.3104423311096004,0.19442165022691876,0.18308332237125607,0.8348267586439778,0.8647944950716012,,,,,1.0,0.4030237558005875,0.251216319489108,0.22277365307499897,1.0,1.0163887661955242,,,,
 Vaillant Deutschland GmbH & Co KG,VWL 77/5 230V / VWL 77/5 230V S2 / VWL 79/5 230V / VWL 79/5 230V S2, VWL 79/5 230V,10.08.2022,Outdoor Air/Water,R410A,"1,800 kg",48.0,-,169.0,7.34,4.29,-7.0,-10.0,6530.0,2.63,2482.8897338403044,3840.0,4.26,901.4084507042254,2840.0,5.67,500.88183421516754,3430.0,7.48,458.55614973262027,6530.0,2.63,2482.8897338403044,5960.0,1.54,3870.12987012987,,55.0,10.0,10.0,10.0,0.0,1,1.38,,,,,,,,,,,,,,,50.0,-,133.0,6.32,5620.0,1.98,2838.3838383838383,3420.0,3.45,991.3043478260869,2640.0,4.29,615.3846153846154,3220.0,6.01,535.7737104825292,5620.0,1.98,2838.3838383838383,4580.0,1.79,2558.6592178770948,,1.74,,,,,,,,,,,,,,,0.8747547460860859,0.31757806626234275,0.17646726543523697,0.16155536947875235,0.8747547460860859,1.3634977122521608,,,,,1.0,0.3492495745010057,0.21680810292909936,0.18876013287462773,1.0,0.9014493329887273,,,,
 Vaillant Deutschland GmbH & Co KG,VWL 85/3 A 230V,VWL 85/3 A 230V,22.02.2017,Outdoor Air/Water,R410A,"1,950 kg",60.0,60,153.0,6.45,3.9,-7.0,-10.0,5710.0,2.34,2440.1709401709404,3570.0,3.83,932.1148825065274,2980.0,5.1,584.3137254901961,3540.0,6.7,528.3582089552239,5710.0,2.34,2440.1709401709404,5510.0,2.25,2448.8888888888887,,63.0,4.0,4.0,5.0,6.0,1,0.94,,,,,,,,,,,,,,,60.0,60,120.0,3.73,3250.0,1.99,1633.1658291457286,2220.0,2.91,762.8865979381443,2810.0,4.02,699.0049751243782,3490.0,5.69,613.3567662565905,3730.0,1.76,2119.318181818182,3730.0,1.76,2119.318181818182,,0.0,,,,,,,,,,,,,,,1.4941354372123605,0.5707411126732276,0.3577797888386124,0.3235177956371986,1.4941354372123605,1.4994735042735041,,,,,1.0,0.46712133227597147,0.4280061232300039,0.3755630661078816,1.2976748251748254,1.2976748251748254,,,,
 Vaillant Deutschland GmbH & Co KG,VWL 85/7.2 AS 230V S3 / VWL 105/7.2 AS 230V S3,VWL 105/7.2 AS 230V S3 + VWL 107/7.2 IS,26.09.2022,Outdoor Air/Water,R32,"1,600 kg",41.0,63,178.0,7.75,4.51,-7.0,-10.0,6860.0,2.8,2450.0,4100.0,4.43,925.507900677201,4470.0,6.09,733.9901477832512,5120.0,7.95,644.0251572327044,6860.0,2.8,2450.0,6080.0,2.4,2533.3333333333335,,60.0,15.0,20.0,15.0,0.0,1,1.67,7.69,3.97,7690.0,2.39,3217.573221757322,5340.0,3.43,1556.8513119533527,3320.0,4.44,747.7477477477477,3650.0,5.5,663.6363636363636,41.0,63,130.0,8.35,7380.0,2.24,3294.642857142857,4390.0,3.1,1416.1290322580644,4450.0,4.51,986.6962305986697,5340.0,6.07,879.7364085667216,7380.0,2.24,3294.642857142857,7070.0,1.98,3570.7070707070707,,1.28,8.44,5.94,8440.0,3.61,2337.9501385041553,5980.0,5.01,1193.612774451098,4480.0,6.84,654.9707602339181,4820.0,8.57,562.4270711785298,0.7436314363143632,0.2809129671432155,0.22278291748434728,0.19547647048797534,0.7436314363143632,0.7689250225835593,1.0,0.4838588602819913,0.23239494370833774,0.20625369429010523,1.0,0.42982778214878925,0.29948503476165583,0.26702026493082065,1.0,1.0837918480194904,0.7266190937613696,0.3709667790556729,0.2035604833496833,0.17479853057434153
 Vaillant Deutschland GmbH & Co KG,VWL 85/7.2 AS 230V S3 / VWL 105/7.2 AS 230V S3,VWL 105/7.2 AS 230V S3 + VWL 107/7.2 IS S1,26.09.2022,Outdoor Air/Water,R32,"1,600 kg",39.0,63,177.0,6.08,4.51,-10.0,-10.0,6860.0,2.8,2450.0,4100.0,4.43,925.507900677201,4470.0,6.09,733.9901477832512,5120.0,7.95,644.0251572327044,6080.0,2.4,2533.3333333333335,6080.0,2.4,2533.3333333333335,,60.0,15.0,20.0,15.0,0.0,0,0.0,7.69,3.97,7690.0,2.39,3217.573221757322,5340.0,3.43,1556.8513119533527,3320.0,4.44,747.7477477477477,3650.0,5.5,663.6363636363636,39.0,63,130.0,7.07,7380.0,2.24,3294.642857142857,4390.0,3.1,1416.1290322580644,4450.0,4.51,986.6962305986697,5340.0,6.07,879.7364085667216,7070.0,1.98,3570.7070707070707,7070.0,1.98,3570.7070707070707,,0.0,8.44,5.94,8440.0,3.61,2337.9501385041553,5980.0,5.01,1193.612774451098,4480.0,6.84,654.9707602339181,4820.0,8.57,562.4270711785298,0.7436314363143632,0.2809129671432155,0.22278291748434728,0.19547647048797534,0.7689250225835593,0.7689250225835593,1.0,0.4838588602819913,0.23239494370833774,0.20625369429010523,1.0,0.42982778214878925,0.29948503476165583,0.26702026493082065,1.0837918480194904,1.0837918480194904,0.7266190937613696,0.3709667790556729,0.2035604833496833,0.17479853057434153
