Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W]
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),35,7,3.23,1.0,10660.0,3300.30959752322
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),30,7,4.32,1.0,7870.0,1821.7592592592591
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),25,7,6.16,1.0,5160.0,837.6623376623377
DAIKIN Europe N.V.,EPGA11DV / EAVX16S23D9W(G),20,7,6.65,1.0,7860.0,1181.954887218045
DAIKIN Europe N.V.,EPGA14DV / EAVX16S23D9W(G),35,7,2.99,1.0,11890.0,3976.5886287625417
DAIKIN Europe N.V.,EPGA14DV / EAVX16S23D9W(G),30,7,4.15,1.0,8790.0,2118.0722891566265
DAIKIN Europe N.V.,EPGA14DV / EAVX16S23D9W(G),25,7,6.19,1.0,5560.0,898.2229402261712
DAIKIN Europe N.V.,EPGA14DV / EAVX16S23D9W(G),20,7,6.65,1.0,7860.0,1181.954887218045
DAIKIN Europe N.V.,EPGA16DV / EAVX16S23D9W(G),35,7,2.74,1.0,13480.0,4919.70802919708
DAIKIN Europe N.V.,EPGA16DV / EAVX16S23D9W(G),30,7,4.01,1.0,9470.0,2361.5960099750623
DAIKIN Europe N.V.,EPGA16DV / EAVX16S23D9W(G),25,7,6.12,1.0,6180.0,1009.8039215686274
DAIKIN Europe N.V.,EPGA16DV / EAVX16S23D9W(G),20,7,6.65,1.0,7860.0,1181.954887218045
DAIKIN Europe N.V.,EDLA11D(3)W1,35,7,3.26,1.0,11600.0,3558.2822085889575
DAIKIN Europe N.V.,EDLA11D(3)W1,30,7,4.75,1.0,8800.0,1852.6315789473683
DAIKIN Europe N.V.,EDLA11D(3)W1,25,7,6.91,1.0,5700.0,824.8914616497829
DAIKIN Europe N.V.,EDLA11D(3)W1,20,7,8.45,1.0,5800.0,686.3905325443787
DAIKIN Europe N.V.,EDLA14D(3)W1,35,7,3.16,1.0,12800.0,4050.632911392405
DAIKIN Europe N.V.,EDLA14D(3)W1,30,7,4.57,1.0,9900.0,2166.3019693654264
DAIKIN Europe N.V.,EDLA14D(3)W1,25,7,6.8,1.0,6200.0,911.7647058823529
DAIKIN Europe N.V.,EDLA14D(3)W1,20,7,8.42,1.0,5800.0,688.8361045130641
DAIKIN Europe N.V.,EDLA16D(3)W1,35,7,3.06,1.0,14000.0,4575.16339869281
DAIKIN Europe N.V.,EDLA16D(3)W1,30,7,4.41,1.0,10800.0,2448.9795918367345
DAIKIN Europe N.V.,EDLA16D(3)W1,25,7,6.56,1.0,6900.0,1051.829268292683
DAIKIN Europe N.V.,EDLA16D(3)W1,20,7,8.51,1.0,5900.0,693.3019976498238
DAIKIN Europe N.V.,EBLA09D(3)W1,35,7,3.35,1.0,9400.0,2805.970149253731
DAIKIN Europe N.V.,EBLA09D(3)W1,30,7,4.69,1.0,7000.0,1492.5373134328356
DAIKIN Europe N.V.,EBLA09D(3)W1,25,7,6.7,1.0,4900.0,731.3432835820895
DAIKIN Europe N.V.,EBLA09D(3)W1,20,7,8.22,1.0,5700.0,693.4306569343065
DAIKIN Europe N.V.,EDLA09D(3)W1,35,7,3.35,1.0,9400.0,2805.970149253731
DAIKIN Europe N.V.,EDLA09D(3)W1,30,7,4.69,1.0,7000.0,1492.5373134328356
DAIKIN Europe N.V.,EDLA09D(3)W1,25,7,6.7,1.0,4900.0,731.3432835820895
DAIKIN Europe N.V.,EDLA09D(3)W1,20,7,8.22,1.0,5700.0,693.4306569343065
DAIKIN Europe N.V.,ERGA04EV7 / EHVX04S23E6V(G),35,7,3.32,1.0,4520.0,1361.44578313253
DAIKIN Europe N.V.,ERGA04EV7 / EHVX04S23E6V(G),30,7,5.11,1.0,3140.0,614.4814090019569
DAIKIN Europe N.V.,ERGA04EV7 / EHVX04S23E6V(G),25,7,6.69,1.0,2430.0,363.2286995515695
DAIKIN Europe N.V.,ERGA04EV7 / EHVX04S23E6V(G),20,7,8.24,1.0,2500.0,303.3980582524272
DAIKIN Europe N.V.,ERGA04EVA / EHSXB04P50D3,35,7,3.32,1.0,4520.0,1361.44578313253
DAIKIN Europe N.V.,ERGA04EVA / EHSXB04P50D3,30,7,5.11,1.0,3140.0,614.4814090019569
DAIKIN Europe N.V.,ERGA04EVA / EHSXB04P50D3,25,7,6.69,1.0,2430.0,363.2286995515695
DAIKIN Europe N.V.,ERGA04EVA / EHSXB04P50D3,20,7,8.24,1.0,2500.0,303.3980582524272
DAIKIN Europe N.V.,ERLA03DV / EHFH03S18D3V + cooling kit,35,7,3.03,1.0,3490.0,1151.8151815181518
DAIKIN Europe N.V.,ERLA03DV / EHFH03S18D3V + cooling kit,30,7,4.21,1.0,2660.0,631.8289786223278
DAIKIN Europe N.V.,ERLA03DV / EHFH03S18D3V + cooling kit,25,7,5.11,1.0,1730.0,338.5518590998043
DAIKIN Europe N.V.,ERLA03DV / EHFH03S18D3V + cooling kit,20,7,6.79,1.0,1380.0,203.240058910162
DAIKIN Europe N.V.,ERGA06EVA / EHVX08S23E9W,35,7,3.28,1.0,5090.0,1551.829268292683
DAIKIN Europe N.V.,ERGA06EVA / EHVX08S23E9W,30,7,4.93,1.0,3750.0,760.6490872210953
DAIKIN Europe N.V.,ERGA06EVA / EHVX08S23E9W,25,7,6.86,1.0,2470.0,360.05830903790087
DAIKIN Europe N.V.,ERGA06EVA / EHVX08S23E9W,20,7,8.36,1.0,2520.0,301.43540669856463
DAIKIN Europe N.V.,ERGA08EVA / EHVX08S23E9W,35,7,3.14,1.0,5440.0,1732.484076433121
DAIKIN Europe N.V.,ERGA08EVA / EHVX08S23E9W,30,7,4.84,1.0,4019.9999999999995,830.5785123966941
DAIKIN Europe N.V.,ERGA08EVA / EHVX08S23E9W,25,7,6.86,1.0,2470.0,360.05830903790087
DAIKIN Europe N.V.,ERGA08EVA / EHVX08S23E9W,20,7,8.47,1.0,2540.0,299.8819362455726
DAIKIN Europe N.V.,ERGA08EV / EHVZ08S23E9W + cooling,35,7,3.14,1.0,5440.0,1732.484076433121
DAIKIN Europe N.V.,ERGA08EV / EHVZ08S23E9W + cooling,30,7,4.84,1.0,4019.9999999999995,830.5785123966941
DAIKIN Europe N.V.,ERGA08EV / EHVZ08S23E9W + cooling,25,7,6.86,1.0,2470.0,360.05830903790087
DAIKIN Europe N.V.,ERGA08EV / EHVZ08S23E9W + cooling,20,7,8.47,1.0,2540.0,299.8819362455726
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,35,7,4.0,1.0,4000.0,1000.0
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,35,18,5.4,1.0,5500.0,1018.5185185185185
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,30,7,5.0,1.0,2950.0,590.0
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,30,18,7.2,1.0,4050.0,562.5
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,25,7,6.45,1.0,2050.0,317.82945736434107
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,25,18,9.6,1.0,2610.0,271.875
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,20,7,8.0,1.0,2880.0,360.0
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2WHVRP RWD-2.0NRWSE-260S Solar Version - with cooling kit,20,18,10.3,1.0,2510.0,243.6893203883495
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,35,7,3.6,1.0,5300.0,1472.2222222222222
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,35,18,5.3,1.0,6300.0,1188.6792452830189
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,30,7,4.5,1.0,3910.0,868.8888888888889
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,30,18,7.0,1.0,4640.0,662.8571428571429
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,25,7,6.3,1.0,2510.0,398.41269841269843
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,25,18,9.9,1.0,2980.0,301.010101010101
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,20,7,8.56,1.0,2880.0,336.4485981308411
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-2.5WHVRP RWD-2.5NRWSE260S - Solar Version - with cooling kit,20,18,12.6,1.0,2650.0,210.31746031746033
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,35,7,3.35,1.0,6500.0,1940.2985074626865
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,35,18,5.0,1.0,7000.0,1400.0
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,30,7,4.5,1.0,4790.0,1064.4444444444443
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,30,18,6.4,1.0,5160.0,806.25
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,25,7,6.0,1.0,2900.0,483.3333333333333
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,25,18,10.0,1.0,3320.0,332.0
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,20,7,7.5,1.0,3400.0,453.3333333333333
Johnson Controls-Hitachi AirConditioning Spain,06. RAS-3WHVRP RWD-3.0NRWSE-260S Solar Version - with cooling kit,20,18,13.5,1.0,3600.0,266.6666666666667
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,35,7,3.17,1.0,5000.0,1577.2870662460568
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,30,7,4.59,1.0,3680.0,801.7429193899783
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,25,7,6.7,1.0,2370.0,353.7313432835821
Panasonic Marketing Europe GmbH,WH-MDC05J3E5 + DGC200,20,7,8.62,1.0,1050.0,121.80974477958237
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,35,7,3.15,1.0,6000.0,1904.7619047619048
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,30,7,4.43,1.0,4420.0,997.7426636568849
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,25,7,6.36,1.0,2840.0,446.54088050314465
Panasonic Marketing Europe GmbH,WH-MDC07J3E5 + DGC200,20,7,8.11,1.0,1260.0,155.36374845869298
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,35,7,3.06,1.0,7000.0,2287.581699346405
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,30,7,4.15,1.0,5160.0,1243.3734939759036
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,25,7,6.11,1.0,3320.0,543.3715220949264
Panasonic Marketing Europe GmbH,WH-MDC09J3E5 + DGC200,20,7,7.64,1.0,1470.0,192.4083769633508
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,35,7,3.95,1.0,3000.0,759.493670886076
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,30,7,5.37,1.0,2210.0,411.5456238361266
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,25,7,7.44,1.0,1420.0,190.86021505376343
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD03JE5,20,7,8.93,1.0,630.0,70.54871220604703
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,35,7,3.47,1.0,4000.0,1152.7377521613832
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,30,7,5.12,1.0,2950.0,576.171875
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,25,7,7.31,1.0,1890.0,258.5499316005472
Panasonic Marketing Europe GmbH,WH-SDC0305J3E5 / WH-UD05JE5,20,7,9.26,1.0,840.0,90.71274298056156
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,35,7,2.95,1.0,7000.0,2372.8813559322034
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,30,7,4.0,1.0,5160.0,1290.0
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,25,7,5.91,1.0,3320.0,561.7597292724196
Panasonic Marketing Europe GmbH,WH-SDC0709J3E5 / WH-UD09JE5-1,20,7,7.54,1.0,1470.0,194.9602122015915
Viessmann,AWO-M-AC (AF) 101.A06,35,7,3.14,1.0,5020.0,1598.7261146496814
Viessmann,AWO-M-AC (AF) 101.A06,30,7,4.03,1.0,3700.0,918.1141439205954
Viessmann,AWO-M-AC (AF) 101.A06,25,7,4.8,1.0,2700.0,562.5
Viessmann,AWO-M-AC (AF) 101.A06,20,7,6.1,1.0,2960.0,485.2459016393443
Viessmann,AWO-M-AC (AF) 101.A08,35,7,3.05,1.0,6080.0,1993.44262295082
Viessmann,AWO-M-AC (AF) 101.A08,30,7,4.07,1.0,4490.0,1103.194103194103
Viessmann,AWO-M-AC (AF) 101.A08,25,7,4.84,1.0,2740.0,566.1157024793389
Viessmann,AWO-M-AC (AF) 101.A08,20,7,6.34,1.0,3020.0,476.34069400630915
Viessmann,AWO-M-AC (AF) 101.A12,35,7,3.05,1.0,8510.0,2790.16393442623
Viessmann,AWO-M-AC (AF) 101.A12,30,7,4.03,1.0,6280.0,1558.3126550868485
Viessmann,AWO-M-AC (AF) 101.A12,25,7,4.58,1.0,3980.0,868.9956331877729
Viessmann,AWO-M-AC (AF) 101.A12,20,7,6.08,1.0,4230.0,695.7236842105264
Viessmann,AWO-M-AC (AF) 101.A10,35,7,3.15,1.0,7530.0,2390.4761904761904
Viessmann,AWO-M-AC (AF) 101.A10,30,7,3.92,1.0,5490.0,1400.5102040816328
Viessmann,AWO-M-AC (AF) 101.A10,25,7,4.46,1.0,3560.0,798.2062780269058
Viessmann,AWO-M-AC (AF) 101.A10,20,7,6.07,1.0,4350.0,716.6392092257001
Viessmann,AWO-M-AC (AF) 101.A14,35,7,3.25,1.0,11480.0,3532.3076923076924
Viessmann,AWO-M-AC (AF) 101.A14,30,7,4.31,1.0,8470.0,1965.1972157772623
Viessmann,AWO-M-AC (AF) 101.A14,25,7,4.91,1.0,5410.0,1101.8329938900204
Viessmann,AWO-M-AC (AF) 101.A14,20,7,6.52,1.0,5530.0,848.159509202454
Viessmann,AWO-M-AC (AF) 101.A16,35,7,3.15,1.0,13800.0,4380.952380952381
Viessmann,AWO-M-AC (AF) 101.A16,30,7,4.36,1.0,10170.0,2332.5688073394494
Viessmann,AWO-M-AC (AF) 101.A16,25,7,5.3,1.0,6470.0,1220.754716981132
Viessmann,AWO-M-AC (AF) 101.A16,20,7,6.53,1.0,5530.0,846.8606431852986
