Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-]
Airwell Residential S.A.S.,AW-YHPSA06-H91 + AW-WHPSA0406N91,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.5,38.0,58.0,14,average,2327,5050,2.170176192522561,-179.60460089064736,-0.0102520205190951,1.1629094113592462,179.55153119526983,-71.56161972675889,0.0071953272077042,0.2163095178270777,71.50540521254392,119.54598902765945,-0.1117211105030191,8.18707406773992,-119.42324932608608
Airwell Residential S.A.S.,AW-WHPMA26-H93,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,5.0,,75.0,18,average,12213,20640,1.690002456398919,-213.6867763468716,-0.001736170254902,0.8087669723229933,213.6413045122196,406.1280265815894,0.0144466046679624,-0.1089048775603615,-406.17660803004514,-213.59560210355312,-0.101337195707481,7.449865762772099,213.7448450349609
Airwell Residential S.A.S.,AW-WHPMA30-H93,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,5.0,,77.0,18,average,12337,20110,1.6300559293183108,-249.22229423028529,-0.0020338806650542,0.8777728585703767,249.17791661760367,212.7702949510114,0.0145995936306465,-0.0688343611129037,-212.81179361438728,226.1830331872732,-0.0951803736564598,7.184954812020355,-226.00892737471764
Airwell Residential S.A.S.,AW-WHPMA22-H93,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,5.0,,73.0,18,average,11391,19820,1.7399701518742867,212.7426623192949,-0.0001343097512875,0.7015186288288795,-212.78533383847463,-14.69229826639397,0.0160810816260213,-0.2072320481849593,14.64491975943509,-284.6773611940106,-0.0972355084940805,7.320903939063714,284.81280879266626
Airwell Residential S.A.S.,AW-YHPSA04-H91 + AW-WHPSA0406N91,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.5,38.0,56.0,14,average,1793,3890,2.169548243167875,141.67399964167606,-0.0079207535251219,1.134573999160411,-141.7193975367869,185.50400993821032,0.0067998757446388,0.2457426948910049,-185.55951319507167,-221.3863422829502,-0.1143026822821255,8.221704576088657,221.5059708766512
Airwell Residential S.A.S.,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,3.6,,70.0,27,average,4922,9500,1.9301097114993904,212.7418644563166,-0.006289991863088,0.9993147598042684,-212.78628324541623,-383.5715255719877,0.0109190710293204,0.0675118595738705,383.522453059556,86.25387933008496,-0.1199661553669305,8.238736761110879,-86.10385084002007
Airwell Residential S.A.S.,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,3.6,,69.0,17,average,5026,9700,1.929964186231596,-142.62161207225387,-0.0060827730475676,0.993007850862047,142.5717903426946,241.19802556386,0.0106829222103677,0.0719032642488061,-241.24904135297172,112.88852508339542,-0.094198749543728,7.212293014704225,-112.77365676062423
Airwell Residential S.A.S.,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,3.6,,73.0,17,average,5707,11700,2.050113895216401,-50.46638387513188,-0.0047845506800321,0.9124405973056124,50.41873384437826,184.3328905028663,0.0094777405634641,0.1357056453779462,-184.38433543281155,-213.59411973507864,-0.1064600035952391,7.718965848150168,213.74750492041392
Airwell Residential S.A.S.,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,3.6,,73.0,27,average,5743,11600,2.0198502524812816,-142.61699322078556,-0.0017981718225214,0.7923496724185916,142.57606343764246,212.7662029892804,0.0109519947629156,0.0737174283436825,-212.81592954913287,-106.98648193348096,-0.1049796603068289,7.65684264516134,107.15093407886856
Airwell Residential S.A.S.,AW-YHPSA16-H93 + AWWHPSA1216-N93,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.84,43.0,68.0,20,average,5789,11520,1.9899809984453276,212.7393237831569,-0.0094975640376697,1.1317982833769111,-212.78898336319736,-71.56285619882122,0.0065243100312925,0.2359551639845326,71.50419868006638,-37.00124782502965,-0.101499213309432,7.658577272302018,37.174593016330334
Airwell Residential S.A.S.,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,3.6,,67.0,17,average,5026,9700,1.929964186231596,-142.60922534536166,0.0062317731400274,0.4499353738262348,142.57447448800275,-180.14257293926664,0.0165881607692391,-0.184656861288174,180.0994663935797,71.7895299651822,-0.0549052683033084,5.534053598973377,-71.68572565091628
Airwell Residential S.A.S.,PAC BT MB 5KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,2.4,,64.0,16,average,2950,5900,2.0,106.1453338162486,0.0155496889366004,0.019641375804484,-106.166256525583,-71.54922889630906,0.0252107684806267,-0.5581796075245502,71.51808407785185,-71.46377081227843,-0.1194955028400137,8.275905162597239,71.60177166764751
Airwell Residential S.A.S.,PAC BT MB 7KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,2.4,,64.0,16,average,2950,5900,2.0,177.20769472902165,0.0008550377651252,0.6694589852088458,-177.2481652624926,174.5567442834559,0.0140938082078476,-0.0732366147868733,-174.6022043597183,8.503155938718265,-0.1189167686730131,8.237505506158259,-8.353082108910261
Airwell Residential S.A.S.,PAC BT MB 9KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,2.4,,67.0,16,average,3889,7700,1.979943430187709,-213.6858637300037,-0.0007061294441261,0.7400480210051993,213.64216362865767,497.0892922586067,0.0084756366822035,0.1809493528257816,-497.1419843418663,106.25014933682864,-0.0659346934220057,6.039717355492747,-106.05892446192809
Airwell Residential S.A.S.,PAC BT MB 16KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,3.6,,73.0,17,average,6089,12300,2.0200361307275414,-249.22502550853665,-0.0068124615527128,1.0085728094193604,249.17537280161585,-128.28636058948516,0.0091947577578335,0.1639098684305363,128.2378654564881,69.58430192025425,-0.0996218462097894,7.367372158365295,-69.45583654978319
Airwell Residential S.A.S.,PAC BT MB 16KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410A,3.6,,73.0,27,average,5879,11700,1.9901343765946589,-59.53990349087151,-0.0038312776230502,0.8936658102893029,59.49802321286163,-43.12358500784902,0.0106571849031771,0.1105927537688523,43.0784070199994,-56.16844005118186,-0.0961812703875902,7.26077263193257,56.33071392566721
Airwell Residential S.A.S.,AW-YHPSA14-H91 + AWWHPSA1216-N91,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.84,43.0,65.0,14,average,5318,10690,2.010154193305754,14.976182732379833,-0.0075771393002337,1.059789110854498,-15.022281456390871,212.76339363796404,0.0081557290808077,0.1706094076371919,-212.8187901037123,-231.3540333742109,-0.1038371915277937,7.812568668644285,231.525271778362
Airwell Residential S.A.S.,AW-YHPSA14-H93 + AWWHPSA1216-N93,2021-06-18,Outdoor Air/Water,Regulated,1.0,R32,1.84,43.0,65.0,20,average,5318,10690,2.010154193305754,15.14102294289325,-0.0075771276916914,1.05978868502486,-15.18712165731474,328.6238395058808,0.008155615289262,0.1706136808680451,-328.6792365218059,-0.358673263558245,-0.103837320865958,7.812573510636669,0.5299117972313212
