manufacturers,models,titel,dates,types,refrigerants,mass_of_refrigerants,spl_indoor_l,spl_outdoor_l,eta_l,p_rated_l,scop_l,t_biv,tol,p_th_minus7_l,cop_minus7_l,p_el_minus7_l,p_th_2_l,cop_2_l,p_el_2_l,p_th_7_l,cop_7_l,p_el_7_l,p_th_12_l,cop_12_l,p_el_12_l,p_th_tbiv_l,cop_tbiv_l,p_el_tbiv_l,p_th_tol_l,cop_tol_l,p_el_tol_l,rated_airflows_l,wtols,poffs,ptos,psbs,pcks,supp_energy_types,p_sups_l,p_design_cools_l,seers_l,pdcs_35_l,eer_35_l,p_el_35_l,pdcs_30_l,eer_30_l,p_el_30_l,pdcs_25_l,eer_25_l,p_el_25_l,pdcs_20_l,eer_20_l,p_el_20_l,spl_indoor_h,spl_outdoor_h,eta_h,p_rated_h,p_th_minus7_h,cop_minus7_h,p_el_minus7_h,p_th_2_h,cop_2_h,p_el_2_h,p_th_7_h,cop_7_h,p_el_7_h,p_th_12_h,cop_12_h,p_el_12_h,p_th_tbiv_h,cop_tbiv_h,p_el_tbiv_h,p_th_tol_h,cop_tol_h,p_el_tol_h,rated_airflows_h,p_sups_h,p_design_cools_h,seers_h,pdcs_35_h,eer_35_h,p_el_35_h,pdcs_30_h,eer_30_h,p_el_30_h,pdcs_25_h,eer_25_h,p_el_25_h,pdcs_20_h,eer_20_h,p_el_20_h,p_el_minus7_l_n,p_el_2_l_n,p_el_7_l_n,p_el_12_l_n,p_el_tbiv_l_n,p_el_tol_l_n,p_el_35_l_n,p_el_30_l_n,p_el_25_l_n,p_el_20_l_n,p_el_minus7_h_n,p_el_2_h_n,p_el_7_h_n,p_el_12_h_n,p_el_tbiv_h_n,p_el_tol_h_n,p_el_35_h_n,p_el_30_h_n,p_el_25_h_n,p_el_20_h_n,Subtype,Group,p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-],p1_P_el_c [1/°C],p2_P_el_c [1/°C],p3_P_el_c [-],p4_P_el_c [1/°C],p1_EER [-],p2_EER [-],p3_EER [-],p4_EER [-]
 Acond a.s.,Acond PRO-N,Acond PRO-N,17.03.2022,Outdoor Air/Water,R290,"1,350 kg",,,164.0,5.29,4.18,-10.0,-22.0,4680,2.98,1570,2880,4.18,689,1830,5.11,358,1810,5.18,349,5290,2.21,2394,5290,2.21,2394,,70.0,16.0,16.0,16.0,0.0,0,0.0,,,,,,,,,,,,,,,0.0,48,135.0,5.14,4540,2.2,2064,2770,3.42,810,1860,4.46,417,1760,4.86,362,5140,1.88,2734,5140,1.88,2734,,0.0,,,,,,,,,,,,,,,0.7606589147286822,0.3338178294573643,0.1734496124031007,0.1690891472868217,1.1598837209302326,1.1598837209302326,,,,,1.0,0.3924418604651162,0.2020348837209302,0.1753875968992248,1.324612403100775,1.324612403100775,,,,,Regulated,1.0,-71.55804146406061,0.01070861550387184,0.07589423483767843,71.50890372513264,80.58700896955737,-0.05244990905900433,5.534958034425514,-80.49650680007827,,,,,,,,
 Acond a.s.,Acond PRO-R,Acond PRO-R,17.03.2022,Outdoor Air/Water,R290,"2,750 kg",,,199.0,10.38,5.05,-10.0,-22.0,9230,3.24,2849,5460,5.03,1085,3810,6.33,602,4050,7.42,546,10380,2.76,3761,10380,2.76,3761,,70.0,16.0,16.0,16.0,0.0,0,0.0,,,,,,,,,,,,,,,0.0,49,154.0,10.17,9000,2.5,3600,5530,3.87,1429,3520,4.97,708,3880,6.14,632,10170,2.08,4889,10170,2.08,4889,,0.0,,,,,,,,,,,,,,,0.7913888888888889,0.3013888888888889,0.1672222222222222,0.1516666666666666,1.0447222222222223,1.0447222222222223,,,,,1.0,0.3969444444444444,0.1966666666666666,0.1755555555555555,1.3580555555555556,1.3580555555555556,,,,,Regulated,1.0,-71.55978917363649,0.0104736389076088,0.07727338910737698,71.5072098433348,248.37571556229543,-0.08121048490005038,7.247027479755549,-248.23797742809475,,,,,,,,
 Advantix S.p.A.,i-32V5 06/08 A,i-32V506 A,05.08.2022,Outdoor Air/Water,R32,"0,970 kg",,62,175.0,7.0,4.46,-7.0,-20.0,6100,2.96,2061,3800,4.49,846,3200,5.37,596,3500,7.29,480,6100,2.96,2061,6100,2.73,2234,,60.0,22.0,22.0,22.0,0.0,0,0.9,5.19,4.42,5190.0,3.16,1642.0,3800.0,4.04,941.0,2450.0,4.8,510.0,2860.0,6.51,439.0,,62,126.0,7.0,6000,2.17,2765,3600,3.22,1118,3000,3.82,785,3300,5.05,653,6000,2.17,2765,6000,2.04,2941,,1.0,,,,4.710353726844268,,,6.226515963071146,,,7.38093071199996,,,10.983775775577593,,0.7453887884267631,0.3059674502712477,0.2155515370705244,0.1735985533453888,0.7453887884267631,0.8079566003616636,1.0,0.5730816077953715,0.3105968331303289,0.2673568818514007,1.0,0.4043399638336347,0.2839059674502712,0.2361663652802893,1.0,1.0636528028933092,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-278.6660969094984,0.01231511104927814,0.007662328187913308,278.6181706524371,-195.85195460024238,-0.09835983558342193,7.330756419067941,195.95098685963433,75.08409390999562,-0.013066623457594581,-1.141193964608594,-75.02207545624205,194.68992318853702,0.24526331415982636,11.376442862660744,-194.99776999918174
 Advantix S.p.A.,i-32V5 06/08 A,i-32V508 A,05.08.2022,Outdoor Air/Water,R32,"0,970 kg",,62,175.0,8.0,4.46,-7.0,-20.0,6800,2.98,2282,4200,4.58,917,3200,5.16,620,3600,6.85,526,6800,2.98,2282,6800,2.71,2509,,60.0,22.0,22.0,22.0,0.0,0,1.2,6.14,4.51,6140.0,3.12,1968.0,4510.0,4.08,1105.0,2900.0,4.85,598.0,2900.0,6.27,463.0,,62,128.0,7.0,6600,2.21,2986,3900,3.26,1196,3000,3.9,769,3400,5.23,650,6600,2.21,2986,6400,2.0,3200,,0.6,,,,4.6507289961247205,,,6.288164635972842,,,7.457815406916626,,,10.578843949749846,,0.7642330877427997,0.3070997990622907,0.2076356329537843,0.1761553918285331,0.7642330877427997,0.8402545210984594,1.0,0.5614837398373984,0.3038617886178861,0.2352642276422764,1.0,0.4005358338914936,0.2575351640991292,0.21768251841929,1.0,1.071667782987274,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-253.01237785577376,0.011463701633462468,0.040692284561759794,252.96259466236734,-89.80394908040473,-0.0876803920519471,6.938204093862194,89.90310885801964,70.64492016041079,-0.012511119868623959,-1.1612741825730741,-70.5825657484016,197.1738160420783,0.24217115539533607,10.907646874592277,-197.46555575640673
 Advantix S.p.A.,i-32V5 06/08 A,i-32V5SL08 A,05.08.2022,Outdoor Air/Water,R32,"0,970 kg",,53,180.0,8.0,4.57,-7.0,-20.0,6700,3.0,2233,4100,4.67,878,3200,5.49,583,3500,7.02,499,6700,3.0,2233,6500,2.61,2490,,60.0,22.0,22.0,22.0,0.0,0,1.5,6.14,4.51,6140.0,3.12,1968.0,4510.0,4.08,1105.0,2900.0,4.85,598.0,2900.0,6.27,463.0,,53,131.0,7.0,6500,2.23,2915,3800,3.32,1145,3000,4.08,735,3400,5.36,634,6500,2.23,2915,6100,1.92,3177,,0.9,,,,4.6507289961247205,,,6.288164635972842,,,7.457815406916626,,,10.578843949749846,,0.7660377358490567,0.3012006861063465,0.2,0.1711835334476844,0.7660377358490567,0.8542024013722127,1.0,0.5614837398373984,0.3038617886178861,0.2352642276422764,1.0,0.3927958833619211,0.2521440823327616,0.2174957118353344,1.0,1.0898799313893657,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-99.99131795440039,0.011347132750322871,0.03996595543745734,99.9405858757517,133.25190669665278,-0.09095858029747135,7.152766302387476,-133.14613953808703,70.64492016041079,-0.012511119868623959,-1.1612741825730741,-70.5825657484016,197.1738160420783,0.24217115539533607,10.907646874592277,-197.46555575640673
 Advantix S.p.A.,i-32V5 10/12,i-32V510,26.05.2020,Outdoor Air/Water,R32,"2,500 kg",,62,178.0,9.0,4.53,-7.0,-20.0,8300,2.93,2833,5300,4.32,1227,4200,6.01,699,4900,8.08,606,8300,2.93,2833,8300,2.71,3063,,60.0,19.0,22.0,19.0,0.0,0,0.7,7.53,4.34,7530.0,3.15,2390.0,5490.0,3.92,1401.0,3560.0,4.46,798.0,4350.0,6.36,684.0,,62,135.0,9.0,8100,2.13,3803,5200,3.41,1525,4100,4.3,953,4800,6.36,755,8100,2.13,3803,8100,1.96,4133,,0.9,,,,4.695447544164381,,,6.041569944366063,,,6.858114786566629,,,10.730693384435252,,0.7449382066789377,0.3226400210360242,0.1838022613726005,0.1593478832500657,0.7449382066789377,0.8054167762292926,1.0,0.5861924686192469,0.3338912133891213,0.2861924686192468,1.0,0.4009992111490928,0.2505916381803839,0.1985274783066,1.0,1.0867735997896395,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,246.71307970995184,0.011819337337010578,0.03141549962929779,-246.76062571574369,-2.5944198226415454,-0.08968619918768399,7.203657065478795,2.7577929887821013,73.9694673105229,-0.014169942823816527,-1.0863754659805207,-73.90861418876283,159.3009139769423,0.23717710676375114,10.812648512861607,-159.59183708447398
 Advantix S.p.A.,i-32V5 10/12,i-32V512,26.05.2020,Outdoor Air/Water,R32,"2,500 kg",,62,176.0,10.0,4.47,-7.0,-20.0,8900,2.88,3090,5400,4.31,1253,4300,5.82,739,4900,7.81,627,8900,2.88,3090,8800,2.64,3333,,60.0,19.0,22.0,19.0,0.0,0,1.2,8.51,4.43,8510.0,3.05,2790.0,6280.0,4.03,1558.0,3980.0,4.58,869.0,4230.0,6.32,669.0,,62,131.0,10.0,8500,2.08,4087,5200,3.35,1552,4200,4.24,991,4800,5.31,904,8500,2.08,4087,8700,1.96,4439,,1.3,,,,4.546385717365512,,,6.211103794845723,,,7.042638054366629,,,10.663204746797296,,0.7560557866405676,0.3065818448739907,0.1808172253486665,0.1534132615610472,0.7560557866405676,0.8155126009297774,1.0,0.5584229390681004,0.3114695340501792,0.2397849462365591,1.0,0.37974064105701,0.2424761438708098,0.2211891362857841,1.0,1.0861267433325177,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-71.55883009858661,0.01125830641125258,0.03920583790773491,71.50815675092741,-193.61484843929057,-0.09576950371641409,7.310367666565379,193.74533675224293,68.41917323196746,-0.012648511330424033,-1.1473979356980513,-68.3571987936482,159.30085318414575,0.23825748127303936,10.951229144946412,-159.5962726356147
 Advantix S.p.A.,i-32V5 10/12,i-32V5SL12,26.05.2020,Outdoor Air/Water,R32,"2,500 kg",,53,180.0,10.0,4.58,-7.0,-20.0,8700,2.9,3000,5300,4.42,1199,4300,6.14,700,4800,8.0,600,8700,2.9,3000,8400,2.55,3294,,60.0,19.0,22.0,19.0,0.0,0,1.6,8.51,4.43,8510.0,3.05,2790.0,6280.0,4.03,1558.0,3980.0,4.58,869.0,4230.0,6.32,669.0,,53,135.0,10.0,8400,2.09,4019,5200,3.44,1512,4200,4.47,940,4800,5.44,882,8400,2.09,4019,8300,1.89,4392,,1.7,,,,4.546385717365512,,,6.211103794845723,,,7.042638054366629,,,10.663204746797296,,0.7464543418760886,0.2983329186364767,0.1741726797710873,0.1492908683752177,0.7464543418760886,0.8196068673799453,1.0,0.5584229390681004,0.3114695340501792,0.2397849462365591,1.0,0.3762129883055486,0.2338890271211744,0.21945757651157,1.0,1.0928091565065936,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,-355.8832768369102,0.011748680944992164,0.015144808034347234,355.8328639565324,177.29663897964247,-0.09836962224043888,7.509103786414827,-177.15811018669368,68.41917323196746,-0.012648511330424033,-1.1473979356980513,-68.3571987936482,159.30085318414575,0.23825748127303936,10.951229144946412,-159.5962726356147
 Advantix S.p.A.,i-32V5 16/18,i-32V516,26.05.2020,Outdoor Air/Water,R32,"4,000 kg",,66,177.0,14.0,4.5,-7.0,-20.0,12000,2.88,4167,7300,4.33,1686,5700,5.83,978,6700,8.12,825,12000,2.88,4167,11700,2.6,4500,,60.0,19.0,22.0,19.0,0.0,0,2.3,13.8,4.8,13800.0,3.15,4381.0,10170.0,4.36,2333.0,6470.0,5.3,1221.0,5530.0,6.67,829.0,,66,126.0,13.0,11500,2.09,5502,6900,3.06,2255,5500,4.11,1338,6600,6.3,1048,11500,2.09,5502,11500,1.94,5928,,1.5,,,,4.695447544164381,,,6.719705346284703,,,8.149777661166622,,,11.253730326129425,,0.757360959651036,0.3064340239912759,0.1777535441657579,0.1499454743729553,0.757360959651036,0.8178844056706652,1.0,0.5325268203606482,0.2787034923533439,0.1892262040629993,1.0,0.4098509632860778,0.2431842966194111,0.1904761904761904,1.0,1.0774263904034895,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,101.34223596516898,0.011983991753558266,0.02375205429339973,-101.39075258557581,-71.45245036344222,-0.09835971087344228,7.42493970725912,71.60850065150782,70.64554912739666,-0.010871225144193211,-1.2285299144648467,-70.58193678141582,305.863780635198,0.25769612006806314,12.032485452988002,-306.18982994302246
 Advantix S.p.A.,i-32V5 16/18,i-32V518T,26.05.2020,Outdoor Air/Water,R32,"4,000 kg",,66,175.0,15.0,4.46,-7.0,-20.0,12800,2.83,4523,7800,4.34,1797,5800,5.67,1023,6700,7.94,844,12800,2.83,4523,12800,2.59,4942,,60.0,19.0,22.0,19.0,0.0,0,2.2,15.04,5.05,15040.0,3.08,4883.0,10960.0,4.38,2502.0,7060.0,5.52,1279.0,5540.0,6.8,815.0,,66,131.0,14.0,12500,2.03,6158,7600,3.34,2275,5700,4.14,1377,6600,6.15,1073,12500,2.03,6158,12600,1.93,6528,,1.4,,,,4.591104265405172,,,6.75052968273555,,,8.488070318799954,,,11.473068398452783,,0.734491718090289,0.2918155245209483,0.1661253653783696,0.1370574861968171,0.734491718090289,0.8025332900292302,1.0,0.5123899242269097,0.2619291419209502,0.1669055908253123,1.0,0.3694381292627476,0.223611562195518,0.1742448847028256,1.0,1.0600844430009744,0.7905217467634652,0.4223994902190672,0.2395583880349417,0.1692299863844374,Regulated,1.0,212.76601647142095,0.012202134230111126,-0.008382229721396281,-212.81615029521572,106.23577945090072,-0.08925254035391239,7.072624560525166,-106.07851343117875,70.6459684926913,-0.009752675725871272,-1.2738254554925288,-70.58151741612112,283.6451370853835,0.2618811969402402,12.649755278112512,-283.9919709958613
