Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],Pdesignc,T_outside [°C],T_out [°C],Pdc [kW],EER
Advantix S.p.A.,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,25,7,6.93,5.81
Advantix S.p.A.,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,20,7,7.03,6.28
Advantix S.p.A.,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,35,7,14.65,3.24
Advantix S.p.A.,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,30,7,10.79,4.71
Advantix S.p.A.,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,25,7,6.93,5.81
Advantix S.p.A.,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,20,7,7.03,6.28
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,35,7,8.13,10.8
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,35,18,8.42,17.13
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,30,7,6.56,15.17
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,30,18,6.13,17.1
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,25,7,4.02,15.98
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,25,18,3.77,14.26
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,20,7,3.28,12.99
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,20,18,3.57,16.42
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,35,7,8.13,10.8
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,35,18,8.42,17.13
