Model,k1,k2,k3,k4,k5,k6,k7,k8,k9,Group,P_el_n,P_th_max
i-SHWAK V4 06,-0.0535503520951751,-0.024223476564205683,2.9222821522711593,-0.03702968402592796,0.011927709206512352,0.3198795890553267,0.14163714685839135,-0.04259416053306359,4.8621942543196806,1.0,1978,4500
i-SHWAK V4 08,-0.03312063692342099,-0.003651763939091224,2.200717931932159,-0.03317446376820501,0.013949786570964708,0.23460957798564333,0.14561100860024606,-0.03924362794603907,4.806861181117617,1.0,2099,5000
i-SHWAK V4 10,-0.023161609306527414,-0.01698524280395072,2.7825320374426656,-0.033219410257712995,0.013448012721055462,0.26470384552926474,0.16995760340577873,-0.07305189894186787,6.208807414610039,1.0,2432,5500
i-SHWAK V4 12,-0.02577149226220223,0.0028069458641168947,2.119310868650492,-0.02869087765721492,0.013834256744141123,0.22718014098543873,0.12311116617431875,-0.07741840166667188,6.435368475681724,1.0,2711,6700
i-SHWAK V4 14,-0.05310172072167208,-0.01047850463951977,2.3115185370351017,-0.0384442666726405,0.01150035044176405,0.29312858246273227,0.15713051832787067,-0.059669913103907256,5.518696448799263,1.0,3880,9300
i-SHWAK V4 14T,-0.05310172072167208,-0.01047850463951977,2.3115185370351017,-0.0384442666726405,0.01150035044176405,0.29312858246273227,0.15713051832787067,-0.059669913103907256,5.518696448799263,1.0,3880,9300
i-SHWAK V4 16,-0.02349015513929305,-0.0021330685515938527,2.155930094511054,-0.03262718438443268,0.016423906659771875,0.15621325731558697,0.16314167537677574,-0.04730672678430348,5.150172869391707,1.0,3843,9100
i-SHWAK V4 16T,-0.02349015513929305,-0.0021330685515938527,2.155930094511054,-0.03262718438443268,0.016423906659771875,0.15621325731558697,0.16314167537677574,-0.04730672678430348,5.150172869391707,1.0,3843,9100
PAC BT MB 10KW H11,-0.10150094590575878,0.01820187311642504,1.314176990372142,-0.04328395452542122,0.02144956343726234,-0.06046603429585392,0.10380456288843028,-0.05490498472692128,5.534042879878394,1.0,3321,9700
PAC BT MB 12KW H11,-0.12378922171398887,-0.015113562576777602,2.4672633257924863,-0.04631805926119906,0.011826191140450089,0.23288681149583818,0.1148683280460124,-0.0941987305401378,7.212292214156133,1.0,3904,9700
