Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],PSB [W],Prated [W],SPL indoor [dBA],SPL outdoor [dBA],Climate,T_amb [°C],T_in [°C],T_out [°C],P_th [W],P_el [W],COP
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,11,7.0,39.0,65.0,average,12,12,24,4700,693,6.78
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,11,7.0,39.0,65.0,average,12,12,30,6900,1309,5.27
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11,10.0,40.0,68.0,average,-7,-7,34,9700,3880,2.5
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11,9.0,40.0,68.0,average,-7,-7,52,9300,5167,1.8
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11,10.0,40.0,68.0,average,2,2,30,6800,1667,4.08
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11,9.0,40.0,68.0,average,2,2,42,5700,1875,3.04
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11,10.0,40.0,68.0,average,7,7,27,4800,1143,4.2
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11,9.0,40.0,68.0,average,7,7,36,4700,1335,3.52
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11,10.0,40.0,68.0,average,12,12,24,6800,1015,6.7
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11,9.0,40.0,68.0,average,12,12,30,7000,1111,6.3
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11,10.0,40.0,68.0,average,-7,-7,34,9700,3880,2.5
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11,9.0,40.0,68.0,average,-7,-7,52,9300,5167,1.8
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11,10.0,40.0,68.0,average,2,2,30,6800,1667,4.08
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11,9.0,40.0,68.0,average,2,2,42,5700,1875,3.04
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11,10.0,40.0,68.0,average,7,7,27,4800,1143,4.2
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11,9.0,40.0,68.0,average,7,7,36,4700,1335,3.52
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11,10.0,40.0,68.0,average,12,12,24,6800,1015,6.7
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11,9.0,40.0,68.0,average,12,12,30,7000,1111,6.3
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,11,10.0,40.0,68.0,average,-7,-7,34,9800,3843,2.55
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,11,9.0,40.0,68.0,average,-7,-7,52,9100,5515,1.65
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,11,10.0,40.0,68.0,average,2,2,30,6000,1493,4.02
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,11,9.0,40.0,68.0,average,2,2,42,6400,2078,3.08
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,11,10.0,40.0,68.0,average,7,7,27,6900,1350,5.11
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,11,9.0,40.0,68.0,average,7,7,36,7600,1716,4.43
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,11,10.0,40.0,68.0,average,12,12,24,7800,1439,5.42
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,11,9.0,40.0,68.0,average,12,12,30,7900,1215,6.5
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,11,10.0,40.0,68.0,average,-7,-7,34,9800,3843,2.55
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,11,9.0,40.0,68.0,average,-7,-7,52,9100,5515,1.65
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,11,10.0,40.0,68.0,average,2,2,30,6000,1493,4.02
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,11,9.0,40.0,68.0,average,2,2,42,6400,2078,3.08
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,11,10.0,40.0,68.0,average,7,7,27,6900,1350,5.11
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,11,9.0,40.0,68.0,average,7,7,36,7600,1716,4.43
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,11,10.0,40.0,68.0,average,12,12,24,7800,1439,5.42
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,11,9.0,40.0,68.0,average,12,12,30,7900,1215,6.5
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.21,43.0,61.0,average,-7,-7,34,5490,1933,2.84
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.0,43.0,61.0,average,-7,-7,52,5310,2655,2.0
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.21,43.0,61.0,average,2,2,30,3340,726,4.6
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.0,43.0,61.0,average,2,2,42,3230,1000,3.23
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.21,43.0,61.0,average,7,7,27,2150,332,6.48
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.0,43.0,61.0,average,7,7,36,2080,452,4.6
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.21,43.0,61.0,average,12,12,24,960,108,8.93
Airwell Residential,AW-YHPS04-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.0,43.0,61.0,average,12,12,30,920,151,6.1
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,4.52,39.0,61.0,average,-7,-7,34,4000,1227,3.26
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.41,39.0,61.0,average,-7,-7,52,4260,2029,2.1
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,4.52,39.0,61.0,average,2,2,30,2370,504,4.7
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.41,39.0,61.0,average,2,2,42,3090,942,3.28
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,4.52,39.0,61.0,average,7,7,27,1630,282,5.78
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.41,39.0,61.0,average,7,7,36,1980,441,4.49
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,4.52,39.0,61.0,average,12,12,24,1380,189,7.31
Airwell Residential,AW-YHPS04-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.41,39.0,61.0,average,12,12,30,1270,230,5.53
Airwell Residential,AW-YHPS06-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.21,4.0,62.0,average,-7,-7,34,5490,1933,2.84
Airwell Residential,AW-YHPS06-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.0,43.0,62.0,average,-7,-7,52,5310,2655,2.0
Airwell Residential,AW-YHPS06-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.21,4.0,62.0,average,2,2,30,3340,726,4.6
Airwell Residential,AW-YHPS06-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.0,43.0,62.0,average,2,2,42,3230,1000,3.23
Airwell Residential,AW-YHPS06-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.21,4.0,62.0,average,7,7,27,2150,332,6.48
Airwell Residential,AW-YHPS06-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.0,43.0,62.0,average,7,7,36,2080,452,4.6
Airwell Residential,AW-YHPS06-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.21,4.0,62.0,average,12,12,24,960,108,8.93
Airwell Residential,AW-YHPS06-H91 + AW-WHPS0406-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,6.0,43.0,62.0,average,12,12,30,920,151,6.1
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.91,39.0,62.0,average,-7,-7,34,5230,1693,3.09
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.84,39.0,62.0,average,-7,-7,52,5170,2474,2.09
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.91,39.0,62.0,average,2,2,30,3200,699,4.58
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.84,39.0,62.0,average,2,2,42,3090,942,3.28
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.91,39.0,62.0,average,7,7,27,2210,308,7.18
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.84,39.0,62.0,average,7,7,36,1980,441,4.49
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.91,39.0,62.0,average,12,12,24,1380,189,7.31
Airwell Residential,AW-YHPS06-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.55,15,5.84,39.0,62.0,average,12,12,30,1270,230,5.53
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,8.88,43.0,63.0,average,-7,-7,34,7850,2652,2.96
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,7.92,43.0,63.0,average,-7,-7,52,7010,3470,2.02
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,8.88,43.0,63.0,average,2,2,30,4780,1051,4.55
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,7.92,43.0,63.0,average,2,2,42,4270,1339,3.19
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,8.88,43.0,63.0,average,7,7,27,3070,467,6.58
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,7.92,43.0,63.0,average,7,7,36,2740,621,4.41
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,8.88,43.0,63.0,average,12,12,24,1370,158,8.66
Airwell Residential,AW-YHPS08-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,7.92,43.0,63.0,average,12,12,30,1220,239,5.11
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,8.23,39.0,63.0,average,-7,-7,34,7280,2371,3.07
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,7.57,39.0,63.0,average,-7,-7,52,6700,3300,2.03
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,8.23,39.0,63.0,average,2,2,30,4710,985,4.78
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,7.57,39.0,63.0,average,2,2,42,4340,1276,3.4
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,8.23,39.0,63.0,average,7,7,27,2730,406,6.73
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,7.57,39.0,63.0,average,7,7,36,2770,620,4.47
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,8.23,39.0,63.0,average,12,12,24,1570,184,8.53
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,7.57,39.0,63.0,average,12,12,30,1270,252,5.04
Airwell Residential,AW-YHPS10-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,8.88,43.0,63.0,average,-7,-7,34,7850,2652,2.96
Airwell Residential,AW-YHPS10-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,7.92,43.0,63.0,average,-7,-7,52,7010,3470,2.02
Airwell Residential,AW-YHPS10-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,8.88,43.0,63.0,average,2,2,30,4780,1051,4.55
Airwell Residential,AW-YHPS10-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,7.92,43.0,63.0,average,2,2,42,4270,1339,3.19
Airwell Residential,AW-YHPS10-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,8.88,43.0,63.0,average,7,7,27,3070,467,6.58
Airwell Residential,AW-YHPS10-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,7.92,43.0,63.0,average,7,7,36,2740,621,4.41
Airwell Residential,AW-YHPS10-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,8.88,43.0,63.0,average,12,12,24,1370,158,8.66
Airwell Residential,AW-YHPS10-H91 + AW-WHPS0810-N91,2020-04-22,Outdoor Air/Water,R32,1.65,14,7.92,43.0,63.0,average,12,12,30,1220,239,5.11
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,9.51,39.0,65.0,average,-7,-7,34,8410,2653,3.17
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,8.5,39.0,65.0,average,-7,-7,52,7520,3342,2.25
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,9.51,39.0,65.0,average,2,2,30,5320,1130,4.71
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,8.5,39.0,65.0,average,2,2,42,4910,1407,3.49
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,9.51,39.0,65.0,average,7,7,27,3580,503,7.12
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,8.5,39.0,65.0,average,7,7,36,3130,665,4.71
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,9.51,39.0,65.0,average,12,12,24,1610,163,9.88
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,R32,1.65,15,8.5,39.0,65.0,average,12,12,30,1340,241,5.57
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,10.0,,67.0,average,-7,-7,34,9100,3321,2.74
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,11.0,,67.0,average,-7,-7,52,9700,5026,1.93
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,10.0,,67.0,average,2,2,30,5300,1293,4.1
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,11.0,,67.0,average,2,2,42,6200,1987,3.12
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,10.0,,67.0,average,7,7,27,3500,593,5.9
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,11.0,,67.0,average,7,7,36,4200,907,4.63
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,10.0,,67.0,average,12,12,24,1400,318,4.4
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,11.0,,67.0,average,12,12,30,2700,513,5.26
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,13.0,,,average,-7,-7,34,11400,3904,2.92
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,11.0,,,average,-7,-7,52,9700,5026,1.93
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,13.0,,,average,2,2,30,6700,1576,4.25
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,11.0,,,average,2,2,42,6200,1987,3.12
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,13.0,,,average,7,7,27,4400,685,6.42
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,11.0,,,average,7,7,36,4200,907,4.63
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,13.0,,,average,12,12,24,2000,309,6.48
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,11.0,,,average,12,12,30,2700,513,5.26
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,12.0,,70.0,average,-7,-7,34,10600,3746,2.83
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,11.0,,70.0,average,-7,-7,52,9500,4922,1.93
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,12.0,,70.0,average,2,2,30,6600,1618,4.08
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,11.0,,70.0,average,2,2,42,6200,1950,3.18
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,12.0,,70.0,average,7,7,27,4400,707,6.22
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,11.0,,70.0,average,7,7,36,4000,889,4.5
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,12.0,,70.0,average,12,12,24,3700,395,9.37
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,11.0,,70.0,average,12,12,30,2700,539,5.01
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,14.0,,,average,-7,-7,34,12800,4604,2.78
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,13.0,,,average,-7,-7,52,11700,5707,2.05
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,14.0,,,average,2,2,30,7800,1907,4.09
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,13.0,,,average,2,2,42,7300,2362,3.09
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,14.0,,,average,7,7,27,4800,784,6.12
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,13.0,,,average,7,7,36,4600,1015,4.53
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,14.0,,,average,12,12,24,3100,351,8.83
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,R410a,3.6,17,13.0,,,average,12,12,30,2300,436,5.28
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,14.0,,70.0,average,-7,-7,34,12000,4511,2.66
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,13.0,,73.0,average,-7,-7,52,11600,5743,2.02
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,14.0,,70.0,average,2,2,30,7200,1814,3.97
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,13.0,,73.0,average,2,2,42,7500,2419,3.1
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,14.0,,70.0,average,7,7,27,4900,770,6.36
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,13.0,,73.0,average,7,7,36,4700,1004,4.68
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,14.0,,70.0,average,12,12,24,3800,422,9.0
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,R410a,3.6,27,13.0,,73.0,average,12,12,30,2800,538,5.2
