Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],PSB [W],Prated [W],SPL indoor [dBA],SPL outdoor [dBA],Climate,T_amb [°C],T_in [°C],T_out [°C],P_th [W],P_el [W],COP
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,11,5.0,35.0,64.0,average,-7,-7,34,5300,1978,2.68
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,11,4.0,35.0,64.0,average,-7,-7,52,4500,2866,1.57
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,11,5.0,35.0,64.0,average,2,2,30,3400,829,4.1
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,11,4.0,35.0,64.0,average,2,2,42,2700,915,2.95
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,11,5.0,35.0,64.0,average,7,7,27,3600,867,4.15
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,11,4.0,35.0,64.0,average,7,7,36,3300,722,4.57
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,11,5.0,35.0,64.0,average,12,12,24,3700,724,5.11
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,11,4.0,35.0,64.0,average,12,12,30,3600,598,6.02
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,11,6.0,35.0,64.0,average,-7,-7,34,5500,2099,2.62
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,11,5.0,35.0,64.0,average,-7,-7,52,5000,2907,1.72
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,11,6.0,35.0,64.0,average,2,2,30,3400,811,4.19
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,11,5.0,35.0,64.0,average,2,2,42,3300,1065,3.1
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,11,6.0,35.0,64.0,average,7,7,27,3600,820,4.39
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,11,5.0,35.0,64.0,average,7,7,36,4000,905,4.42
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,11,6.0,35.0,64.0,average,12,12,24,3700,723,5.12
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,11,5.0,35.0,64.0,average,12,12,30,4400,712,6.18
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,11,6.0,39.0,64.0,average,-7,-7,34,6300,2432,2.59
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,11,6.0,39.0,64.0,average,-7,-7,52,5500,3333,1.65
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,11,6.0,39.0,64.0,average,2,2,30,4300,1089,3.95
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,11,6.0,39.0,64.0,average,2,2,42,4000,1270,3.15
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,11,6.0,39.0,64.0,average,7,7,27,5300,985,5.38
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,11,6.0,39.0,64.0,average,7,7,36,5000,1124,4.45
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,11,6.0,39.0,64.0,average,12,12,24,5500,769,7.15
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,11,6.0,39.0,64.0,average,12,12,30,5300,880,6.02
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,11,7.0,39.0,65.0,average,-7,-7,34,7400,2711,2.73
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,11,7.0,39.0,65.0,average,-7,-7,52,6700,3350,2.0
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,11,7.0,39.0,65.0,average,2,2,30,5700,1313,4.34
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,11,7.0,39.0,65.0,average,2,2,42,4700,1478,3.18
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,11,7.0,39.0,65.0,average,7,7,27,4000,777,5.15
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,11,7.0,39.0,65.0,average,7,7,36,6000,1432,4.19
