Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p4_P_el [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-]
Airwell Residential,PAC BT MB 9KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,,16.0,average,3889.0,7700.0,1.98,88.37061582482511,-0.000705250433696,0.7400155661419937,-88.41431519839759,217.3320483255912,0.0084756093483283,0.1809510600845497,-217.384740367968,-80.31159073942092,-0.0659347370605534,6.039719264064345,80.50281557912209
Airwell Residential,PAC-BT-UE-10KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,70.0,19.0,average,5903.0,10920.0,1.85,-71.5337743642482,-0.0048507114654708,1.0504737668401931,71.51482833025537,-99.98392066154466,0.0126706603576027,0.0686437120027323,99.94772549871593,132.97465881906086,-0.0923066747412997,7.194384108175257,-132.74432808740835
Airwell Residential,PAC-BT-UE-12KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,69.0,19.0,average,4257.0,8600.0,2.02,-35.9988023108993,-0.0066612791458166,1.1347117398364357,35.9778128132416,212.77002391868945,0.0118658285126725,0.0812686674223347,-212.8120048536445,-89.18987830685207,-0.0767855921661211,6.879315407022065,89.40457522577576
Airwell Residential,PAC-BT-UE-14KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,67.0,19.0,average,4423.0,8580.0,1.94,-124.79919102077918,0.0031038511393053,0.6201690666790016,124.78440589738838,304.9170607691752,0.0167974741883318,-0.2083751993867418,-304.9619380310912,-2.5638712416192986,-0.0860517133381353,7.130785198251749,2.787726228149173
Airwell Residential,PAC-BT-UE-16KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,70.0,19.0,average,5742.0,10680.0,1.86,70.61204808723741,-0.0003687648814043,0.8513828216372984,-70.62752851957869,212.7746113304496,0.015450702197848,-0.043687080134927,-212.80735188384787,-54.18938545298816,-0.0909208713191017,7.166219568178228,54.44236700023572
Airwell Residential,PAC-BT-UE-12KW-H13,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,,,19.0,average,5941.0,12120.0,2.04,70.6117085977501,0.0003378773825052,0.8060809887087955,-70.62786741888195,241.20820322501532,0.0160143116719228,-0.0631612087869298,-241.23861355112845,-71.40327117062309,-0.0948268965749527,7.608311599759586,71.65687538218172
Airwell Residential,PAC-BT-UE-14KW-H13,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,,,19.0,average,4872.0,9550.0,1.96,70.61134237475936,-0.0003246758946452,0.843995724676473,-70.62824058780053,228.5890141257605,0.0169071901018914,-0.1263267634169986,-228.6240533099489,177.32680542213188,-0.091051520917893,7.298849243834773,-177.13722069139953
Airwell Residential,PAC-BT-UE-16KW-H13,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,70.0,19.0,average,5602.0,11260.0,2.01,212.7554994929277,0.0004256905646996,0.8100723337773651,-212.7721201289777,212.7761217079114,0.01573613507001,-0.0381108449969166,-212.805802037188,139.61466644414065,-0.0923929714094274,7.512375822725261,-139.3322000863721
Airwell Residential,PAC-BT-UE-4KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,2.5,35.0,60.0,17.0,average,1394.0,2620.0,1.88,35.074688616492466,-0.0221326846419071,1.886760113239664,-35.09268068066876,241.1926398867244,0.0016740497674567,0.4575348709266879,-241.25462470987128,210.6720262715051,-0.098125175563533,7.742570109047244,-210.4258168777748
Airwell Residential,PAC-BT-UE-6KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,2.5,35.0,62.0,17.0,average,2472.0,4770.0,1.93,-213.6769572957702,-0.0013079065955603,0.8206635799174815,213.6595806569404,497.09383525367485,0.015906372201059,-0.1640303219692512,-497.1375359908086,-231.36204349353773,-0.089459889275375,7.129424766422861,231.51404623695623
