Manufacturer,Model,Titel,Date,Type,Subtype,Group,Rated Power low T [kW],Rated Power medium T [kW],Refrigerant,Mass of Refrigerant [kg],SPL indoor low Power [dBA],SPL outdoor low Power [dBA],SPL indoor high Power [dBA],SPL outdoor high Power [dBA],Bivalence temperature [°C],Tolerance temperature [°C],Max. water heating temperature [°C],Poff [W],PTOS [W],PSB [W],PCKS [W],eta low T [%],eta medium T [%],SCOP,SEER low T,SEER medium T,P_th_h_ref [W],P_th_c_ref [W],P_el_h_ref [W],P_el_c_ref [W],COP_ref,EER_c_ref,p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-],p1_P_el_c [1/°C],p2_P_el_c [1/°C],p3_P_el_c [-],p4_P_el_c [1/°C],p1_EER [-],p2_EER [-],p3_EER [-],p4_EER [-],MAPE P_th,MAPE P_el,MAPE COP
 STIEBEL ELTRON GmbH & Co KG,LWZ 5/8,LWZ 504 E,31.10.2020,Outdoor Air/Water,Regulated,1.0,10.0,7.0,R410A,"2,950 kg",50.0,55,50.0,50,-7.0,-10.0,60.0,27.0,63.0,27.0,35.0,163.0,128.0,4.14,,,5870,,2597,,2.26,,-81.82018747104496,-0.0089254795493996,0.9324930422536096,81.74322863084514,52.92580559526,-0.0706560680226674,6.250740670606477,-52.79350231230433,,,,,52.92580559526,-0.0706560680226674,6.250740670606477,-52.79350231230433,24.601917818001507,19.631744393633504,11.375891323888622
 STIEBEL ELTRON GmbH & Co KG,WPE-I 04/06/08 H(K)(W) 230 (GB) Premium ,WPE-I 04 H(K)(W) 230 Premium ,08.09.2020,Brine/Water,Regulated,2.0,4.23,3.76,R454C,"2,200 kg",38.0,,38.0,,-10.0,-10.0,75.0,16.0,16.0,16.0,0.0,195.0,153.0,5.07,,,3320,,927,,3.58,,-0.0091831934730714,0.0091831937216062,0.2326700996070372,-0.0391837775735794,0.0889394539008947,-0.0889394540812286,7.928859725071339,-0.0415188545283096,,,,,0.0889394539008947,-0.0889394540812286,7.928859725071339,-0.0415188545283096,62.65362850014897,53.72674036222878,5.9995352780654185
 STIEBEL ELTRON GmbH & Co KG,WPE-I 04/06/08 H(K)(W) 230 (GB) Premium ,WPE-I 06 H(K)(W) 230 Premium,08.09.2020,Brine/Water,Regulated,2.0,6.7,6.05,R454C,"2,200 kg",41.0,,41.0,,-10.0,-10.0,75.0,16.0,16.0,16.0,0.0,200.0,160.0,5.2,,,5340,,1504,,3.55,,-0.0079872554293816,0.0079872477335217,0.2728403289681633,-0.0429898238622455,0.0794365637519979,-0.0794366120346621,7.575497346258508,-0.0142467952645076,,,,,0.0794365637519979,-0.0794366120346621,7.575497346258508,-0.0142467952645076,97.26681811586553,92.23757314414229,3.8839384005974558
 STIEBEL ELTRON GmbH & Co KG,WPE-I 04/06/08 H(K)(W) 230 (GB) Premium ,WPE-I 08 H(K)(W) 230 Premium,08.09.2020,Brine/Water,Regulated,2.0,7.66,6.93,R454C,"2,200 kg",40.0,,40.0,,-10.0,-10.0,75.0,16.0,16.0,16.0,0.0,197.0,158.0,5.12,,,6120,,1779,,3.44,,-0.0076606042986876,0.00766059875575,0.2810047273114381,-0.0441323192893284,0.0771790340535191,-0.0771790231229733,7.395242002289203,-0.0034894537135224,,,,,0.0771790340535191,-0.0771790231229733,7.395242002289203,-0.0034894537135224,110.72896212378106,108.13897406625217,3.59268734810707
 STIEBEL ELTRON GmbH & Co KG,WPE-I 12/15 H(K)(W) 230 (GB) Premium,WPE-I 12 H(K)(W) 230 Premium,08.09.2020,Brine/Water,Regulated,2.0,12.03,11.99,R454C,"3,100 kg",39.0,,39.0,,-10.0,-10.0,75.0,19.0,19.0,19.0,0.0,216.0,169.0,5.59,,,10590,,2983,,3.55,,-0.0126485989643957,0.0126485982336976,0.0522591075027276,-0.03908759336504,0.0913838786066604,-0.0913838251444559,8.261961309693218,0.0091021865474516,,,,,0.0913838786066604,-0.0913838251444559,8.261961309693218,0.0091021865474516,79.76834309415938,81.4830896733059,3.4504139830086435
 STIEBEL ELTRON GmbH & Co KG,WPE-I 12/15 H(K)(W) 230 (GB) Premium,WPE-I 15 H(K)(W) 230 Premium,08.09.2020,Brine/Water,Regulated,2.0,14.46,13.77,R454C,"3,100 kg",39.0,,39.0,,-10.0,-10.0,75.0,19.0,19.0,19.0,0.0,210.0,168.0,5.44,,,12160,,3576,,3.4,,-0.0095257514694516,0.0095257558215744,0.1767285971935058,-0.0448530723584931,0.0796756848189868,-0.0796758102116733,7.682139944906407,0.0326331696617176,,,,,0.0796756848189868,-0.0796758102116733,7.682139944906407,0.0326331696617176,101.7637724042962,110.72420085287848,5.368654412580416
 STIEBEL ELTRON GmbH & Co KG,WPE-I 87 H 400 Premium,WPE-I 87 H 400 Premium,05.10.2020,Brine/Water,Regulated,2.0,84.67,79.0,R410A,"9,000 kg",50.0,,50.0,,-10.0,-10.0,65.0,9.0,11.0,11.0,0.0,199.0,157.0,5.17,,,69880,,23293,,3.0,,-0.0111428985264813,0.0111428878676106,0.0986594256031026,-0.0428008462108779,0.0782456872144419,-0.0782457665522227,7.324671996964489,0.0342932194106522,,,,,0.0782456872144419,-0.0782457665522227,7.324671996964489,0.0342932194106522,56.11779201025736,64.72126209872528,6.048132763346539
 STIEBEL ELTRON GmbH & Co KG,"WPF 07, WPF 07 cool, WPC 07, WPC 07 cool","WPC 07 , average climates",23.08.2016,Brine/Water,On-Off,5.0,8.0,7.0,R410A,"1,720 kg",52.0,0,52.0,0,-10.0,-10.0,65.0,0.0,54.0,9.0,0.0,205.0,139.0,5.32,,,7000,,2280,,3.07,,-0.019699973612254,0.0196999704286342,0.0325843010873309,0.0062935608581912,0.1295707499772184,-0.1295707220423227,9.224322057098846,-0.0429510002462332,,,,,0.1295707499772184,-0.1295707220423227,9.224322057098846,-0.0429510002462332,5.020252077582322,6.1599044056997885,7.865962916758635
 STIEBEL ELTRON GmbH & Co KG,"WPF 10, WPF 10 cool, WPC 10, WPC 10 cool",WPC 10,23.08.2016,Brine/Water,On-Off,5.0,10.0,9.0,R410A,"2,030 kg",52.0,0,52.0,0,-10.0,-20.0,65.0,0.0,84.0,9.0,0.0,216.0,137.0,5.61,,,9200,,3098,,2.97,,-2.49555767866394e-05,2.4635472886553223e-05,0.8955909368351491,-0.0152322755633114,0.0005170628780005,-0.0005184215846754,3.5130034339368703,0.0842338517036481,,,,,0.0005170628780005,-0.0005184215846754,3.5130034339368703,0.0842338517036481,3.054015611875642,13.193182813626132,14.136327460165997
 STIEBEL ELTRON GmbH & Co KG,WPF 16 basic,"WPF 16 basic, all climates",04.09.2019,Brine/Water,On-Off,5.0,17.0,16.0,R410A,"2,600 kg",65.0,,65.0,,-10.0,-10.0,60.0,0.0,78.0,3.0,0.0,117.0,117.0,4.8,,,15700,,6062,,2.59,,-0.02094654537719,0.0209465464317624,-0.0280117253227861,0.0066368738196499,0.1170795097092173,-0.1170794837089887,8.138900313204442,-0.0380123067737386,,,,,0.1170795097092173,-0.1170794837089887,8.138900313204442,-0.0380123067737386,5.575816813302143,6.66045158492964,8.329696292291683
 STIEBEL ELTRON GmbH & Co KG,WPF 20,WPF 20,24.01.2019,Brine/Water,On-Off,5.0,22.0,20.0,R410A,"5,990 kg",59.0,59,59.0,59,-10.0,-10.0,60.0,0.0,7.0,7.0,74.0,192.0,131.0,5.0,,,20200,,6824,,2.96,,-0.0199701440059481,0.0199701459973094,0.0190724044035761,0.0063788693561286,0.1251171520981966,-0.1251171520975262,8.902240112431471,-0.0407394311654378,,,,,0.1251171520981966,-0.1251171520975262,8.902240112431471,-0.0407394311654378,5.041056277222626,6.2450244166459665,7.799323148267649
