Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],Pdesignc,Temperatur,T_outside,Pdc,EER
Advantix S.p.A.,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,5.07,+7°C/+12°C,35,5.07,2.91
Advantix S.p.A.,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,5.07,+7°C/+12°C,30,3.74,4.04
Advantix S.p.A.,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,5.07,+7°C/+12°C,25,3.40,4.09
Advantix S.p.A.,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,R410a,2.68,5.07,+7°C/+12°C,20,3.68,4.92
Advantix S.p.A.,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,6.12,+7°C/+12°C,35,6.12,2.90
Advantix S.p.A.,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,6.12,+7°C/+12°C,30,4.51,3.88
Advantix S.p.A.,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,6.12,+7°C/+12°C,25,3.40,4.09
Advantix S.p.A.,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,R410a,2.2,6.12,+7°C/+12°C,20,3.68,4.92
Advantix S.p.A.,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,7.56,+7°C/+12°C,35,7.56,3.11
Advantix S.p.A.,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,7.56,+7°C/+12°C,30,5.57,4.48
Advantix S.p.A.,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,7.56,+7°C/+12°C,25,5.42,5.89
Advantix S.p.A.,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,R410a,3.45,7.56,+7°C/+12°C,20,5.73,6.59
Advantix S.p.A.,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,8.49,+7°C/+12°C,35,8.49,3.10
Advantix S.p.A.,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,8.49,+7°C/+12°C,30,6.26,4.48
Advantix S.p.A.,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,8.49,+7°C/+12°C,25,5.42,5.89
Advantix S.p.A.,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,R410a,3.45,8.49,+7°C/+12°C,20,5.73,6.59
Advantix S.p.A.,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11.46,+7°C/+12°C,35,11.46,3.10
Advantix S.p.A.,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11.46,+7°C/+12°C,30,8.44,4.48
Advantix S.p.A.,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11.46,+7°C/+12°C,25,5.42,5.89
Advantix S.p.A.,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,R410a,4.4,11.46,+7°C/+12°C,20,5.73,6.59
Advantix S.p.A.,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11.46,+7°C/+12°C,35,11.46,3.10
Advantix S.p.A.,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11.46,+7°C/+12°C,30,8.44,4.48
Advantix S.p.A.,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11.46,+7°C/+12°C,25,5.42,5.89
Advantix S.p.A.,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,R410a,4.4,11.46,+7°C/+12°C,20,5.73,6.59
Advantix S.p.A.,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,+7°C/+12°C,35,14.65,3.24
Advantix S.p.A.,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,+7°C/+12°C,30,10.79,4.71
Advantix S.p.A.,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,+7°C/+12°C,25,6.93,5.81
Advantix S.p.A.,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,+7°C/+12°C,20,7.03,6.28
Advantix S.p.A.,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,+7°C/+12°C,35,14.65,3.24
Advantix S.p.A.,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,+7°C/+12°C,30,10.79,4.71
Advantix S.p.A.,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,+7°C/+12°C,25,6.93,5.81
Advantix S.p.A.,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,R410a,4.6,14.65,+7°C/+12°C,20,7.03,6.28
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,35,8.13,10.8
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,35,8.42,17.13
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,30,6.56,15.17
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,30,6.13,17.1
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,25,4.02,15.98
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,25,3.77,14.26
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,20,3.28,12.99
DAIKIN Europe N.V.,EGSAX10D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,20,3.57,16.42
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,35,8.13,10.8
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,35,8.42,17.13
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,30,6.56,15.17
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,30,6.13,17.1
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,25,4.02,15.98
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,25,3.77,14.26
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,20,3.28,12.99
DAIKIN Europe N.V.,EGSAX10D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,20,3.57,16.42
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,35,8.13,10.8
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,35,8.42,17.13
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,30,6.56,15.17
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,30,6.13,17.1
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,25,4.02,15.98
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,25,3.77,14.26
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,20,3.28,12.99
DAIKIN Europe N.V.,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,20,3.57,16.42
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,35,8.13,10.8
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,35,8.42,17.13
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,30,6.56,15.17
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,30,6.13,17.1
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,25,4.02,15.98
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,25,3.77,14.26
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+7°C/+12°C,20,3.28,12.99
DAIKIN Europe N.V.,EGSAX06D9W(G) (3PH),2019-06-14,Brine/Water,R32,1.7,8.4,+18°C/+23°C,20,3.57,16.42
DAIKIN Europe N.V.,EPRA14DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,30,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,25,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,20,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,+7°C/+12°C,35,6.90,2.70
