Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p1_COP [-],p2_COP [-],p3_COP [-]
Groupe Atlantic,AUREA 8,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.72,0.0,62.0,5.0,average,2962.0,5480.0,1.85,-0.033926492443689636,-0.006377981179834069,1.0311883813542395,-0.030962012293317288,0.008829247602186256,0.19665774042866904,0.13662687914787494,-0.07728207989533567,6.440877419555849
Groupe Atlantic,Loria 6004,2016-07-27,Outdoor Air/Water,Regulated,1.0,R410a,1.1,44.0,62.0,9.0,average,1900.0,3800.0,2.0,-0.02634579799653473,-0.0020996497875336727,0.8288594387526255,-0.02573736189877789,0.013346052349265874,0.003941800761088417,0.1656771879607117,-0.11364461089675128,8.164163341713337
Groupe Atlantic,Loria 6006,2016-07-27,Outdoor Air/Water,Regulated,1.0,R410a,1.1,44.0,62.0,9.0,average,2158.0,4100.0,1.9,-0.04606518668590672,-0.013731893109444577,1.3558229546475866,-0.03740200142513577,0.006476827623636857,0.3054509485051104,0.1776695541793262,-0.11749078503999193,8.279402296122099
Groupe Atlantic,Loria 6008,2016-07-27,Outdoor Air/Water,Regulated,1.0,R410a,1.4,44.0,69.0,9.0,average,3074.0,5840.0,1.9,-0.03712236594490762,-0.0020749804231457447,0.8035673766813997,-0.03479733883405997,0.009692535660821608,0.1449858301728036,0.2256897587625443,-0.10370508377781597,7.762448098068598
Groupe Atlantic,Loria 6010,2019-09-26,Outdoor Air/Water,Regulated,1.0,R410a,1.8,44.0,68.0,7.0,average,4048.0,7650.0,1.89,-0.0304187478083596,-0.002381785065016855,0.8440584329079873,-0.034173858433557004,0.008737311408462428,0.19024909685569014,0.2162067738929428,-0.09036057682598854,7.231921119768066
Johnson Controls-Hitachi AirConditioning Spain,01. RAS-2WHVRP RWM-2.0NRE - Heating,2019-08-02,Outdoor Air/Water,Regulated,1.0,R32,1.2,37.0,61.0,12.0,average,1643.0,3500.0,2.13,-0.01349591706790549,-0.005814151689143014,1.0603114597662489,-0.022238468468457964,0.011340410161490145,0.1141340293828106,0.17225763587341564,-0.09657765078710626,7.708205020527423
Johnson Controls-Hitachi AirConditioning Spain,RAS-2WHVNP RWM-2.0NE - Heating Only,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.4,37.0,61.0,11.0,average,1522.0,3500.0,2.3,-0.030851229588702293,-0.0019597892919700605,0.8160613461862204,-0.027031105354656783,0.01088274155339244,0.11875707170402808,0.07515347324063874,-0.09485529810540856,7.513863716031202
Johnson Controls-Hitachi AirConditioning Spain,RAS-2.5WHVNP RWM-2.5NE - Heating,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.5,37.0,63.0,11.0,average,2389.0,4420.0,1.85,-0.03938449745934668,-0.005154354319935978,0.9561465804046352,-0.03438277254066408,0.008598566992705914,0.18893307172818896,0.17391375682852905,-0.08198485658628925,6.822031296374313
Johnson Controls-Hitachi AirConditioning Spain,RAS-3WHVNP RWM-3.0NE - Heating Only,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.7,37.0,64.0,11.0,average,2772.0,5100.0,1.84,-0.04282568068728345,-0.007691670482581825,1.061349878773655,-0.03884352402199963,0.005307161368152443,0.33794326538968994,0.1522207967038794,-0.06120665510491283,5.8024559809405725
Johnson Controls-Hitachi AirConditioning Spain,01. RAS-2.5WHVRP RWM-2.5NRE Heating Only,2019-08-02,Outdoor Air/Water,Regulated,1.0,R32,1.3,37.0,63.0,12.0,average,2389.0,4420.0,1.85,-0.031181621836675694,-0.009819052861487522,1.198645256551048,-0.032673079408080695,0.0075830729735676125,0.2505587204205366,0.1776909946256424,-0.09989365827346733,7.555676021392277
Johnson Controls-Hitachi AirConditioning Spain,RAS-4WHVNPE RWM-4.0NE - Heating,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,3.3,39.0,64.0,13.0,average,4778.0,8600.0,1.8,-0.0404609452805186,-0.00593597343734178,0.9830170466446588,-0.032458784236925664,0.009277880538872534,0.14623783058263815,0.13364881471565004,-0.08226958349661459,6.877746081191366
Johnson Controls-Hitachi AirConditioning Spain,RAS-5WHVNPE RWM-5.0NE - Heating,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,3.4,39.0,65.0,13.0,average,6029.0,10250.0,1.7,-0.04785796177332675,-0.008630211148309306,1.0922151549175765,-0.03687710848709399,0.006878097021600544,0.2437922026368076,0.13606775674474805,-0.06972640604751128,6.214358058702282
Johnson Controls-Hitachi AirConditioning Spain,RAS-6WHVNPE RWM-6.0NE - Heating,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,3.4,39.0,67.0,13.0,average,7000.0,11200.0,1.6,-0.05291525956851936,-0.011515421619048257,1.2183228123588885,-0.040601591484002574,0.00446167222000186,0.3506105876314443,0.15373955553306298,-0.051362338376054,5.239991937311125
Johnson Controls-Hitachi AirConditioning Spain,01. RAS-3WHVRP RWM-3.0NRE - Heating,2019-08-02,Outdoor Air/Water,Regulated,1.0,R32,1.3,37.0,67.0,12.0,average,2772.0,5100.0,1.84,-0.040694250124986564,-0.013536820904351612,1.3084933881083642,-0.03688156387972994,0.006444139908482088,0.28712263752945594,0.2040303840322094,-0.12146916422975827,8.435146176285214
Johnson Controls-Hitachi AirConditioning Spain,RAS-8WHNPE RWM-8.0NE - Heating Only,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,5.0,47.0,73.0,36.0,average,8364.0,13800.0,1.65,-0.03770950967445956,-0.006368536897340345,1.0139452179675568,-0.03183531204394822,0.007867663627289537,0.21722803516660136,0.1027793677652634,-0.053634778975713684,5.265217738686028
Johnson Controls-Hitachi AirConditioning Spain,RAS-10WHNPE RWM-10.0NE - Heating,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,5.0,47.0,74.0,36.0,average,9455.0,15600.0,1.65,-0.033088123964692906,-0.006220335879067614,1.0305138899757798,-0.03368931199766865,0.006011077919779563,0.3120617990758331,0.12083631304963867,-0.04431521150803197,4.800408299914863
Johnson Controls-Hitachi AirConditioning Spain,RAS-4WHVNPE RWH-4.0VNFE - Type 1,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,3.3,57.0,61.0,17.0,average,4230.0,9730.0,2.3,-0.03424312967859374,0.00024332803846407027,0.7019284846607827,-0.03556966619822621,0.007813814975202607,0.2441327133075217,0.13665592417487796,-0.06693081702977567,6.414951100483964
Johnson Controls-Hitachi AirConditioning Spain,RAS-5WHVNPE RWH-5.0VNFE - Type 1,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,3.4,57.0,63.0,17.0,average,5653.0,12380.0,2.19,-0.03542094680133652,0.0018156904810319664,0.6307229277537421,-0.03671304469598279,0.008535996177833955,0.2208615190234287,0.15473976728552455,-0.05735303643735304,5.834921442034693
Johnson Controls-Hitachi AirConditioning Spain,RAS-6WHVNPE RWH-6.0VNFE - Type 1,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,3.4,58.0,64.0,17.0,average,6902.0,14150.0,2.05,-0.037487483390363736,0.0015175759333047134,0.640081921985778,-0.03873283541548581,0.007313066857457032,0.26877691778214396,0.1794162854024031,-0.03411759770943824,4.707335422501523
Johnson Controls-Hitachi AirConditioning Spain,RAS-2WHVN RWD-2.0NWLE-200S Heating Only,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.2,51.0,63.0,3.0,average,1842.0,3500.0,1.9,-0.02747601964421021,-0.003115217402864795,0.8657516666887459,-0.033152207799290366,0.008586888297787532,0.21791327374594888,0.15082243653624886,-0.11552325794680553,7.8707334654237595
Johnson Controls-Hitachi AirConditioning Spain,RAS-2.5WHVN RWD-2.5NWLE-200S Heating Only,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,1.3,51.0,63.0,3.0,average,2324.0,4300.0,1.85,-0.02598832911885709,-0.004198272163588849,0.9483561528882054,-0.03181145617285782,0.00882086747447865,0.2001193347762915,0.1943250925298932,-0.08413548609220925,6.853269511945883
Kaukora,Star-10,2020-12-17,Brine/Water,On-Off,5.0,R407c,2.1,45.0,,7.0,average,2324.0,7900.0,3.4,-0.0038616139258426134,-0.013753998772394348,1.6856764451595971,0.0046333089611326535,0.009459969345263124,0.549571585157775,-0.03886239451007871,-0.09821050739484452,8.135754572482954
Kaukora,Star-12,2020-12-17,Brine/Water,On-Off,5.0,R407c,2.0,45.0,,7.0,average,3273.0,10800.0,3.3,-0.0007665410413402708,-0.003801962372057788,1.1900883131471336,0.005542421576984106,0.014470786615158163,0.2832369788411011,-0.03404036455916073,-0.08926667691024169,7.622683294746784
Kaukora,Star-17,2020-12-17,Brine/Water,On-Off,5.0,R407c,2.0,43.0,,7.0,average,4923.0,16000.0,3.25,-0.001259568066839349,-0.004089426155139945,1.195763762302854,0.004497203026656971,0.010243146261975405,0.471299513867046,-0.02829144502616165,-0.062222713074133365,6.34292581951487
Kaukora,Star-24,2020-12-17,Brine/Water,Regulated,2.0,R407c,4.0,47.0,,7.0,average,6789.0,22200.0,3.27,-0.032489012757537336,-0.0026462972694931267,0.992966301578494,-0.019370111468532226,0.013090356391172541,0.2158774328581209,-0.022160595158564483,-0.08769615261265315,7.607117329115185
Kaukora,Star-30,2020-12-17,Brine/Water,Regulated,2.0,R407c,4.0,47.0,,7.0,average,9365.0,29500.0,3.15,-0.03165591261638895,-0.0015120452443587462,0.9394671646864522,-0.018717891667497457,0.013885833807038476,0.1827145797609718,-0.022570661640525937,-0.08397538675191178,7.279401235338818
Kaukora,Star-40,2020-12-17,Brine/Water,Regulated,2.0,R407c,3.4,47.0,,7.0,average,11471.0,38200.0,3.33,-0.031882421036695176,-0.0018601741518684746,0.9556366722690997,-0.01974534263176956,0.012639773385808515,0.2455484043371885,-0.021762907444120842,-0.0798328374235079,7.250423962487402
Kaukora,Star-6,2020-12-17,Brine/Water,On-Off,5.0,R407c,1.5,43.0,,7.0,average,1509.0,4800.0,3.18,-0.005658971571694539,-0.017661040220027763,1.8612796580644009,0.0041577757347424854,0.007781343965509984,0.622288141756558,-0.0403668907396216,-0.09713289527680496,7.8589773927288435
Kaukora,Star-60,2020-12-17,Brine/Water,Regulated,2.0,R407c,3.4,47.0,,7.0,average,17287.0,54800.0,3.17,-0.033464850699854894,-0.0039301716094439785,1.0535496192248623,-0.020763418798032937,0.01140443790724361,0.3033666901552504,-0.020084695514048057,-0.07700865844830078,6.961219068459661
Kaukora,Star-8,2020-12-17,Brine/Water,On-Off,5.0,R407c,1.8,45.0,,7.0,average,1890.0,6200.0,3.28,-0.004720326735186796,-0.01519525824169786,1.752567823050867,0.004113175419375757,0.008517348936080664,0.5903729263931811,-0.0378509684462462,-0.09492694389604073,7.871842085971265
Kaukora,Jäspi Inverter Nordic 12,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,2.6,,53.0,25.0,average,3054.0,7300.0,2.39,-0.03006444996369845,-0.0003394164958269475,0.7453176743738965,-0.030789323780764637,0.009070956728087056,0.2023417504517148,0.1206272173012072,-0.07641893309634472,6.794705565270152
Kaukora,Jäspi Inverter Nordic 16,2020-05-05,Outdoor Air/Water,Regulated,1.0,R410a,3.0,,55.0,25.0,average,4395.0,10900.0,2.48,-0.016903077115994248,0.0015658721605010778,0.6922605198933511,-0.02063166143956045,0.012988224272503877,0.043061424783767815,0.11384826499145108,-0.08725123395961383,7.443292239891647
Kaukora,Jäspi Inverter Nordic 8 (1-phase),2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,53.0,25.0,average,2218.0,5500.0,2.48,-0.02066657599093085,0.0018184725214146398,0.7189139322859677,-0.023226608813251767,0.0119982977426761,0.12111720049554248,0.09141593115854876,-0.07552676554301653,6.795026805977613
LG Electronics Inc.,HU121MRB U30 / HN1600MB NK0,2020-07-06,Outdoor Air/Water,Regulated,1.0,R32,2.1,44.0,61.0,60.0,average,4636.0,10200.0,2.2,-0.03012768210301328,-0.0004664268800711295,0.7538332524027724,-0.030418747151056268,0.010827521460355429,0.119973835605726,0.17791919302474846,-0.08847613149341027,7.271149844405178
LG Electronics Inc.,HU141MRB U30 / HN1600MB NK0,2020-07-06,Outdoor Air/Water,Regulated,1.0,R32,2.1,44.0,62.0,60.0,average,4815.0,10400.0,2.16,-0.032056614426306904,-0.0017853530745468255,0.8081850470449997,-0.03175214185666681,0.00986465700002709,0.15812006269353399,0.17566074750603267,-0.08435796541425862,7.066242444844028
LG Electronics Inc.,HU161MRB U30 / HN1600MB NK0,2020-07-06,Outdoor Air/Water,Regulated,1.0,R32,2.1,44.0,63.0,60.0,average,4930.0,10600.0,2.15,-0.031807395500739084,-0.002032045934906976,0.8274038782713442,-0.032406595054887063,0.00941799462266272,0.18207302606182396,0.17711407109014482,-0.08371660879499683,7.024109177911535
LG Electronics Inc.,HM163M U33,2018-04-04,Outdoor Air/Water,Regulated,1.0,R32,2.4,,63.0,60.0,average,5492.0,10600.0,1.93,-0.010724357878103037,0.002037847441526411,0.6927200961687421,-0.020326911767675496,0.015422489076201215,-0.07633362317463258,0.1898564009625688,-0.0968373393502314,7.483036136752824
LG Electronics Inc.,HM143M U33,2018-04-04,Outdoor Air/Water,Regulated,1.0,R32,2.4,,63.0,60.0,average,5492.0,10600.0,1.93,-0.00873565026533523,0.0042876664486064505,0.5942711474182011,-0.018910457066648168,0.016557825966405367,-0.12632716014554335,0.1898564009625688,-0.0968373393502314,7.483036136752824
LG Electronics Inc.,HM123M U33,2018-04-04,Outdoor Air/Water,Regulated,1.0,R32,2.4,,63.0,60.0,average,5492.0,10600.0,1.93,-0.005868717852352294,0.0071970984597153,0.4665364798128959,-0.017026223295540585,0.01803464648880387,-0.19144897232936087,0.1898564009625688,-0.0968373393502314,7.483036136752824
LG Electronics Inc.,HM091M U43,2018-04-09,Outdoor Air/Water,Regulated,1.0,R32,1.4,,60.0,30.0,average,2767.0,4870.0,1.76,-0.020507165438352667,-0.000956227455530316,0.8436084368324807,-0.02721273798425279,0.0123179045373165,0.05083721084074663,0.2050219025915108,-0.11329221899465768,8.058093368871036
LG Electronics Inc.,HM071M U43,2018-04-09,Outdoor Air/Water,Regulated,1.0,R32,1.4,,60.0,30.0,average,2767.0,4870.0,1.76,-0.018203645790285505,0.0013108286489537722,0.7442690418853243,-0.025448767845772324,0.013461599010176042,0.0001989434501004084,0.19914052552375475,-0.10729602714576404,7.806309091831764
LG Electronics Inc.,HM051M U43,2018-04-09,Outdoor Air/Water,Regulated,1.0,R32,1.4,,60.0,30.0,average,2767.0,4870.0,1.76,-0.01553059138325389,0.003933469236338697,0.6291029964953972,-0.023664043608249256,0.014772801179070824,-0.057715860595756986,0.1987167146783181,-0.10598978831895166,7.750390472089847
LG Electronics Inc.,HM091MRS U33,2019-11-15,Outdoor Air/Water,Regulated,1.0,R32,2.1,0.0,57.0,60.0,average,3540.0,7080.0,2.0,-0.037925659039788194,-0.0045864050133558884,0.9249313772784548,-0.031111942079196955,0.010870216491188509,0.10394279546578196,0.16743057379597084,-0.09877029952602508,7.59172203877465
LG Electronics Inc.,HU051MR U44 / HN0916T NB1,2020-09-04,Outdoor Air/Water,Regulated,1.0,R32,1.5,43.0,60.0,30.0,average,2513.0,4900.0,1.95,-0.023186104897922995,0.0012847636566905866,0.7130080245961872,-0.024363567972695413,0.014541092730303594,-0.02614741030288146,0.1416250286517655,-0.11342304294418988,7.940729500925348
LG Electronics Inc.,HU071MR U44 / HN0916T NB1,2020-09-04,Outdoor Air/Water,Regulated,1.0,R32,1.5,43.0,61.0,30.0,average,2513.0,4900.0,1.95,-0.024583234483431297,-0.0005912472149690122,0.7951409539106506,-0.025106675779615454,0.013574454257652815,0.016993640989326698,0.13400414339761685,-0.10775978207508156,7.687728006939263
LG Electronics Inc.,HU091MR U44 / HN0916T NB1,2020-09-04,Outdoor Air/Water,Regulated,1.0,R32,1.5,43.0,61.0,30.0,average,2564.0,5000.0,1.95,-0.030536575396858227,-0.005102294680255776,0.9872693934355908,-0.03115629276083848,0.009573811883458487,0.1874160396518232,0.14654725438698887,-0.09801020223138428,7.316185311349355
LG Electronics Inc.,HU161MA U33 / HN1616 NK3,2020-01-07,Outdoor Air/Water,Regulated,1.0,R410a,2.5,44.0,65.0,60.0,average,4560.0,8800.0,1.93,-0.0314146940795782,-0.001292687257991581,0.7779670990820505,-0.027055997796116844,0.012809010176797806,0.009457539388809348,0.15619079179123266,-0.09529661606947436,7.354153406379917
LG Electronics Inc.,HU141MA U33 / HN1616 NK3,2020-01-07,Outdoor Air/Water,Regulated,1.0,R410a,2.5,44.0,64.0,60.0,average,4040.0,8000.0,1.98,-0.03205160565511616,-0.003724231183000247,0.891763566790455,-0.02892822821798764,0.011259354705404493,0.08345353000037993,0.16732735825511186,-0.09718859969994864,7.491462360792847
LG Electronics Inc.,HU121MA U33 / HN1616 NK3,2020-01-07,Outdoor Air/Water,Regulated,1.0,R410a,2.5,44.0,63.0,60.0,average,3838.0,7600.0,1.98,-0.03034984210840303,-0.004000780782189512,0.9115144446619141,-0.02849030874739638,0.011391800147367723,0.0808431189423819,0.1740449112555906,-0.1029601959950056,7.748849548278106
LG Electronics Inc.,HU161 U33/ HN1616 NK3,2019-07-31,Outdoor Air/Water,Regulated,1.0,R410a,2.3,44.0,66.0,5.0,average,4560.0,8800.0,1.93,-0.03064103039453923,-0.0021556906194047983,0.8162886532411064,-0.03359728905385331,0.008967258516679654,0.1810241145125478,0.2155277387675396,-0.0761902583392942,6.610943044726857
LG Electronics Inc.,HU141 U33/ HN1616 NK3,2019-07-31,Outdoor Air/Water,Regulated,1.0,R410a,2.3,44.0,66.0,5.0,average,4560.0,8800.0,1.93,-0.027694758507329668,0.0006947529325605576,0.6909472500373585,-0.02974998703169553,0.01190824740536158,0.05135789560657353,0.2174728683321689,-0.09481354318576836,7.409310507094146
LG Electronics Inc.,HU121 U33/ HN1616 NK3,2019-07-31,Outdoor Air/Water,Regulated,1.0,R410a,2.3,44.0,66.0,5.0,average,4560.0,8800.0,1.93,-0.02464311759726128,0.0026077686372537705,0.6059838645003108,-0.02773209407018451,0.013188254198627536,-0.005379201995301175,0.21707293918787385,-0.09519837635295564,7.4264388999752775
LG Electronics Inc.,HU091 U43 / HN1616 NK3,2019-07-31,Outdoor Air/Water,Regulated,1.0,R410a,1.8,44.0,65.0,9.0,average,2439.0,5000.0,2.05,-0.04145456202419378,-0.009179781185575879,1.1231459453388477,-0.04362411948232199,0.0033211004893709466,0.4473469271116168,0.2284407264607813,-0.10705687421991432,7.8642875086968065
LG Electronics Inc.,HU071 U43 / HN1616 NK3,2019-07-31,Outdoor Air/Water,Regulated,1.0,R410a,1.8,44.0,65.0,9.0,average,2439.0,5000.0,2.05,-0.03469857459870435,-0.005101774935167078,0.9418185245233096,-0.03512043509784511,0.00850675765767153,0.2173918474915396,0.2122800547686383,-0.11136246943540266,8.063854695151758
LG Electronics Inc.,HU051 U43 / HN1616 NK3,2019-07-31,Outdoor Air/Water,Regulated,1.0,R410a,1.8,,,9.0,average,2415.0,4950.0,2.05,-0.02953706221454803,-0.001472421105189198,0.7863174256788792,-0.028114912417349147,0.012896245844376795,0.026004717723431887,0.19571838256958726,-0.11609941904265705,8.280903190597819
LG Electronics Inc.,"HU161HA U33, HN1610H NK3",2019-06-28,Outdoor Air/Water,Regulated,1.0,R410a,3.8,63.0,63.0,60.0,average,3902.0,9600.0,2.46,-0.04630259816400607,-0.0120930578771246,1.2561433748713624,-0.05413374861333359,-0.010866203414040586,1.1250774094033409,0.05639137295085218,-0.014168323678862529,3.568416321132936
LG Electronics Inc.,"HU091MR U44, HN0916M NK4",2019-03-05,Outdoor Air/Water,Regulated,1.0,R32,1.5,44.0,60.0,20.0,average,2585.0,5300.0,2.05,-0.02047308756212882,0.0029585922803950677,0.6468409892816971,-0.02802937894407231,0.012520729762026344,0.0601592185386207,0.1918110215073912,-0.10686714120493963,7.902219403643928
LG Electronics Inc.,"HU071MR U44, HN0916M NK4",2019-03-05,Outdoor Air/Water,Regulated,1.0,R32,1.5,44.0,60.0,20.0,average,2585.0,5300.0,2.05,-0.01816452349772935,0.004222568674145444,0.5905948453890549,-0.025704114655467014,0.013885778493149974,-0.0003668637561737853,0.18915608956112048,-0.10843891768435132,7.971791481759504
LG Electronics Inc.,"HU051MR U44, HN0916M NK4",2019-03-05,Outdoor Air/Water,Regulated,1.0,R32,1.5,44.0,60.0,20.0,average,2585.0,5300.0,2.05,-0.01610336153924387,0.00675771100251365,0.4797258267861995,-0.024171791799569086,0.01517838051478825,-0.05722325766309967,0.1920033531436204,-0.10912723611719898,7.99798700467939
Master Therm tepelna cerpadla ,AquaMaster Inverter AQ17I,2021-01-26,Brine/Water,Regulated,2.0,R32,0.8,45.0,,12.0,average,1111.0,3510.0,3.16,-0.04998232874983132,-0.008695312833730788,1.1002640307084055,-0.03284323761122455,0.008127685786016177,0.28920749716252364,-0.007971137939043145,-0.10923266824392908,8.587771953670893
Master Therm tepelna cerpadla ,AquaMaster Inverter AQ22I,2021-01-26,Brine/Water,Regulated,2.0,R32,1.0,45.0,,12.0,average,1780.0,5270.0,2.96,-0.05418977404974304,-0.008399267919548233,1.0801442622306594,-0.038740348504332035,0.00640791565637907,0.3388443996285246,0.03490207713640155,-0.1009157796755238,8.240572656368762
Master Therm tepelna cerpadla ,BoxAir Inverter BA22I,2021-01-26,Outdoor Air/Water,Regulated,1.0,R32,1.3,,50.0,19.0,average,1824.0,3720.0,2.04,-0.03806042347388803,-0.004556837924870896,0.9098124632550662,-0.035674386117696084,0.007835675687505355,0.2335928813980681,0.1657844275494688,-0.08929392316643335,7.156733113035022
Master Therm tepelna cerpadla ,BoxAir Inverter BA22IS-1,2021-01-26,Outdoor Air/Water,Regulated,1.0,R410a,2.3,48.0,55.0,18.0,average,1936.0,3930.0,2.03,-0.03030522116909205,-0.0017003524443344918,0.8108283219357993,-0.031426147826781985,0.00983997297919574,0.16101155780413146,0.1564539477729141,-0.08508942645868417,6.912360217312091
Master Therm tepelna cerpadla ,BoxAir Inverter BA26I,2021-01-26,Outdoor Air/Water,Regulated,1.0,R32,1.7,,53.0,19.0,average,2631.0,5340.0,2.03,-0.03672111074391083,-0.004437184288951644,0.9156494758135528,-0.034866926455948015,0.008357776103506092,0.21225374308367306,0.1731657119713368,-0.0971725756456384,7.539227295919143
Master Therm tepelna cerpadla ,BoxAir Inverter BA26IS-1,2021-01-26,Outdoor Air/Water,Regulated,1.0,R410a,2.3,48.0,55.0,18.0,average,2887.0,5600.0,1.94,-0.03206894744008796,-0.0022580938303628896,0.8338365057447401,-0.0334849624996815,0.00913189349908181,0.18889642692722453,0.17472804070075856,-0.0884680307978732,6.984540417954366
Master Therm tepelna cerpadla ,BoxAir Inverter BA37I,2021-01-26,Outdoor Air/Water,Regulated,1.0,R32,2.7,,58.0,19.0,average,4023.0,8930.0,2.22,-0.04321856649926361,-0.00481407047275318,0.9298505588519228,-0.03968891958664195,0.005940654054591239,0.3129015834256794,0.18844319691218192,-0.08331336483124963,7.305595727341009
Master Therm tepelna cerpadla ,BoxAir Inverter BA37IS-1,2021-01-26,Outdoor Air/Water,Regulated,1.0,R410a,4.5,48.0,62.0,19.0,average,4430.0,8860.0,2.0,-0.037130433018552206,-0.0065261538790262795,1.0096119039149236,-0.037188400322727085,0.005942359508037925,0.3137576103471273,0.17514073971950608,-0.07662005603636256,6.669571837612888
Master Therm tepelna cerpadla ,BoxAir Inverter BA45I,2021-01-26,Outdoor Air/Water,Regulated,1.0,R32,3.0,,60.0,19.0,average,5881.0,12350.0,2.1,-0.037196539714003184,-0.0017378112460312578,0.7753502517958982,-0.0339365139284916,0.009349703430545971,0.14959650254079812,0.18387408763759808,-0.09703954559197522,7.73842507299257
Master Therm tepelna cerpadla ,BoxAir Inverter BA45IS-1,2021-01-26,Outdoor Air/Water,Regulated,1.0,R410a,4.7,48.0,62.0,19.0,average,5076.0,10660.0,2.1,-0.03861951481962373,-0.007395319696161947,1.0582379511334403,-0.03806322579673215,0.005598569828390728,0.34630630740595403,0.17814034508232016,-0.08160695096822597,6.909247731744657
Master Therm tepelna cerpadla ,BoxAir Inverter BA60I-1,2021-01-26,Outdoor Air/Water,Regulated,1.0,R410a,6.9,,66.0,27.0,average,10181.0,20770.0,2.04,-0.03273322841745644,-0.0009302410559368832,0.751255661228356,-0.034138252938628925,0.008982439832405537,0.1815749069491835,0.18523560237871053,-0.08401862006787338,6.981065456507642
Mitsubishi,PUHZ-W112VAA,2018-10-09,Outdoor Air/Water,Regulated,1.0,R410a,3.3,,60.0,15.0,average,4523.0,9000.0,1.99,-0.027445712872710186,0.002288420329183063,0.6521177684610329,-0.02459984606211557,0.014420379400640825,-0.04524114261251185,0.16037826039458872,-0.0784342846154034,6.744854622273426
Mitsubishi,PUHZ-W60VAA,2018-10-09,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,58.0,15.0,average,2536.0,5300.0,2.09,-0.02632562261819624,-0.0017206893602272695,0.8281751683743327,-0.024008929088491008,0.013936463625193116,-0.01131031949088159,0.13752793857751724,-0.11606030763117313,8.325725289800257
Mitsubishi,PUHZ-W85VAA,2018-10-09,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,58.0,15.0,average,3827.0,7500.0,1.96,-0.03444473184033285,-0.0017633715699163824,0.791172459264091,-0.0414667847837194,0.004727705582952736,0.35778218086896324,0.2290409154297956,-0.06919420574569843,6.409407618504102
Mitsubishi,SUZ-SWM40VA + EHST30D-M*D,2020-11-30,Outdoor Air/Water,Regulated,1.0,R32,1.2,41.0,58.0,15.0,average,2010.0,4100.0,2.04,-0.02812282230367966,-0.005282424281943424,1.0086717493400534,-0.030157843483085336,0.009966453411964716,0.1678063624231675,0.17928412247658926,-0.11045869004163243,8.10327304151307
Mitsubishi,SUHZ-SW45VA(H) + EHSD-M*C,2020-04-09,Outdoor Air/Water,Regulated,1.0,R410a,1.3,40.0,61.0,10.0,average,2303.0,4100.0,1.78,-0.02149649564284364,-0.003771062056891832,0.979258236986178,-0.0252714155371102,0.011914647901181873,0.07239240042240552,0.1871517912120988,-0.09389802116205613,7.258963206976763
Mitsubishi,PUHZ-FRP71VHA2 + EHST20C-M*D,2020-03-06,Outdoor Air/Water,Regulated,1.0,R410a,3.8,40.0,68.0,20.0,average,3382.0,6900.0,2.04,-0.03337424001633793,-0.013457148695692244,1.2732399061817476,-0.0334203027000608,0.005014729943666128,0.3651988246739459,0.1134511188100302,-0.08690877321933413,6.700410163713013
Mitsubishi,PUHZ-SW100VAA(-BS) + EHSC-M*C,2020-04-09,Outdoor Air/Water,Regulated,1.0,R410a,4.2,40.0,60.0,15.0,average,4564.0,8900.0,1.95,-0.028287406758324495,-0.0014210586799918339,0.8248211079137036,-0.03057696243239505,0.009811533636821024,0.15994838181879634,0.17058011022244693,-0.07240252485695681,6.399306406179296
Mitsubishi,PUHZ-SW100VHA(-BS) + EHSC-M*C,2020-04-09,Outdoor Air/Water,Regulated,1.0,R410a,4.6,40.0,70.0,15.0,average,4972.0,8900.0,1.79,-0.018965848643563547,-0.0034591301618311877,0.9100071706890012,-0.029455231498366964,0.009029839628216609,0.18081606457703275,0.18858042944753972,-0.07069173729057675,6.213746966142494
