Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p1_COP [-],p2_COP [-],p3_COP [-]
Enertech CTC AB,CTA Aeroheat CM 18a,2020-12-17,Outdoor Air/Water,Regulated,1.0,R407c,2.7,,56.0,12.0,average,3120.0,7520.0,2.41,-0.016996965152601098,-0.0016286255728436398,0.8638111480580519,-0.021460661052782267,0.011822077846929391,0.1050665288481152,0.11910631654136232,-0.08968962712321983,7.531208824465928
Enertech CTC AB,CTC CombiAir 16M,2020-10-30,Outdoor Air/Water,Regulated,1.0,R410a,4.0,,61.0,15.0,average,6219.0,12500.0,2.01,-0.030602980846556705,-0.0019233015753389398,0.8142239246152223,-0.029132664018172938,0.010826618878255624,0.10399531249301397,0.16023430249405432,-0.07195379970081932,6.4613418056250405
Enertech CTC AB,CTC EcoAir 406 1x230V,2020-12-17,Outdoor Air/Water,On-Off,4.0,R407c,2.2,,56.0,18.0,average,1643.0,3500.0,2.13,0.052858961975410027,-0.009271701361199593,1.7229940813984612,0.00947038740434083,0.015450307535407432,0.27042674191855,0.0968416971271608,-0.08826356563543694,6.851364130280361
Enertech CTC AB,CTC EcoAir 408 1x230V,2020-12-17,Outdoor Air/Water,On-Off,4.0,R407c,2.2,,61.0,18.0,average,2036.0,4500.0,2.21,0.049528560562482914,-0.008336425264254075,1.6493257676011572,0.007512208464635739,0.014351289807009443,0.3097038836438902,0.10408707940377017,-0.08113028772283216,6.618298862559153
Enertech CTC AB,CTC EcoAir 410 1x230V,2017-06-12,Outdoor Air/Water,On-Off,4.0,R407c,2.7,,58.0,18.0,average,3013.0,7080.0,2.35,0.04470155175068505,-0.004496820331297299,1.4568092084389186,0.00718156714353666,0.013353293443514505,0.3484039642786926,0.09737621888964416,-0.06749251766112778,6.171738528487534
Enertech CTC AB,CTC EcoAir 415 1x230V,2020-12-17,Outdoor Air/Water,On-Off,4.0,R407c,3.4,,64.0,18.0,average,4095.0,9500.0,2.32,0.0424378399252267,-0.006939800003136356,1.5584442380010992,0.008619842465320434,0.012454958264308605,0.4200796393636455,0.07914900389649382,-0.06601898170156031,5.919880982726388
Enertech CTC AB,CTC EcoAir 420 3x400V,2020-12-17,Outdoor Air/Water,On-Off,4.0,R407c,3.5,,66.0,18.0,average,4638.0,10900.0,2.35,0.0425804438216611,-0.004921755535708051,1.4708418665286769,0.010163123649513064,0.012816160026037271,0.4202189737727159,0.07328965975458603,-0.061188157777498524,5.689329114827488
Enertech CTC AB,CTC EcoAir 510M 1x230V,2020-12-17,Outdoor Air/Water,Regulated,1.0,R410a,2.2,,60.0,15.0,average,881.0,7000.0,7.95,-0.007129815727831352,0.02177805139320716,-0.23438044712829145,-0.039636785866886806,0.011369627518035195,0.5756503593063566,0.14015164688347725,0.08203544340391965,2.0682508709745586
Enertech CTC AB,CTC EcoAir 510M 3x400V,2020-12-17,Outdoor Air/Water,Regulated,1.0,R407c,2.2,,60.0,15.0,average,3211.0,6100.0,1.9,-0.025224323945507096,0.002287594878561607,0.6387474205144563,-0.02682357890603394,0.013628282861188886,-0.025243702150718646,0.1967932163044316,-0.09824576940190098,7.642172066124855
Enertech CTC AB,CTC EcoAir 520M,2020-12-17,Outdoor Air/Water,Regulated,1.0,R407c,2.7,,55.0,15.0,average,3671.0,7600.0,2.07,-0.008745784017428558,0.0028624372617976532,0.6657665947656535,-0.01811596100631023,0.015244053371744162,-0.06613148938277827,0.14838530186291715,-0.0958256130109456,7.564656890731066
Enertech CTC AB,CTC EcoAir 610M,2020-12-17,Outdoor Air/Water,Regulated,1.0,R407c,2.2,,53.0,14.0,average,2901.0,5890.0,2.03,-0.02704809819709228,0.0013549361236987099,0.6679990358298759,-0.025352009674806112,0.01313980338386748,-0.010613293787935624,0.13704045197869374,-0.08691119653521365,7.241680798972538
Enertech CTC AB,CTC EcoAir 614M,2020-12-17,Outdoor Air/Water,Regulated,1.0,R407c,2.2,,51.0,14.0,average,3398.0,6830.0,2.01,-0.032543497444338015,-0.0005484200115369605,0.7350418802694889,-0.03027602840816933,0.010654914331487408,0.08402360644001967,0.16748557597082586,-0.0760804922239657,6.919067404300932
Enertech CTC AB,CTC EcoPart 406 1x230V,2020-12-17,Brine/Water,On-Off,5.0,R407c,1.9,50.0,,18.0,average,1710.0,5300.0,3.1,-0.0025612358410261626,-0.007654385226029191,1.366423440229844,0.005643402948079157,0.015029480215819787,0.2623670172044395,-0.04005454892545305,-0.1035791617309184,8.039474605739438
Enertech CTC AB,CTC EcoPart 408 1x230V,2020-12-17,Brine/Water,On-Off,5.0,R407c,1.9,46.0,,18.0,average,2348.0,7700.0,3.28,-0.0014175407757976116,-0.004054978340027075,1.1979227017251677,0.006306214044248274,0.015714351849942354,0.23997270412942795,-0.03990172299066418,-0.09573538129680248,7.824309762468965
