Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p1_COP [-],p2_COP [-],p3_COP [-]
Mitsubishi,PUD-SWM60VAA(-BS) + E*ST30D-M*D,2020-11-30,Outdoor Air/Water,Inverter,1.0,R32,1.3,41.0,55.0,15,average,2536,5300,-0.017466213543737168,-0.0009237296977319717,0.9490170312343109,-0.02089746248438142,0.01453945818662791,0.03899195961832768,0.16109780726580206,-0.0887253803339316,7.237342623135877
Mitsubishi,PUD-SWM60VAA(-BS) + E*ST30D-*M*D,2020-11-30,Outdoor Air/Water,Inverter,1.0,R32,1.3,41.0,55.0,15,average,2536,5300,-0.017466213543737168,-0.0009237296977319717,0.9490170312343109,-0.02089746248438142,0.01453945818662791,0.03899195961832768,0.16109780726580206,-0.0887253803339316,7.237342623135877
Mitsubishi,PUD-SWM80VAA(-BS) + E*ST30D-M*D,2020-11-30,Outdoor Air/Water,Inverter,1.0,R32,1.3,41.0,56.0,15,average,3498,7100,-0.026855621064640282,-0.0010519467451805817,0.832620131824218,-0.026563667144660515,0.01253518301636608,0.05673000873621913,0.17965231120776567,-0.08872395029632443,7.232352702040503
Mitsubishi,PUD-SWM80VAA(-BS) + E*ST30D-*M*D,2020-11-30,Outdoor Air/Water,Inverter,1.0,R32,1.3,41.0,56.0,15,average,3498,7100,-0.026855621064640282,-0.0010519467451805817,0.832620131824218,-0.026563667144660515,0.01253518301636608,0.05673000873621913,0.17965231120776567,-0.08872395029632443,7.232352702040503
Mitsubishi,PUD-SWM80YAA(-BS) + E*ST30D-M*D,2020-11-30,Outdoor Air/Water,Inverter,1.0,R32,1.3,41.0,56.0,22,average,3498,7100,-0.026855621064640282,-0.0010519467451805817,0.832620131824218,-0.026563667144660515,0.01253518301636608,0.05673000873621913,0.17965231120776567,-0.08872395029632443,7.232352702040503
Mitsubishi,PUD-SWM80YAA(-BS) + E*ST30D-*M*D,2020-11-30,Outdoor Air/Water,Inverter,1.0,R32,1.3,41.0,56.0,22,average,3498,7100,-0.026855621064640282,-0.0010519467451805817,0.832620131824218,-0.026563667144660515,0.01253518301636608,0.05673000873621913,0.17965231120776567,-0.08872395029632443,7.232352702040503
Mitsubishi,PUZ-HWM140VHA(-BS),2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,15,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140VHA(-BS) + EHPT20X-M*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,15,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140VHA(-BS) + EHPT20X-VM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,15,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
Mitsubishi,PUZ-HWM140VHA(-BS) + EHPT20X-YM*D,2020-07-27,Outdoor Air/Water,Inverter,1.0,R32,3.3,40.0,67.0,15,average,6263,12400,-0.032260032863242145,-0.0005740321104067427,0.7445376300435171,-0.03391063358913851,0.00914243146941483,0.1759234008388775,0.17454116897977912,-0.08021351279775452,6.743945410993589
