Model,k1,k2,k3,k4,k5,k6,k7,k8,k9,Group
KHP-BI 8 DVR2 + KHPM-BI 10 DVR2,"-0,045170970062378","-0,009625835395753","1,00706715454123","-0,045982674586973","0,010942586488718","0,270924949756474","0,094701669050937","-0,143552168415859","9,44564994761683",1
KHP-MO 8 DVR2,"-0,045170970062378","-0,009625835395753","1,00706715454123","-0,045982674586973","0,010942586488718","0,270924949756474","0,094701669050937","-0,143552168415859","9,44564994761683",1
MHA-V8W/D2N8-B+HB-A100/C****GN8-B,"-0,045170970062378","-0,009625835395753","1,00706715454123","-0,045982674586973","0,010942586488718","0,270924949756474","0,094701669050937","-0,143552168415859","9,44564994761683",1
MHC-V8W/D2N8-B****,"-0,045170970062378","-0,009625835395753","1,00706715454123","-0,045982674586973","0,010942586488718","0,270924949756474","0,094701669050937","-0,143552168415859","9,44564994761683",1
MHA-V8W/D2N8-B+HBTA100/190C****GN8-B,"-0,045170970062378","-0,009625835395753","1,00706715454123","-0,045982674586973","0,010942586488718","0,270924949756474","0,094701669050937","-0,143552168415859","9,44564994761683",1
MHA-V8W/D2N8-B+HBTA100/240C****GN8-B,"-0,045170970062378","-0,009625835395753","1,00706715454123","-0,045982674586973","0,010942586488718","0,270924949756474","0,094701669050937","-0,143552168415859","9,44564994761683",1
AW-YHPS10-H91 + AW-WHPST0410-N91,"-0,044935006612198","-0,005324388224613","0,872700270854142","-0,0474822096725","0,010914194204922","0,267077140324927","0,147406682504792","-0,137079233584551","9,30867526570215",1
MHA-V10W/D2N8+SMKT-100L/190C*GN8,"-0,044935006612198","-0,005324388224613","0,872700270854142","-0,0474822096725","0,010914194204922","0,267077140324927","0,147406682504792","-0,137079233584551","9,30867526570215",1
MHA-V10W/D2N8+SMKT-100L/250C*GN8,"-0,044935006612198","-0,005324388224613","0,872700270854142","-0,0474822096725","0,010914194204922","0,267077140324927","0,147406682504792","-0,137079233584551","9,30867526570215",1
MDAN-YMi 5.1 + SRHME A,"-0,044935006663622","-0,005324388281876","0,872700273015815","-0,047482209781458","0,010914194122835","0,267077143528013","0,14740669493936","-0,137079223365807","9,30867487091183",1
KHP-BI 10 DVR2 + KHPM-BI 10 DVR2,"-0,045183405690867","-0,008403243856356","0,966164236457947","-0,046931640561288","0,008851469584144","0,326837353145743","0,120434455903805","-0,133571109181529","9,1399862824518",1
KHP-MO 10 DVR2,"-0,045183405690867","-0,008403243856356","0,966164236457947","-0,046931640561288","0,008851469584144","0,326837353145743","0,120434455903805","-0,133571109181529","9,1399862824518",1
MHA-V10W/D2N8-B+HB-A100/C****GN8-B,"-0,045183405690867","-0,008403243856356","0,966164236457947","-0,046931640561288","0,008851469584144","0,326837353145743","0,120434455903805","-0,133571109181529","9,1399862824518",1
MHC-V10W/D2N8-B****,"-0,045183405690867","-0,008403243856356","0,966164236457947","-0,046931640561288","0,008851469584144","0,326837353145743","0,120434455903805","-0,133571109181529","9,1399862824518",1
MHA-V10W/D2N8-B+HBTA100/190C****GN8-B,"-0,045183405690867","-0,008403243856356","0,966164236457947","-0,046931640561288","0,008851469584144","0,326837353145743","0,120434455903805","-0,133571109181529","9,1399862824518",1
MHA-V10W/D2N8-B+HBTA100/240C****GN8-B,"-0,045183405690867","-0,008403243856356","0,966164236457947","-0,046931640561288","0,008851469584144","0,326837353145743","0,120434455903805","-0,133571109181529","9,1399862824518",1
AW-YHPS08-H91 + AW-WHPST0410-N91,"-0,043958645605307","-0,003775903074366","0,822285169558146","-0,046380169074054","0,015665475171208","0,119085050733203","0,114251956369883","-0,131854384439916","8,88886261782753",1
MHA-V8W/D2N8+SMKT-100L/190C*GN8,"-0,043958645605307","-0,003775903074366","0,822285169558146","-0,046380169074054","0,015665475171208","0,119085050733203","0,114251956369883","-0,131854384439916","8,88886261782753",1
MHA-V8W/D2N8+SMKT-100L/250C*GN8,"-0,043958645605307","-0,003775903074366","0,822285169558146","-0,046380169074054","0,015665475171208","0,119085050733203","0,114251956369883","-0,131854384439916","8,88886261782753",1
MDAN-YMi 4.1 + SRHME A,"-0,043958645708635","-0,003775903172759","0,822285173302063","-0,046380169629836","0,015665474569193","0,119085073372731","0,114251959768876","-0,131854383912594","8,88886258780439",1
AE090MXTPGH/EU & AE200TNWTEH/EU,"-0,027136294438365","-0,006641628998757","0,990783027376662","-0,036384585452383","0,013497165227487","0,198691357644826","0,105945861698866","-0,131379579073668","8,43661251471129",1
AE090MXTPGH/EU & AE260TNWTEH/EU,"-0,027136294438365","-0,006641628998757","0,990783027376662","-0,036384585452383","0,013497165227487","0,198691357644826","0,105945861698866","-0,131379579073668","8,43661251471129",1
AE090MXTPGH/EU & AE090MNYDGH/EU,"-0,027136294438365","-0,006641628998757","0,990783027376662","-0,036384585452383","0,013497165227487","0,198691357644826","0,105945861698866","-0,131379579073668","8,43661251471129",1
