Model,k1,k2,k3,k4,k5,k6,k7,k8,k9,Group
LWAV 82R1/3,-0.025482870916208072,-0.006595805870904496,0.9813120314646417,-0.037879651538148346,0.009313228528075576,0.36211781378453434,0.1547054276067676,-0.08854015518452395,7.378348837407827,1.0
LWAV+ 82R1/3,-0.025482870916208072,-0.006595805870904496,0.9813120314646417,-0.037879651538148346,0.009313228528075576,0.36211781378453434,0.1547054276067676,-0.08854015518452395,7.378348837407827,1.0
SWCV 122(H)(K)3 (3~400V),-0.038731115192291554,0.0036232448195355174,0.5971749110451765,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0
SWCV 122H1 (1~230V),-0.038731115192291554,0.0036232448195355174,0.5971749110451765,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0
WZSV 122(H)(K)3M,-0.038731115192291554,0.0036232448195355174,0.5971749110451765,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0
PWZSV 122H3S (3~400V),-0.038731115192291554,0.0036232448195355174,0.5971749110451765,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0
PWZSV 122H2S (3~230V),-0.038731115192291554,0.0036232448195355174,0.5971749110451765,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0
PWZSV 122H1S (1~230V),-0.038731115192291554,0.0036232448195355174,0.5971749110451765,-0.038208567180321666,0.02163703844964477,0.008100706516731651,0.011724763789457087,-0.08606468341740842,7.692436819225627,2.0
SWCV 162(H)(K)3,-0.034277184980207064,-0.0006530271355015321,0.7445306312699285,-0.036229508340689526,0.015616106444938988,0.18265232039506593,0.03216462189274071,-0.08637145849693281,7.655192709339807,2.0
WZSV 162(H)(K)3M,-0.034277184980207064,-0.0006530271355015321,0.7445306312699285,-0.036229508340689526,0.015616106444938988,0.18265232039506593,0.03216462189274071,-0.08637145849693281,7.655192709339807,2.0
PWZSV 162H3S,-0.034277184980207064,-0.0006530271355015321,0.7445306312699285,-0.036229508340689526,0.015616106444938988,0.18265232039506593,0.03216462189274071,-0.08637145849693281,7.655192709339807,2.0
SWCV 62(H)(K)3,-0.040659120676840355,-0.0007230574470895488,0.7321620221126413,-0.03998821395880644,0.017190805741122975,0.1347984020350248,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0
SWCV 62H1,-0.040659120676840355,-0.0007230574470895488,0.7321620221126413,-0.03998821395880644,0.017190805741122975,0.1347984020350248,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0
WZSV 62(H)(K)3M,-0.040659120676840355,-0.0007230574470895488,0.7321620221126413,-0.03998821395880644,0.017190805741122975,0.1347984020350248,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0
PWZSV 62H3S,-0.040659120676840355,-0.0007230574470895488,0.7321620221126413,-0.03998821395880644,0.017190805741122975,0.1347984020350248,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0
PWZSV 62H2S,-0.040659120676840355,-0.0007230574470895488,0.7321620221126413,-0.03998821395880644,0.017190805741122975,0.1347984020350248,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0
PWZSV 62H1S,-0.040659120676840355,-0.0007230574470895488,0.7321620221126413,-0.03998821395880644,0.017190805741122975,0.1347984020350248,0.012362870024141397,-0.09685981824658467,8.036286207141833,2.0
SWCV 92(H)(K)3 (3~ 400V),-0.042950567180990905,-0.005799467478889498,0.8776092116351863,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0
SWCV 92H1 (1~ 230V),-0.042950567180990905,-0.005799467478889498,0.8776092116351863,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0
WZSV 92(H)(K)3M(3~ 400V),-0.042950567180990905,-0.005799467478889498,0.8776092116351863,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0
PWZSV 92H3S (3~ 400V),-0.042950567180990905,-0.005799467478889498,0.8776092116351863,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0
PWZSV 92H2S (3~ 230V),-0.042950567180990905,-0.005799467478889498,0.8776092116351863,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0
PWZSV 92H1S(1~ 230V),-0.042950567180990905,-0.005799467478889498,0.8776092116351863,-0.04299871503193519,0.008605247586029327,0.36535678364258073,0.03701514765179295,-0.10194881559145315,8.182437519174933,2.0
WWC 100H/X,0.0002079118317951854,-0.00403962525661966,1.132916640941097,0.0004411700211430268,0.02220349671422718,0.2761337040732169,0.0037364620310093768,-0.11604172724704731,9.525856757009114,6.0
WWC 130H/X,0.00019266400652309608,-0.0038826336339153208,1.1279537458426294,0.0003818743348049607,0.01949999413382856,0.36427253333360604,0.0028803217839026116,-0.1044046749692609,9.05257957582546,6.0
WWC 160H/X,-0.00043821198029015594,-0.0037294440699510737,1.1196375570580608,0.00311834413515954,0.020644132234117093,0.3267510167028935,-0.01479379592512213,-0.10771872069067384,8.977109309480324,6.0
WWC 190H/X,0.00021109989769397576,-0.004553605979686739,1.1496572228673698,1.8183443760913543e-05,0.019804037168916915,0.35262165405248774,0.005769154338049749,-0.11086561812417392,9.3920635828366,6.0
WWC 220H/X,-0.0006858836327614126,-0.0033053022310263577,1.1077748232369333,0.006547652800950325,0.02767190231730106,0.10075566880370863,-0.0337773385632935,-0.1411863392246558,10.502751095819047,6.0
AIM06EMX,-0.04076174822743942,-0.011309574766449665,1.047581076751588,-0.046805619191570454,0.002983835761304928,0.5026657976238511,0.1301590957537677,-0.07703564491730656,6.130043458748647,1.0
AIM08EMX,-0.042592400020079704,-0.007921640024208872,0.9489405397913476,-0.046619248326717155,0.010973355221181706,0.28442265687976254,0.11825535109759475,-0.08601023125196759,6.588957969880029,1.0
AIM11EMX,-0.024840236998696905,-0.0017865708349167771,0.7912113448028438,-0.04025666429358074,0.016738848238031036,0.12159633475788899,0.17492307011101513,-0.06242929251036388,5.690026184655199,1.0
AIM11EMX3PH,-0.024840236998696905,-0.0017865708349167771,0.7912113448028438,-0.04025666429358074,0.016738848238031036,0.12159633475788899,0.17492307011101513,-0.06242929251036388,5.690026184655199,1.0
AIM14EMX3PH,-0.030711448504758685,-0.00019337498884560456,0.7217522775369429,-0.04254582557196874,0.019694943462800103,0.0017335684925441188,0.15541831778642778,-0.08033237697389148,6.301211345655024,1.0
AUAH + AEI1G50EMX,-0.02795918373149963,0.010480241944142052,0.39471345068421293,-0.04111504122582231,0.023016548142286482,-0.11601326955856921,0.1643304821359716,-0.07420449435023098,6.039372806210081,1.0
AUBH + AEI1G65EMX,-0.03498002648835198,-0.00761341125950207,0.9350670307111448,-0.04462568938127587,0.009525120433813612,0.3084668675100783,0.16268339516280952,-0.07598112260887885,6.146209206610398,1.0
AUCH + AEI1G110BEMX,-0.03601672089049731,-0.006422378142258676,0.9078900180356417,-0.046380186836597,0.008323976637739016,0.33023305976422407,0.17817468285151217,-0.07375316721192855,6.0191537329297455,1.0
AUCH + AEI1G80BEMX,-0.03805355364657941,-0.0058338566350506086,0.8806816627017361,-0.045519532369425644,0.01090082523813029,0.2603377898499073,0.14252790527016596,-0.07575868831365785,6.062857241693394,1.0
AUDH + AEI1G140EMX3PH,-0.0322658903892763,-0.011000021834849435,1.0981822010631541,-0.04224632689050077,0.010433732376255254,0.2971922222406229,0.12702667821399424,-0.08902409857131309,6.6656100140373,1.0
AEROTOP MONO 11M-R,-0.03632911971149435,-0.004579166134916474,0.8601683156340584,-0.04189284018957639,0.011892602730281669,0.2475066447700176,0.11506773830635024,-0.11887876691730317,8.379970528710091,1.0
AEROTOP MONO 11M-RL,-0.03632911971149435,-0.004579166134916474,0.8601683156340584,-0.04189284018957639,0.011892602730281669,0.2475066447700176,0.11506773830635024,-0.11887876691730317,8.379970528710091,1.0
ARIANEXT LITE 110 M-T LINK,-0.03632911971149435,-0.004579166134916474,0.8601683156340584,-0.04189284018957639,0.011892602730281669,0.2475066447700176,0.11506773830635024,-0.11887876691730317,8.379970528710091,1.0
