T_in,Star-24,Star-30,Star-40,Star-60,F1345-24,F1345-30,F1345-40,F1345-60
-20,1.4581694681558344,1.455522031184272,1.4557715038473913,1.4600659900100261,1.4581694681558344,1.455522031184272,1.4557715038473913,1.4600659900100261
-19,1.427607771811805,1.4252022512014078,1.425399721665256,1.4292445812628238,1.427607771811805,1.4252022512014078,1.425399721665256,1.4292445812628238
-18,1.3970460754677756,1.3948824712185435,1.3950279394831209,1.3984231725156215,1.3970460754677756,1.3948824712185435,1.3950279394831209,1.3984231725156215
-17,1.3664843791237464,1.3645626912356792,1.3646561573009857,1.3676017637684192,1.3664843791237464,1.3645626912356792,1.3646561573009857,1.3676017637684192
-16,1.335922682779717,1.334242911252815,1.3342843751188505,1.336780355021217,1.335922682779717,1.334242911252815,1.3342843751188505,1.336780355021217
-15,1.3053609864356879,1.3039231312699506,1.3039125929367152,1.3059589462740147,1.3053609864356879,1.3039231312699506,1.3039125929367152,1.3059589462740147
-14,1.2747992900916585,1.2736033512870863,1.27354081075458,1.2751375375268124,1.2747992900916585,1.2736033512870863,1.27354081075458,1.2751375375268124
-13,1.2442375937476293,1.243283571304222,1.2431690285724448,1.24431612877961,1.2442375937476293,1.243283571304222,1.2431690285724448,1.24431612877961
-12,1.2136758974036,1.2129637913213578,1.2127972463903096,1.2134947200324078,1.2136758974036,1.2129637913213578,1.2127972463903096,1.2134947200324078
-11,1.1831142010595705,1.1826440113384935,1.1824254642081744,1.1826733112852055,1.1831142010595705,1.1826440113384935,1.1824254642081744,1.1826733112852055
-10,1.1525525047155414,1.1523242313556292,1.1520536820260392,1.151851902538003,1.1525525047155414,1.1523242313556292,1.1520536820260392,1.151851902538003
-9,1.121990808371512,1.122004451372765,1.121681899843904,1.1210304937908007,1.121990808371512,1.122004451372765,1.121681899843904,1.1210304937908007
-8,1.0914291120274826,1.0916846713899007,1.0913101176617688,1.0902090850435984,1.0914291120274826,1.0916846713899007,1.0913101176617688,1.0902090850435984
-7,1.0608674156834534,1.0613648914070364,1.0609383354796336,1.059387676296396,1.0608674156834534,1.0613648914070364,1.0609383354796336,1.059387676296396
-6,1.030305719339424,1.031045111424172,1.0305665532974984,1.0285662675491938,1.030305719339424,1.031045111424172,1.0305665532974984,1.0285662675491938
-5,0.9997440229953948,1.0007253314413078,1.0001947711153631,0.9977448588019915,0.9997440229953948,1.0007253314413078,1.0001947711153631,0.9977448588019915
-4,0.9691823266513655,0.9704055514584435,0.9698229889332278,0.9669234500547892,0.9691823266513655,0.9704055514584435,0.9698229889332278,0.9669234500547892
-3,0.9386206303073361,0.9400857714755793,0.9394512067510926,0.9361020413075868,0.9386206303073361,0.9400857714755793,0.9394512067510926,0.9361020413075868
-2,0.9080589339633068,0.909765991492715,0.9090794245689574,0.9052806325603845,0.9080589339633068,0.909765991492715,0.9090794245689574,0.9052806325603845
-1,0.8774972376192776,0.8794462115098507,0.8787076423868222,0.8744592238131822,0.8774972376192776,0.8794462115098507,0.8787076423868222,0.8744592238131822
0,0.8469355412752483,0.8491264315269864,0.848335860204687,0.8436378150659799,0.8469355412752483,0.8491264315269864,0.848335860204687,0.8436378150659799
1,0.816373844931219,0.8188066515441221,0.8179640780225518,0.8128164063187775,0.816373844931219,0.8188066515441221,0.8179640780225518,0.8128164063187775
2,0.7858121485871896,0.7884868715612579,0.7875922958404166,0.7819949975715752,0.7858121485871896,0.7884868715612579,0.7875922958404166,0.7819949975715752
3,0.7552504522431603,0.7581670915783936,0.7572205136582814,0.7511735888243729,0.7552504522431603,0.7581670915783936,0.7572205136582814,0.7511735888243729
4,0.7246887558991311,0.7278473115955293,0.726848731476146,0.7203521800771706,0.7246887558991311,0.7278473115955293,0.726848731476146,0.7203521800771706
5,0.6941270595551018,0.697527531612665,0.6964769492940108,0.6895307713299683,0.6941270595551018,0.697527531612665,0.6964769492940108,0.6895307713299683
6,0.6635653632110725,0.6672077516298007,0.6661051671118756,0.658709362582766,0.6635653632110725,0.6672077516298007,0.6661051671118756,0.658709362582766
7,0.6330036668670431,0.6368879716469364,0.6357333849297404,0.6278879538355636,0.6330036668670431,0.6368879716469364,0.6357333849297404,0.6278879538355636
8,0.6024419705230138,0.6065681916640722,0.6053616027476052,0.5970665450883613,0.6024419705230138,0.6065681916640722,0.6053616027476052,0.5970665450883613
9,0.5718802741789846,0.5762484116812079,0.57498982056547,0.566245136341159,0.5718802741789846,0.5762484116812079,0.57498982056547,0.566245136341159
10,0.5413185778349553,0.5459286316983436,0.5446180383833348,0.5354237275939567,0.5413185778349553,0.5459286316983436,0.5446180383833348,0.5354237275939567
