T_in,SWCV 122(H)(K)3 (3~400V),SWCV 122H1 (1~230V),WZSV 122(H)(K)3M,PWZSV 122H3S (3~400V),PWZSV 122H2S (3~230V),PWZSV 122H1S (1~230V),SWCV 162(H)(K)3,WZSV 162(H)(K)3M,PWZSV 162H3S,SWCV 62(H)(K)3,SWCV 62H1,WZSV 62(H)(K)3M,PWZSV 62H3S,PWZSV 62H2S,PWZSV 62H1S,SWCV 92(H)(K)3 (3~ 400V),SWCV 92H1 (1~ 230V),WZSV 92(H)(K)3M(3~ 400V),PWZSV 92H3S (3~ 400V),PWZSV 92H2S (3~ 230V),PWZSV 92H1S(1~ 230V),Buderus Logatherm WPS 22.2 HT,Buderus Logatherm WPS 28.2 HT,Buderus Logatherm WPS 38.2 HT,Buderus Logatherm WPS 48.2 HT,Buderus Logatherm WPS 54.2 HT,Buderus Logatherm WPS 64.2 HT,Buderus Logatherm WPS 72.2 HT,Buderus Logatherm WPS 80.2 HT,Buderus Logatherm WSW196i-12T 190,Buderus Logatherm WSW196i-12TS 185,WSW196i.2-12 T180 (+W) / 186-12 T180,WSW196i.2-12 (+W) / 186-12,WSW196i.2-16 T180 (+W) / 186-16 T180,WSW196i.2-16 (+W) / 186-16,WSW196i.2-6 T180 (+W) / 186-6 T180,WSW196i.2-6 (+W) / 186-6,WSW196i.2-8 T180 (+W) / 186-8 T180,WSW196i.2-8 (+W) / 186-8,Bosch Compress 7000 LW 22,Bosch Compress 7000 LW 28,Bosch Compress 7000 LW 38,Bosch Compress 7000 LW 48,Bosch Compress 7000 LW 54,Bosch Compress 7000 LW 64,Bosch Compress 7000 LW 72,Bosch Compress 7000 LW 80,CS7800iLW 12 M (+MF),CS7800iLW 12 (+F),CS7800iLW 16 M (+MF),CS7800iLW 16 (+F),CS7800iLW 6 M (+MF),CS7800iLW 6 (+F),CS7800iLW 8 M (+MF),CS7800iLW 8 (+F),Compress7000iLW12M,Compress7000iLW12MS,EGSAX10D9W(G) (1PH),EGSAX10D9W(G) (3PH),EGSAH10D9W (1PH),EGSAH10D9W (3PH),EGSAX06D9W(G) (1PH),EGSAX06D9W(G) (3PH),EGSAH06D9W (1PH),EGSAH06D9W (3PH),EGSQH10S18A9W,ecoGEO B1/C1 1-6 PRO,ecoGEO B3/C3 1-6 PRO,ECOGEO C1 T 1-9kW,ECOGEO C2 T 1-9kW,ECOGEO B1 T 1-9kW,ECOGEO B2 T 1-9kW,ECOGEO C1 1-9kW,ECOGEO C2 1-9kW,ECOGEO B1 1-9kW,ECOGEO B2 1-9kW,ECOGEO C1 T 3-12kW,ECOGEO C2 T 3-12kW,ECOGEO B1 T 3-12kW,ECOGEO B2 T 3-12kW,ECOGEO C1 3-12kW,ECOGEO C2 1 3-12kW,ECOGEO B1 3-12kW,ECOGEO B2 3-12kW,ECOGEO C1 T 5-22kW,ECOGEO C2 T 5-22kW,ECOGEO B1 T 5-22kW,ECOGEO B2 T 1 5-22kW,ECOGEO C1 5-22kW,ECOGEO C2 1 5-22kW,ECOGEO B1 5-22kW,ECOGEO B2 5-22kW,ECOGEO C3 T 1-9kW,ECOGEO C4 T 1-9kW,ECOGEO B3 T 1-9kW,ECOGEO B4 T 1-9kW,ECOGEO C3 1-9kW,ECOGEO C4 1-9kW,ECOGEO B3 1-9kW,ECOGEO B4 1-9kW,ECOGEO C3 T 3-12kW,ECOGEO C4 T 3-12kW,ECOGEO B3 T 3-12kW,ECOGEO B4 T 3-12kW,ECOGEO C3 3-12kW,ECOGEO C4 3-12kW,ECOGEO B3 3-12kW,ECOGEO B4 3-12kW,ECOGEO C3 T 5-22kW,ECOGEO C4 T 5-22kW,ECOGEO B3 T 5-22kW,ECOGEO B4 5-22kW,ECOGEO C3 5-22kW,ECOGEO C4 5-22kW,ECOGEO B3 5-22kW,ECOGEOB4 5-22kW,CTC GSi 12 1x230V,CTC GSi 12 3x400V,CTC EcoPart 612M 3x400V,CTC GSi 16 3x400V,CTC EcoPart 616M 3x400V,CTC GSi 608,CTC GSi 612 1x230V,CTC GSi 612,CTC EcoPart 612M,CTC GSi 616,CTC EcoPart 616M,CTC GSi 8,Star-6 inverter,Star-6 RST inverter,AquaMaster Inverter AQ17I,AquaMaster Inverter AQ22I,F1355-28,F1155-12 1x230,F1255-12 3x400,F1255-16,F1155-6 PC 1x230,F1155-6 3x400,S1155-25,S1255-12 3x400,S1255-12 1x230,S1155-12 3x400,S1255-16,S1255-6 PC 3x400,S1255-6 3x400,S1255-6 PC 1x230,S1255-6 1x230,S1155-6 PC 1x230,OCHSNER SWK007P8d,WPE-I 04 H(K)(W) Premium,WPE-I 06 H(K)(W) Premium,WPE-I 08 H(K)(W) Premium,WPE-I 12 H(K)(W) Premium,WPE-I 15 H(K) (W) 230 Premium,WPE-I 33H 400 Premium,WPE-I 44 H 400 Premium,WPE-I 59 H 400 Premium,WPE-I 87 H 400 Premium,"TTF 12.6 (cool), TTC 12.6 (cool)","TTF 15.6 (cool), TTC 15.6 (cool)",TTF 4.6 (cool) / TTC 4.6 (cool),TTF 6.6 (cool) / TTC 6.6 (cool),TTF 8.6 (cool) / TTC 8.6 (cool),Thermia Mega M 2020,Thermia Mega S 2020,Thermia Mega S,Thermia Mega S 3-230 2020,Thermia Mega XL 2020,ATLAS 12 DUO 400V,ATLAS 12 230V,ATLAS 18 DUO 400V,Thermia Calibra 12 400V,Thermia Calibra 7 400V,Thermia Calibra 7 230V,Thermia Calibra 7 Duo 230V,Thermia Calibra 7 400V (White),Thermia Calibra Cool 7 400V BW,VWF 118/4 35 & 55,VWF 117/4 35 & 55,VWF 157/4 35 & 55,VWF 197/4 35 & 55,VWF 58/4 35 & 55,VWF 57/4 35 & 55,VWF 87/4 35 & 55,VWF 88/4 35 & 55,VITOCAL 300-G BWC 301.C06,VITOCAL 300-G BWC 301.C06 SC,VITOCAL 333-G BWT 331.C06,VITOCAL 333-G BWT 331.C06 SC,VITOCAL 300-G BWC 301.C12,VITOCAL 300-G BWC 301.C12 SC,VITOCAL 333-G BWT 331.C12,VITOCAL 333-G BWT 331.C12 SC,VITOCAL 300-G BWC 301.C16,VITOCAL 300-G BWC 301.C16 SC
-20,2.0704943571018513,2.0704943571018513,2.0704943571018513,2.0704943571018513,2.0704943571018513,2.0704943571018513,1.8442088739051958,1.8442088739051958,1.8442088739051958,1.9660110256785321,1.9660110256785321,1.9660110256785321,1.9660110256785321,1.9660110256785321,1.9660110256785321,1.7416459394430441,1.7416459394430441,1.7416459394430441,1.7416459394430441,1.7416459394430441,1.7416459394430441,1.678637084718261,1.6053006539484558,1.6044397008649767,1.5690920607997758,1.6098680236908571,1.6149772734119279,1.658187289088977,1.6013100904072073,1.831463332634296,1.831463332634296,1.8334901326731101,1.8334901326731101,1.8009058853279398,1.8009058853279398,1.8239150170756837,1.8239150170756837,1.726644241522606,1.726644241522606,1.678637084718261,1.6053006539484558,1.6044397008649767,1.5690920607997758,1.6098680236908571,1.6149772734119279,1.658187289088977,1.6013100904072073,1.8334901326731101,1.8334901326731101,1.8009058853279398,1.8009058853279398,1.8239150170756837,1.8239150170756837,1.726644241522606,1.726644241522606,1.831463332634296,1.831463332634296,1.9567655847161558,1.9567655847161558,1.9567655847161558,1.9567655847161558,2.063171134310529,2.063171134310529,2.063171134310529,2.063171134310529,1.7764424039490336,1.6572336482917327,1.6572336482917327,1.9254666537777374,1.9254666537777374,1.9254666537777374,1.9254666537777374,1.9254666537777374,1.9254666537777374,1.9254666537777374,1.9254666537777374,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,2.0136007436264025,2.0136007436264025,2.0136007436264025,2.0136007436264025,2.0136007436264025,2.0136007436264025,2.0136007436264025,2.0136007436264025,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.9817701629468796,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,1.6213171841504597,2.3246734456570444,1.4495865347151944,1.4495865347151944,2.0029062242144873,2.0029062242144873,2.135004504514933,2.3246734456570444,1.4495865347151944,1.4495865347151944,2.0029062242144873,2.0029062242144873,2.135004504514933,1.831550239686175,1.831550239686175,1.7465765378373215,1.7193196838780969,2.038594431879023,2.011686884697924,2.011686884697924,1.7765396300143412,1.831550239686175,1.831550239686175,1.9609626644515465,2.011686884697924,2.011686884697924,2.011686884697924,1.7765396300143412,1.831550239686175,1.831550239686175,1.831550239686175,1.831550239686175,1.831550239686175,1.8833381758974213,1.705055762984442,1.7506137222131415,1.762350310954261,1.9084385420970718,1.8220982137732735,1.792591744840795,1.7790090700327974,1.7881495192796817,1.8059611894400351,1.9084385420970718,1.8220982137732735,1.705055762984442,1.7506137222131415,1.762350310954261,1.5943301162042756,1.5380373462325867,1.5380373462325867,1.5380373462325867,1.5008482617076806,1.6834323429128917,1.6834323429128917,1.829357350913693,1.6452673723266524,1.8833381758974213,1.8833381758974213,1.8833381758974213,1.8833381758974213,1.8833381758974213,1.6982275925192016,1.6982275925192016,1.6435303838845297,1.5438203662986583,1.707788869081567,1.707788869081567,1.6505940906427878,1.6505940906427878,2.029921389450948,2.029921389450948,2.029921389450948,2.029921389450948,1.933350134370182,1.933350134370182,1.933350134370182,1.933350134370182,2.3776796273346426,2.3776796273346426
-19,2.0322857899215294,2.0322857899215294,2.0322857899215294,2.0322857899215294,2.0322857899215294,2.0322857899215294,1.8079793655645062,1.8079793655645062,1.8079793655645062,1.9260228117197258,1.9260228117197258,1.9260228117197258,1.9260228117197258,1.9260228117197258,1.9260228117197258,1.6986472244111088,1.6986472244111088,1.6986472244111088,1.6986472244111088,1.6986472244111088,1.6986472244111088,1.6601753106827746,1.5846985580317845,1.5845573525658603,1.5492613672152158,1.5891545281775057,1.5942109524172279,1.6375347173189323,1.5801417024067759,1.7915027085034907,1.7915027085034907,1.793501125204846,1.793501125204846,1.7613714789981378,1.7613714789981378,1.7900864614420058,1.7900864614420058,1.6865481083514848,1.6865481083514848,1.6601753106827746,1.5846985580317845,1.5845573525658603,1.5492613672152158,1.5891545281775057,1.5942109524172279,1.6375347173189323,1.5801417024067759,1.793501125204846,1.793501125204846,1.7613714789981378,1.7613714789981378,1.7900864614420058,1.7900864614420058,1.6865481083514848,1.6865481083514848,1.7915027085034907,1.7915027085034907,1.9158783718535009,1.9158783718535009,1.9158783718535009,1.9158783718535009,2.025645880883284,2.025645880883284,2.025645880883284,2.025645880883284,1.7369390687336526,1.6145470504299646,1.6145470504299646,1.8847041209490407,1.8847041209490407,1.8847041209490407,1.8847041209490407,1.8847041209490407,1.8847041209490407,1.8847041209490407,1.8847041209490407,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.9724104497670178,1.9724104497670178,1.9724104497670178,1.9724104497670178,1.9724104497670178,1.9724104497670178,1.9724104497670178,1.9724104497670178,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.9422059688965985,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,1.5747495281113029,2.2884473311234066,1.4059438303621534,1.4059438303621534,1.9639856843742312,1.9639856843742312,2.1026888592434445,2.2884473311234066,1.4059438303621534,1.4059438303621534,1.9639856843742312,1.9639856843742312,2.1026888592434445,1.7938149814059727,1.7938149814059727,1.7065668482577865,1.6748594515085267,1.9950076130634957,1.9722551145149423,1.9722551145149423,1.7424160392399939,1.7938149814059727,1.7938149814059727,1.920866385318392,1.9722551145149423,1.9722551145149423,1.9722551145149423,1.7424160392399939,1.7938149814059727,1.7938149814059727,1.7938149814059727,1.7938149814059727,1.7938149814059727,1.8476707015088645,1.6684965441197446,1.7079850446543283,1.7183311574676485,1.8673873266537162,1.7779131741118184,1.7583921758376082,1.7416455286613821,1.7489952656149907,1.7661859499431134,1.8673873266537162,1.7779131741118184,1.6684965441197446,1.7079850446543283,1.7183311574676485,1.5702494548472528,1.5186387006204176,1.5186387006204176,1.5186387006204176,1.473861987761643,1.6564866796621187,1.6564866796621187,1.8057966068837519,1.6170640396827607,1.8476707015088645,1.8476707015088645,1.8476707015088645,1.8476707015088645,1.8476707015088645,1.7085590479202253,1.7085590479202253,1.6533228282951247,1.5519850106341386,1.7179866517365927,1.7179866517365927,1.6603676252623571,1.6603676252623571,1.9976443919198914,1.9976443919198914,1.9976443919198914,1.9976443919198914,1.8924313721013188,1.8924313721013188,1.8924313721013188,1.8924313721013188,2.3464135147593144,2.3464135147593144
-18,1.994077222741208,1.994077222741208,1.994077222741208,1.994077222741208,1.994077222741208,1.994077222741208,1.7717498572238166,1.7717498572238166,1.7717498572238166,1.8860345977609192,1.8860345977609192,1.8860345977609192,1.8860345977609192,1.8860345977609192,1.8860345977609192,1.6556485093791737,1.6556485093791737,1.6556485093791737,1.6556485093791737,1.6556485093791737,1.6556485093791737,1.641713536647288,1.5640964621151132,1.5646750042667439,1.5294306736306558,1.5684410326641545,1.5734446314225277,1.6168821455488875,1.5589733144063445,1.7515420843726854,1.7515420843726854,1.753512117736582,1.753512117736582,1.721837072668336,1.721837072668336,1.7562579058083279,1.7562579058083279,1.6464519751803637,1.6464519751803637,1.641713536647288,1.5640964621151132,1.5646750042667439,1.5294306736306558,1.5684410326641545,1.5734446314225277,1.6168821455488875,1.5589733144063445,1.753512117736582,1.753512117736582,1.721837072668336,1.721837072668336,1.7562579058083279,1.7562579058083279,1.6464519751803637,1.6464519751803637,1.7515420843726854,1.7515420843726854,1.8749911589908461,1.8749911589908461,1.8749911589908461,1.8749911589908461,1.9881206274560383,1.9881206274560383,1.9881206274560383,1.9881206274560383,1.697435733518271,1.5718604525681965,1.5718604525681965,1.8439415881203443,1.8439415881203443,1.8439415881203443,1.8439415881203443,1.8439415881203443,1.8439415881203443,1.8439415881203443,1.8439415881203443,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.9312201559076332,1.9312201559076332,1.9312201559076332,1.9312201559076332,1.9312201559076332,1.9312201559076332,1.9312201559076332,1.9312201559076332,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.9026417748463171,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,1.5281818720721458,2.2522212165897697,1.3623011260091127,1.3623011260091127,1.925065144533975,1.925065144533975,2.070373213971956,2.2522212165897697,1.3623011260091127,1.3623011260091127,1.925065144533975,1.925065144533975,2.070373213971956,1.7560797231257705,1.7560797231257705,1.6665571586782515,1.6303992191389565,1.9514207942479682,1.9328233443319607,1.9328233443319607,1.7082924484656463,1.7560797231257705,1.7560797231257705,1.880770106185237,1.9328233443319607,1.9328233443319607,1.9328233443319607,1.7082924484656463,1.7560797231257705,1.7560797231257705,1.7560797231257705,1.7560797231257705,1.7560797231257705,1.8120032271203075,1.631937325255047,1.6653563670955152,1.6743120039810357,1.8263361112103609,1.7337281344503632,1.7241926068344213,1.7042819872899668,1.7098410119503002,1.7264107104461917,1.8263361112103609,1.7337281344503632,1.631937325255047,1.6653563670955152,1.6743120039810357,1.5461687934902302,1.4992400550082483,1.4992400550082483,1.4992400550082483,1.4468757138156056,1.6295410164113457,1.6295410164113457,1.7822358628538109,1.588860707038869,1.8120032271203075,1.8120032271203075,1.8120032271203075,1.8120032271203075,1.8120032271203075,1.718890503321249,1.718890503321249,1.66311527270572,1.5601496549696185,1.7281844343916184,1.7281844343916184,1.6701411598819262,1.6701411598819262,1.9653673943888355,1.9653673943888355,1.9653673943888355,1.9653673943888355,1.8515126098324557,1.8515126098324557,1.8515126098324557,1.8515126098324557,2.315147402183986,2.315147402183986
-17,1.9558686555608862,1.9558686555608862,1.9558686555608862,1.9558686555608862,1.9558686555608862,1.9558686555608862,1.735520348883127,1.735520348883127,1.735520348883127,1.8460463838021128,1.8460463838021128,1.8460463838021128,1.8460463838021128,1.8460463838021128,1.8460463838021128,1.6126497943472387,1.6126497943472387,1.6126497943472387,1.6126497943472387,1.6126497943472387,1.6126497943472387,1.6232517626118013,1.543494366198442,1.5447926559676275,1.5095999800460955,1.5477275371508032,1.552678310427828,1.5962295737788423,1.5378049264059133,1.7115814602418804,1.7115814602418804,1.713523110268318,1.713523110268318,1.682302666338534,1.682302666338534,1.7224293501746497,1.7224293501746497,1.6063558420092423,1.6063558420092423,1.6232517626118013,1.543494366198442,1.5447926559676275,1.5095999800460955,1.5477275371508032,1.552678310427828,1.5962295737788423,1.5378049264059133,1.713523110268318,1.713523110268318,1.682302666338534,1.682302666338534,1.7224293501746497,1.7224293501746497,1.6063558420092423,1.6063558420092423,1.7115814602418804,1.7115814602418804,1.8341039461281914,1.8341039461281914,1.8341039461281914,1.8341039461281914,1.9505953740287931,1.9505953740287931,1.9505953740287931,1.9505953740287931,1.6579323983028895,1.5291738547064286,1.5291738547064286,1.8031790552916478,1.8031790552916478,1.8031790552916478,1.8031790552916478,1.8031790552916478,1.8031790552916478,1.8031790552916478,1.8031790552916478,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.8900298620482485,1.8900298620482485,1.8900298620482485,1.8900298620482485,1.8900298620482485,1.8900298620482485,1.8900298620482485,1.8900298620482485,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.8630775807960358,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,1.4816142160329888,2.215995102056133,1.318658421656072,1.318658421656072,1.886144604693719,1.886144604693719,2.038057568700468,2.215995102056133,1.318658421656072,1.318658421656072,1.886144604693719,1.886144604693719,2.038057568700468,1.7183444648455684,1.7183444648455684,1.6265474690987167,1.5859389867693863,1.907833975432441,1.893391574148979,1.893391574148979,1.674168857691299,1.7183444648455684,1.7183444648455684,1.8406738270520824,1.893391574148979,1.893391574148979,1.893391574148979,1.674168857691299,1.7183444648455684,1.7183444648455684,1.7183444648455684,1.7183444648455684,1.7183444648455684,1.7763357527317505,1.5953781063903496,1.6227276895367018,1.6302928504944232,1.7852848957670056,1.689543094788908,1.6899930378312344,1.6669184459185515,1.6706867582856093,1.6866354709492697,1.7852848957670056,1.689543094788908,1.5953781063903496,1.6227276895367018,1.6302928504944232,1.5220881321332076,1.4798414093960792,1.4798414093960792,1.4798414093960792,1.419889439869568,1.6025953531605728,1.6025953531605728,1.7586751188238698,1.5606573743949772,1.7763357527317505,1.7763357527317505,1.7763357527317505,1.7763357527317505,1.7763357527317505,1.7292219587222728,1.7292219587222728,1.672907717116315,1.5683142993050985,1.738382217046644,1.738382217046644,1.6799146945014953,1.6799146945014953,1.9330903968577795,1.9330903968577795,1.9330903968577795,1.9330903968577795,1.810593847563592,1.810593847563592,1.810593847563592,1.810593847563592,2.283881289608659,2.283881289608659
-16,1.9176600883805646,1.9176600883805646,1.9176600883805646,1.9176600883805646,1.9176600883805646,1.9176600883805646,1.6992908405424378,1.6992908405424378,1.6992908405424378,1.8060581698433062,1.8060581698433062,1.8060581698433062,1.8060581698433062,1.8060581698433062,1.8060581698433062,1.5696510793153033,1.5696510793153033,1.5696510793153033,1.5696510793153033,1.5696510793153033,1.5696510793153033,1.6047899885763146,1.5228922702817704,1.524910307668511,1.4897692864615355,1.5270140416374518,1.5319119894331277,1.5755770020087976,1.5166365384054818,1.6716208361110754,1.6716208361110754,1.6735341028000539,1.6735341028000539,1.642768260008732,1.642768260008732,1.6886007945409716,1.6886007945409716,1.566259708838121,1.566259708838121,1.6047899885763146,1.5228922702817704,1.524910307668511,1.4897692864615355,1.5270140416374518,1.5319119894331277,1.5755770020087976,1.5166365384054818,1.6735341028000539,1.6735341028000539,1.642768260008732,1.642768260008732,1.6886007945409716,1.6886007945409716,1.566259708838121,1.566259708838121,1.6716208361110754,1.6716208361110754,1.7932167332655364,1.7932167332655364,1.7932167332655364,1.7932167332655364,1.913070120601548,1.913070120601548,1.913070120601548,1.913070120601548,1.6184290630875084,1.4864872568446603,1.4864872568446603,1.7624165224629513,1.7624165224629513,1.7624165224629513,1.7624165224629513,1.7624165224629513,1.7624165224629513,1.7624165224629513,1.7624165224629513,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,1.8488395681888639,1.8488395681888639,1.8488395681888639,1.8488395681888639,1.8488395681888639,1.8488395681888639,1.8488395681888639,1.8488395681888639,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.8235133867457547,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,1.435046559993832,2.179768987522496,1.275015717303031,1.275015717303031,1.847224064853463,1.847224064853463,2.0057419234289795,2.179768987522496,1.275015717303031,1.275015717303031,1.847224064853463,1.847224064853463,2.0057419234289795,1.680609206565366,1.680609206565366,1.5865377795191817,1.541478754399816,1.8642471566169136,1.8539598039659975,1.8539598039659975,1.6400452669169516,1.680609206565366,1.680609206565366,1.8005775479189277,1.8539598039659975,1.8539598039659975,1.8539598039659975,1.6400452669169516,1.680609206565366,1.680609206565366,1.680609206565366,1.680609206565366,1.680609206565366,1.7406682783431937,1.5588188875256521,1.5800990119778884,1.5862736970078104,1.74423368032365,1.645358055127453,1.6557934688280476,1.6295549045471363,1.6315325046209184,1.6468602314523477,1.74423368032365,1.645358055127453,1.5588188875256521,1.5800990119778884,1.5862736970078104,1.498007470776185,1.46044276378391,1.46044276378391,1.46044276378391,1.3929031659235307,1.5756496899097998,1.5756496899097998,1.7351143747939288,1.5324540417510855,1.7406682783431937,1.7406682783431937,1.7406682783431937,1.7406682783431937,1.7406682783431937,1.7395534141232964,1.7395534141232964,1.6827001615269102,1.5764789436405788,1.7485799997016698,1.7485799997016698,1.6896882291210646,1.6896882291210646,1.9008133993267233,1.9008133993267233,1.9008133993267233,1.9008133993267233,1.769675085294729,1.769675085294729,1.769675085294729,1.769675085294729,2.2526151770333307,2.2526151770333307
-15,1.879451521200243,1.879451521200243,1.879451521200243,1.879451521200243,1.879451521200243,1.879451521200243,1.6630613322017482,1.6630613322017482,1.6630613322017482,1.7660699558844999,1.7660699558844999,1.7660699558844999,1.7660699558844999,1.7660699558844999,1.7660699558844999,1.526652364283368,1.526652364283368,1.526652364283368,1.526652364283368,1.526652364283368,1.526652364283368,1.5863282145408282,1.5022901743650992,1.5050279593693947,1.4699385928769755,1.5063005461241006,1.511145668438428,1.5549244302387528,1.4954681504050504,1.6316602119802701,1.6316602119802701,1.6335450953317898,1.6335450953317898,1.6032338536789301,1.6032338536789301,1.6547722389072936,1.6547722389072936,1.5261635756669996,1.5261635756669996,1.5863282145408282,1.5022901743650992,1.5050279593693947,1.4699385928769755,1.5063005461241006,1.511145668438428,1.5549244302387528,1.4954681504050504,1.6335450953317898,1.6335450953317898,1.6032338536789301,1.6032338536789301,1.6547722389072936,1.6547722389072936,1.5261635756669996,1.5261635756669996,1.6316602119802701,1.6316602119802701,1.7523295204028815,1.7523295204028815,1.7523295204028815,1.7523295204028815,1.8755448671743025,1.8755448671743025,1.8755448671743025,1.8755448671743025,1.578925727872127,1.4438006589828922,1.4438006589828922,1.7216539896342549,1.7216539896342549,1.7216539896342549,1.7216539896342549,1.7216539896342549,1.7216539896342549,1.7216539896342549,1.7216539896342549,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.8076492743294796,1.8076492743294796,1.8076492743294796,1.8076492743294796,1.8076492743294796,1.8076492743294796,1.8076492743294796,1.8076492743294796,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.7839491926954736,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,1.3884789039546752,2.143542872988858,1.23137301294999,1.23137301294999,1.8083035250132071,1.8083035250132071,1.9734262781574912,2.143542872988858,1.23137301294999,1.23137301294999,1.8083035250132071,1.8083035250132071,1.9734262781574912,1.6428739482851635,1.6428739482851635,1.5465280899396467,1.4970185220302459,1.8206603378013861,1.8145280337830159,1.8145280337830159,1.6059216761426043,1.6428739482851635,1.6428739482851635,1.7604812687857727,1.8145280337830159,1.8145280337830159,1.8145280337830159,1.6059216761426043,1.6428739482851635,1.6428739482851635,1.6428739482851635,1.6428739482851635,1.6428739482851635,1.705000803954637,1.5222596686609546,1.5374703344190752,1.5422545435211978,1.703182464880295,1.6011730154659978,1.6215938998248607,1.5921913631757212,1.5923782509562274,1.6070849919554258,1.703182464880295,1.6011730154659978,1.5222596686609546,1.5374703344190752,1.5422545435211978,1.4739268094191622,1.4410441181717408,1.4410441181717408,1.4410441181717408,1.365916891977493,1.548704026659027,1.548704026659027,1.7115536307639878,1.5042507091071937,1.705000803954637,1.705000803954637,1.705000803954637,1.705000803954637,1.705000803954637,1.74988486952432,1.74988486952432,1.6924926059375052,1.5846435879760588,1.7587777823566955,1.7587777823566955,1.6994617637406337,1.6994617637406337,1.8685364017956672,1.8685364017956672,1.8685364017956672,1.8685364017956672,1.7287563230258658,1.7287563230258658,1.7287563230258658,1.7287563230258658,2.2213490644580025,2.2213490644580025
