T_in,LW 101,LW 101A,LW 121,LW 121A,LW 140 (L),LW 140A,LWC 100,LWC 120,LWC 60,LWC 80,LWD 50A-HMD,LWD 50A-HTD,LWD 50A/RX-HMD,LWD 50A/SX-HMD,LWD 50A/SX-HTD S,LWD 70A-HMD,LWD 70A-HTD,LWD 70A/RX-HMD,LWD 70A/RX-HTD,LWD 70A/SX-HMD,LWD 70A/SX-HTD S,LWD 90A-HMD,LWD 90A-HTD,AEROTOP T20,AEROTOP T20R,AEROTOP T26,AEROTOP T26R,AEROTOP T32,AEROTOP T32R,AEROTOP T35,AEROTOP T35R,CTC EcoAir 406 1x230V,CTC EcoAir 406 3x400V,CTC EcoAir 408 1x230V,CTC EcoAir 408 3x400V,CTC EcoAir 410 1x230V,CTC EcoAir 410 3x400V,CTC EcoAir 415 1x230V,CTC EcoAir 415 3x400V,CTC EcoAir 420 3x400V,F370 1x230,F370 3x400,F470 1x230,F470 3x400
-20,1.4610178942568943,1.4610178942568943,1.4931724350104465,1.4931724350104465,1.5545360380067104,1.5545360380067104,1.4010807346434708,1.4540293574842649,1.4148349136562464,1.4766729921650579,1.501374839682605,1.501374839682605,1.2940293990297285,1.2850089598533696,1.2850089598533696,1.4492476595942023,1.4492476595942023,1.3250764558412724,1.3250764558412724,1.2084636797778439,1.2084636797778439,1.3943631856142251,1.3943631856142251,1.179702375573848,1.179702375573848,1.3997313310567712,1.3997313310567712,1.4535779139086427,1.4535779139086427,1.3583260858018076,1.3583260858018076,1.3421438633293432,1.3421438633293432,1.3571610366899982,1.3571610366899982,1.3311323214189779,1.3311323214189779,1.2425874566682733,1.2425874566682733,1.2206954791038735,1.1905233702964018,1.1905233702964018,1.1905233702964018,1.1905233702964018
-19,1.4621064576051297,1.4621064576051297,1.4944928576448138,1.4944928576448138,1.5517828968806002,1.5517828968806002,1.4042743283083254,1.4542810168461087,1.4178389477337763,1.4763152627020018,1.5029788695220556,1.5029788695220556,1.2995500753627718,1.285638203416335,1.285638203416335,1.45177839401176,1.45177839401176,1.3280748443078418,1.3280748443078418,1.2112528959511364,1.2112528959511364,1.3964622276360334,1.3964622276360334,1.1853908881304651,1.1853908881304651,1.4014640299669912,1.4014640299669912,1.4573866837032785,1.4573866837032785,1.366985788250191,1.366985788250191,1.354753138867458,1.354753138867458,1.367151145155266,1.367151145155266,1.34063520344068,1.34063520344068,1.253352401595555,1.253352401595555,1.2332786525341848,1.1974925722417664,1.1974925722417664,1.1974925722417664,1.1974925722417664
-18,1.4631950209533646,1.4631950209533646,1.4958132802791808,1.4958132802791808,1.54902975575449,1.54902975575449,1.4074679219731805,1.4545326762079522,1.4208429818113062,1.4759575332389454,1.5045828993615062,1.5045828993615062,1.305070751695815,1.2862674469793003,1.2862674469793003,1.4543091284293175,1.4543091284293175,1.3310732327744115,1.3310732327744115,1.2140421121244287,1.2140421121244287,1.3985612696578418,1.3985612696578418,1.1910794006870824,1.1910794006870824,1.4031967288772111,1.4031967288772111,1.4611954534979144,1.4611954534979144,1.3756454906985744,1.3756454906985744,1.367362414405573,1.367362414405573,1.3771412536205336,1.3771412536205336,1.3501380854623823,1.3501380854623823,1.2641173465228372,1.2641173465228372,1.245861825964496,1.204461774187131,1.204461774187131,1.204461774187131,1.204461774187131
-17,1.4642835843016,1.4642835843016,1.497133702913548,1.497133702913548,1.54627661462838,1.54627661462838,1.410661515638035,1.454784335569796,1.4238470158888363,1.4755998037758893,1.5061869292009569,1.5061869292009569,1.3105914280288586,1.2868966905422656,1.2868966905422656,1.456839862846875,1.456839862846875,1.334071621240981,1.334071621240981,1.216831328297721,1.216831328297721,1.40066031167965,1.40066031167965,1.1967679132436995,1.1967679132436995,1.4049294277874311,1.4049294277874311,1.46500422329255,1.46500422329255,1.3843051931469579,1.3843051931469579,1.3799716899436878,1.3799716899436878,1.3871313620858015,1.3871313620858015,1.3596409674840846,1.3596409674840846,1.2748822914501192,1.2748822914501192,1.2584449993948073,1.2114309761324955,1.2114309761324955,1.2114309761324955,1.2114309761324955
-16,1.4653721476498354,1.4653721476498354,1.4984541255479153,1.4984541255479153,1.5435234735022696,1.5435234735022696,1.41385510930289,1.4550359949316398,1.4268510499663662,1.4752420743128332,1.5077909590404075,1.5077909590404075,1.316112104361902,1.287525934105231,1.287525934105231,1.4593705972644326,1.4593705972644326,1.3370700097075507,1.3370700097075507,1.2196205444710135,1.2196205444710135,1.4027593537014584,1.4027593537014584,1.2024564258003165,1.2024564258003165,1.4066621266976511,1.4066621266976511,1.4688129930871858,1.4688129930871858,1.3929648955953413,1.3929648955953413,1.3925809654818024,1.3925809654818024,1.397121470551069,1.397121470551069,1.3691438495057868,1.3691438495057868,1.2856472363774012,1.2856472363774012,1.2710281728251185,1.2184001780778602,1.2184001780778602,1.2184001780778602,1.2184001780778602
-15,1.4664607109980707,1.4664607109980707,1.4997745481822824,1.4997745481822824,1.5407703323761595,1.5407703323761595,1.4170487029677448,1.4552876542934836,1.4298550840438962,1.4748843448497768,1.5093949888798581,1.5093949888798581,1.3216327806949453,1.2881551776681963,1.2881551776681963,1.4619013316819902,1.4619013316819902,1.3400683981741204,1.3400683981741204,1.222409760644306,1.222409760644306,1.404858395723267,1.404858395723267,1.2081449383569336,1.2081449383569336,1.4083948256078709,1.4083948256078709,1.4726217628818217,1.4726217628818217,1.4016245980437247,1.4016245980437247,1.4051902410199173,1.4051902410199173,1.4071115790163369,1.4071115790163369,1.378646731527489,1.378646731527489,1.2964121813046834,1.2964121813046834,1.2836113462554297,1.2253693800232246,1.2253693800232246,1.2253693800232246,1.2253693800232246
-14,1.467549274346306,1.467549274346306,1.5010949708166497,1.5010949708166497,1.5380171912500493,1.5380171912500493,1.4202422966325994,1.4555393136553274,1.432859118121426,1.4745266153867207,1.5109990187193088,1.5109990187193088,1.3271534570279888,1.2887844212311617,1.2887844212311617,1.4644320660995478,1.4644320660995478,1.34306678664069,1.34306678664069,1.2251989768175984,1.2251989768175984,1.4069574377450753,1.4069574377450753,1.2138334509135507,1.2138334509135507,1.4101275245180909,1.4101275245180909,1.4764305326764575,1.4764305326764575,1.4102843004921082,1.4102843004921082,1.4177995165580322,1.4177995165580322,1.4171016874816045,1.4171016874816045,1.3881496135491913,1.3881496135491913,1.3071771262319654,1.3071771262319654,1.296194519685741,1.2323385819685893,1.2323385819685893,1.2323385819685893,1.2323385819685893
-13,1.4686378376945415,1.4686378376945415,1.502415393451017,1.502415393451017,1.5352640501239392,1.5352640501239392,1.4234358902974542,1.455790973017171,1.435863152198956,1.4741688859236646,1.5126030485587594,1.5126030485587594,1.3326741333610321,1.289413664794127,1.289413664794127,1.4669628005171054,1.4669628005171054,1.3460651751072596,1.3460651751072596,1.2279881929908907,1.2279881929908907,1.4090564797668836,1.4090564797668836,1.219521963470168,1.219521963470168,1.4118602234283109,1.4118602234283109,1.4802393024710934,1.4802393024710934,1.4189440029404916,1.4189440029404916,1.4304087920961468,1.4304087920961468,1.427091795946872,1.427091795946872,1.3976524955708935,1.3976524955708935,1.3179420711592473,1.3179420711592473,1.3087776931160522,1.239307783913954,1.239307783913954,1.239307783913954,1.239307783913954
-12,1.4697264010427764,1.4697264010427764,1.503735816085384,1.503735816085384,1.532510908997829,1.532510908997829,1.426629483962309,1.4560426323790148,1.4388671862764861,1.4738111564606085,1.51420707839821,1.51420707839821,1.3381948096940754,1.2900429083570923,1.2900429083570923,1.469493534934663,1.469493534934663,1.349063563573829,1.349063563573829,1.2307774091641832,1.2307774091641832,1.411155521788692,1.411155521788692,1.225210476026785,1.225210476026785,1.4135929223385308,1.4135929223385308,1.4840480722657292,1.4840480722657292,1.427603705388875,1.427603705388875,1.4430180676342617,1.4430180676342617,1.43708190441214,1.43708190441214,1.407155377592596,1.407155377592596,1.3287070160865295,1.3287070160865295,1.3213608665463634,1.2462769858593183,1.2462769858593183,1.2462769858593183,1.2462769858593183
-11,1.4708149643910118,1.4708149643910118,1.5050562387197512,1.5050562387197512,1.529757767871719,1.529757767871719,1.4298230776271637,1.4562942917408586,1.441871220354016,1.473453426997552,1.5158111082376606,1.5158111082376606,1.343715486027119,1.2906721519200577,1.2906721519200577,1.4720242693522205,1.4720242693522205,1.352061952040399,1.352061952040399,1.2335666253374755,1.2335666253374755,1.4132545638105003,1.4132545638105003,1.230898988583402,1.230898988583402,1.4153256212487508,1.4153256212487508,1.487856842060365,1.487856842060365,1.4362634078372585,1.4362634078372585,1.4556273431723765,1.4556273431723765,1.4470720128774075,1.4470720128774075,1.4166582596142983,1.4166582596142983,1.3394719610138115,1.3394719610138115,1.3339440399766747,1.253246187804683,1.253246187804683,1.253246187804683,1.253246187804683
