T_in,Star-12 inverter,Star-12 RST inverter,Star-16 inverter,Star-16 RST inverter,F1355-43,F1155-12 3x400,F1255-12 1x230,F1155-16,F1155-6 1x230,F1155-6 PC3x400,F1255-6 1x230,F1255-6 PC 1x230,F1255-6 3x400,F1255-6 PC 3x400,S1155-12 1x230,S1155-16,S1155-6 PC 3x400,S1155-6 3x400,S1155-6 1x230,Thermia Mega L 2020,Thermia Mega L,Thermia Mega M,Thermia Mega M 230,Thermia Mega M 3-230 2020,Thermia Mega S 230,Thermia Mega XL,ATLAS 12 400V,ATLAS 12 DUO 230V,ATLAS 18 400V,Thermia Calibra 12 Duo 400V,Thermia Calibra 12 230V,Thermia Calibra 12 Duo 230V,Thermia Calibra 12 400V (White),Thermia Calibra 7 Duo 400V,Thermia Calibra Cool 7 400V WW
-20,2.003143484154622,2.003143484154622,1.7765396300143412,1.7765396300143412,1.9277981253573393,2.011686884697924,2.011686884697924,1.7765396300143412,1.831550239686175,1.831550239686175,1.831550239686175,1.831550239686175,1.831550239686175,1.831550239686175,2.011686884697924,1.7765396300143412,1.831550239686175,1.831550239686175,1.831550239686175,1.494988414194149,1.494988414194149,1.5943301162042756,1.5943301162042756,1.5943301162042756,1.5380373462325867,1.5008482617076806,1.6834323429128917,1.6834323429128917,1.829357350913693,1.6452673723266524,1.6452673723266524,1.6452673723266524,1.6452673723266524,1.8833381758974213,1.8833381758974213
-19,1.963349882728806,1.963349882728806,1.7424160392399939,1.7424160392399939,1.8806715372064136,1.9722551145149423,1.9722551145149423,1.7424160392399939,1.7938149814059727,1.7938149814059727,1.7938149814059727,1.7938149814059727,1.7938149814059727,1.7938149814059727,1.9722551145149423,1.7424160392399939,1.7938149814059727,1.7938149814059727,1.7938149814059727,1.4653220337279107,1.4653220337279107,1.5702494548472528,1.5702494548472528,1.5702494548472528,1.5186387006204176,1.473861987761643,1.6564866796621187,1.6564866796621187,1.8057966068837519,1.6170640396827607,1.6170640396827607,1.6170640396827607,1.6170640396827607,1.8476707015088645,1.8476707015088645
-18,1.9235562813029903,1.9235562813029903,1.7082924484656463,1.7082924484656463,1.8335449490554874,1.9328233443319607,1.9328233443319607,1.7082924484656463,1.7560797231257705,1.7560797231257705,1.7560797231257705,1.7560797231257705,1.7560797231257705,1.7560797231257705,1.9328233443319607,1.7082924484656463,1.7560797231257705,1.7560797231257705,1.7560797231257705,1.435655653261672,1.435655653261672,1.5461687934902302,1.5461687934902302,1.5461687934902302,1.4992400550082483,1.4468757138156056,1.6295410164113457,1.6295410164113457,1.7822358628538109,1.588860707038869,1.588860707038869,1.588860707038869,1.588860707038869,1.8120032271203075,1.8120032271203075
-17,1.883762679877174,1.883762679877174,1.674168857691299,1.674168857691299,1.7864183609045616,1.893391574148979,1.893391574148979,1.674168857691299,1.7183444648455684,1.7183444648455684,1.7183444648455684,1.7183444648455684,1.7183444648455684,1.7183444648455684,1.893391574148979,1.674168857691299,1.7183444648455684,1.7183444648455684,1.7183444648455684,1.4059892727954335,1.4059892727954335,1.5220881321332076,1.5220881321332076,1.5220881321332076,1.4798414093960792,1.419889439869568,1.6025953531605728,1.6025953531605728,1.7586751188238698,1.5606573743949772,1.5606573743949772,1.5606573743949772,1.5606573743949772,1.7763357527317505,1.7763357527317505
-16,1.8439690784513583,1.8439690784513583,1.6400452669169516,1.6400452669169516,1.739291772753636,1.8539598039659975,1.8539598039659975,1.6400452669169516,1.680609206565366,1.680609206565366,1.680609206565366,1.680609206565366,1.680609206565366,1.680609206565366,1.8539598039659975,1.6400452669169516,1.680609206565366,1.680609206565366,1.680609206565366,1.376322892329195,1.376322892329195,1.498007470776185,1.498007470776185,1.498007470776185,1.46044276378391,1.3929031659235307,1.5756496899097998,1.5756496899097998,1.7351143747939288,1.5324540417510855,1.5324540417510855,1.5324540417510855,1.5324540417510855,1.7406682783431937,1.7406682783431937
-15,1.8041754770255425,1.8041754770255425,1.6059216761426043,1.6059216761426043,1.6921651846027097,1.8145280337830159,1.8145280337830159,1.6059216761426043,1.6428739482851635,1.6428739482851635,1.6428739482851635,1.6428739482851635,1.6428739482851635,1.6428739482851635,1.8145280337830159,1.6059216761426043,1.6428739482851635,1.6428739482851635,1.6428739482851635,1.3466565118629563,1.3466565118629563,1.4739268094191622,1.4739268094191622,1.4739268094191622,1.4410441181717408,1.365916891977493,1.548704026659027,1.548704026659027,1.7115536307639878,1.5042507091071937,1.5042507091071937,1.5042507091071937,1.5042507091071937,1.705000803954637,1.705000803954637
-14,1.7643818755997267,1.7643818755997267,1.571798085368257,1.571798085368257,1.645038596451784,1.7750962636000343,1.7750962636000343,1.571798085368257,1.6051386900049613,1.6051386900049613,1.6051386900049613,1.6051386900049613,1.6051386900049613,1.6051386900049613,1.7750962636000343,1.571798085368257,1.6051386900049613,1.6051386900049613,1.6051386900049613,1.3169901313967178,1.3169901313967178,1.4498461480621396,1.4498461480621396,1.4498461480621396,1.4216454725595715,1.3389306180314557,1.521758363408254,1.521758363408254,1.6879928867340468,1.476047376463302,1.476047376463302,1.476047376463302,1.476047376463302,1.66933332956608,1.66933332956608
-13,1.724588274173911,1.724588274173911,1.5376744945939094,1.5376744945939094,1.5979120083008582,1.7356644934170526,1.7356644934170526,1.5376744945939094,1.5674034317247592,1.5674034317247592,1.5674034317247592,1.5674034317247592,1.5674034317247592,1.5674034317247592,1.7356644934170526,1.5376744945939094,1.5674034317247592,1.5674034317247592,1.5674034317247592,1.2873237509304793,1.2873237509304793,1.425765486705117,1.425765486705117,1.425765486705117,1.4022468269474024,1.3119443440854182,1.4948127001574811,1.4948127001574811,1.6644321427041058,1.4478440438194105,1.4478440438194105,1.4478440438194105,1.4478440438194105,1.633665855177523,1.633665855177523
-12,1.6847946727480951,1.6847946727480951,1.503550903819562,1.503550903819562,1.550785420149932,1.696232723234071,1.696232723234071,1.503550903819562,1.529668173444557,1.529668173444557,1.529668173444557,1.529668173444557,1.529668173444557,1.529668173444557,1.696232723234071,1.503550903819562,1.529668173444557,1.529668173444557,1.529668173444557,1.2576573704642409,1.2576573704642409,1.4016848253480945,1.4016848253480945,1.4016848253480945,1.3828481813352334,1.2849580701393808,1.4678670369067084,1.4678670369067084,1.6408713986741648,1.4196407111755187,1.4196407111755187,1.4196407111755187,1.4196407111755187,1.5979983807889662,1.5979983807889662
-11,1.6450010713222794,1.6450010713222794,1.4694273130452145,1.4694273130452145,1.5036588319990063,1.6568009530510894,1.6568009530510894,1.4694273130452145,1.4919329151643548,1.4919329151643548,1.4919329151643548,1.4919329151643548,1.4919329151643548,1.4919329151643548,1.6568009530510894,1.4694273130452145,1.4919329151643548,1.4919329151643548,1.4919329151643548,1.2279909899980024,1.2279909899980024,1.3776041639910719,1.3776041639910719,1.3776041639910719,1.363449535723064,1.2579717961933432,1.4409213736559354,1.4409213736559354,1.617310654644224,1.391437378531627,1.391437378531627,1.391437378531627,1.391437378531627,1.5623309064004094,1.5623309064004094
