T_in,WWC 100H/X,WWC 130H/X,WWC 160H/X,WWC 190H/X,WWC 220H/X,AQUATOP S08,AQUATOP S11,AQUATOP T28H,AQUATOP T43H,ATLANTIC GEOLIA 10,ATLANTIC GEOLIA 13,ATLANTIC GEOLIA 17,ATLANTIC GEOLIA 5,ATLANTIC GEOLIA 7
-10,0.989450638641457,0.9901349285903622,0.9934891344126748,0.9881700146013942,0.9989480814786247,1.0601895839876345,1.110902883767145,1.137078643062333,1.1308994476195489,1.001522540031221,1.005555284163063,1.0011959029758655,1.0196491127919687,1.0067520853051901
-9,0.9896585504732521,0.9903275925968853,0.9930509224323846,0.9883811144990882,0.9982621978458633,1.0647432697193002,1.1117750280601089,1.137974891333616,1.1350559021090705,1.0001712489244274,1.002639901254808,1.0000871602613188,1.0168977998524038,1.0044965052156445
-8,0.9898664623050473,0.9905202566034084,0.9926127104520944,0.9885922143967821,0.9975763142131019,1.069296955450966,1.1126471723530724,1.138871139604899,1.139212356598592,0.9988199578176337,0.9997245183465527,0.9989784175467722,1.014146486912839,1.0022409251260989
-7,0.9900743741368425,0.9907129206099314,0.9921744984718043,0.9888033142944761,0.9968904305803405,1.0738506411826316,1.1135193166460362,1.1397673878761818,1.1433688110881137,0.99746866671084,0.9968091354382975,0.9978696748322256,1.0113951739732743,0.9999853450365532
-6,0.9902822859686377,0.9909055846164546,0.9917362864915141,0.9890144141921701,0.9962045469475791,1.0784043269142976,1.1143914609389998,1.140663636147465,1.1475252655776353,0.9961173756040462,0.9938937525300424,0.9967609321176789,1.0086438610337094,0.9977297649470076
-5,0.9904901978004328,0.9910982486229777,0.991298074511224,0.989225514089864,0.9955186633148176,1.0829580126459633,1.1152636052319633,1.1415598844187478,1.151681720067157,0.9947660844972526,0.9909783696217873,0.9956521894031323,1.0058925480941445,0.995474184857462
-4,0.990698109632228,0.9912909126295008,0.9908598625309338,0.9894366139875581,0.9948327796820562,1.087511698377629,1.1161357495249271,1.1424561326900309,1.1558381745566786,0.9934147933904589,0.9880629867135322,0.9945434466885856,1.0031412351545796,0.9932186047679163
-3,0.9909060214640233,0.9914835766360239,0.9904216505506437,0.989647713885252,0.9941468960492948,1.0920653841092947,1.1170078938178907,1.1433523809613138,1.1599946290462002,0.9920635022836652,0.9851476038052771,0.993434703974039,1.0003899222150148,0.9909630246783707
-2,0.9911139332958184,0.991676240642547,0.9899834385703535,0.989858813782946,0.9934610124165334,1.0966190698409606,1.1178800381108542,1.1442486292325968,1.1641510835357218,0.9907122111768716,0.982232220897022,0.9923259612594925,0.9976386092754499,0.9887074445888251
-1,0.9913218451276136,0.9918689046490701,0.9895452265900634,0.99006991368064,0.992775128783772,1.1011727555726263,1.118752182403818,1.1451448775038797,1.1683075380252435,0.9893609200700778,0.9793168379887668,0.9912172185449458,0.994887296335885,0.9864518644992794
0,0.9915297569594088,0.9920615686555931,0.9891070146097732,0.990281013578334,0.9920892451510106,1.105726441304292,1.1196243266967816,1.1460411257751628,1.172463992514765,0.9880096289632841,0.9764014550805117,0.9901084758303992,0.9921359833963201,0.9841962844097337
1,0.991737668791204,0.9922542326621162,0.9886688026294831,0.990492113476028,0.9914033615182491,1.1102801270359577,1.1204964709897451,1.1469373740464457,1.1766204470042867,0.9866583378564904,0.9734860721722566,0.9889997331158525,0.9893846704567553,0.9819407043201881
2,0.9919455806229991,0.9924468966686394,0.9882305906491928,0.9907032133737219,0.9907174778854878,1.1148338127676236,1.121368615282709,1.1478336223177288,1.1807769014938083,0.9853070467496967,0.9705706892640014,0.9878909904013059,0.9866333575171904,0.9796851242306424
3,0.9921534924547943,0.9926395606751625,0.9877923786689027,0.9909143132714159,0.9900315942527264,1.1193874984992893,1.1222407595756725,1.1487298705890117,1.1849333559833302,0.983955755642903,0.9676553063557463,0.9867822476867594,0.9838820445776255,0.9774295441410967
4,0.9923614042865896,0.9928322246816855,0.9873541666886125,0.9911254131691098,0.989345710619965,1.123941184230955,1.1231129038686363,1.1496261188602948,1.1890898104728518,0.9826044645361094,0.9647399234474912,0.9856735049722127,0.9811307316380606,0.9751739640515511
5,0.9925693161183847,0.9930248886882087,0.9869159547083224,0.9913365130668038,0.9886598269872036,1.1284948699626207,1.1239850481615998,1.1505223671315776,1.1932462649623734,0.9812531734293156,0.961824540539236,0.9845647622576661,0.9783794186984958,0.9729183839620055
6,0.9927772279501799,0.9932175526947318,0.9864777427280322,0.9915476129644978,0.9879739433544421,1.1330485556942866,1.1248571924545634,1.1514186154028607,1.197402719451895,0.979901882322522,0.958909157630981,0.9834560195431195,0.9756281057589309,0.9706628038724598
7,0.9929851397819751,0.9934102167012548,0.9860395307477421,0.9917587128621917,0.9872880597216807,1.1376022414259523,1.1257293367475272,1.1523148636741436,1.2015591739414166,0.9785505912157282,0.9559937747227258,0.9823472768285728,0.972876792819366,0.9684072237829142
8,0.9931930516137703,0.9936028807077779,0.9856013187674519,0.9919698127598857,0.9866021760889193,1.142155927157618,1.1266014810404907,1.1532111119454265,1.2057156284309383,0.9771993001089345,0.9530783918144706,0.9812385341140262,0.9701254798798012,0.9661516436933686
9,0.9934009634455654,0.993795544714301,0.9851631067871618,0.9921809126575798,0.9859162924561579,1.1467096128892837,1.1274736253334543,1.1541073602167096,1.20987208292046,0.9758480090021409,0.9501630089062155,0.9801297913994795,0.9673741669402364,0.9638960636038229
10,0.9936088752773606,0.9939882087208242,0.9847248948068716,0.9923920125552737,0.9852304088233965,1.1512632986209494,1.128345769626418,1.1550036084879924,1.2140285374099815,0.9744967178953472,0.9472476259979603,0.9790210486849329,0.9646228540006715,0.9616404835142772
11,0.9938167871091559,0.9941808727273472,0.9842866828265815,0.9926031124529677,0.9845445251906351,1.1558169843526154,1.1292179139193816,1.1558998567592755,1.2181849918995031,0.9731454267885534,0.9443322430897052,0.9779123059703863,0.9618715410611066,0.9593849034247316
12,0.994024698940951,0.9943735367338703,0.9838484708462913,0.9928142123506617,0.9838586415578736,1.160370670084281,1.1300900582123452,1.1567961050305584,1.2223414463890248,0.9717941356817598,0.9414168601814501,0.9768035632558397,0.9591202281215417,0.957129323335186
13,0.9942326107727462,0.9945662007403935,0.9834102588660012,0.9930253122483557,0.9831727579251123,1.1649243558159468,1.130962202505309,1.1576923533018415,1.2264979008785464,0.9704428445749661,0.938501477273195,0.9756948205412931,0.956368915181977,0.9548737432456402
14,0.9944405226045414,0.9947588647469165,0.982972046885711,0.9932364121460496,0.9824868742923508,1.1694780415476125,1.1318343467982726,1.1585886015731244,1.230654355368068,0.9690915534681723,0.9355860943649399,0.9745860778267464,0.9536176022424121,0.9526181631560946
15,0.9946484344363365,0.9949515287534396,0.9825338349054209,0.9934475120437436,0.9818009906595895,1.1740317272792784,1.1327064910912363,1.1594848498444075,1.2348108098575896,0.9677402623613787,0.9326707114566848,0.9734773351121998,0.9508662893028472,0.950362583066549
16,0.9948563462681317,0.9951441927599627,0.9820956229251308,0.9936586119414376,0.981115107026828,1.178585413010944,1.1335786353842,1.1603810981156903,1.2389672643471115,0.966388971254585,0.9297553285484297,0.9723685923976532,0.9481149763632823,0.9481070029770033
17,0.9950642580999269,0.9953368567664858,0.9816574109448406,0.9938697118391315,0.9804292233940666,1.1831390987426098,1.1344507796771635,1.1612773463869734,1.243123718836633,0.9650376801477913,0.9268399456401745,0.9712598496831066,0.9453636634237175,0.9458514228874577
18,0.9952721699317222,0.9955295207730089,0.9812191989645505,0.9940808117368255,0.9797433397613051,1.1876927844742755,1.1353229239701272,1.1621735946582563,1.2472801733261547,0.9636863890409976,0.9239245627319194,0.97015110696856,0.9426123504841526,0.9435958427979121
19,0.9954800817635173,0.995722184779532,0.9807809869842603,0.9942919116345195,0.9790574561285438,1.1922464702059414,1.1361950682630908,1.1630698429295394,1.2514366278156763,0.9623350979342039,0.9210091798236641,0.9690423642540134,0.9398610375445877,0.9413402627083665
20,0.9956879935953125,0.9959148487860551,0.9803427750039702,0.9945030115322134,0.9783715724957823,1.1968001559376071,1.1370672125560544,1.1639660912008223,1.255593082305198,0.9609838068274101,0.918093796915409,0.9679336215394667,0.9371097246050228,0.9390846826188207
21,0.9958959054271077,0.9961075127925783,0.9799045630236799,0.9947141114299074,0.977685688863021,1.2013538416692728,1.1379393568490181,1.1648623394721054,1.2597495367947196,0.9596325157206165,0.9151784140071539,0.9668248788249201,0.934358411665458,0.9368291025292751
22,0.9961038172589028,0.9963001767991013,0.9794663510433897,0.9949252113276015,0.9769998052302595,1.2059075274009385,1.1388115011419817,1.1657585877433883,1.2639059912842412,0.9582812246138228,0.9122630310988988,0.9657161361103734,0.9316070987258931,0.9345735224397295
23,0.996311729090698,0.9964928408056244,0.9790281390630996,0.9951363112252953,0.9763139215974981,1.2104612131326045,1.1396836454349453,1.1666548360146711,1.2680624457737628,0.9569299335070292,0.9093476481906437,0.9646073933958268,0.9288557857863282,0.9323179423501837
24,0.9965196409224932,0.9966855048121475,0.9785899270828095,0.9953474111229894,0.9756280379647367,1.2150148988642702,1.140555789727909,1.1675510842859542,1.2722189002632844,0.9555786424002354,0.9064322652823886,0.9634986506812802,0.9261044728467633,0.9300623622606381
25,0.9967275527542885,0.9968781688186705,0.9781517151025193,0.9955585110206834,0.9749421543319753,1.2195685845959359,1.1414279340208726,1.168447332557237,1.276375354752806,0.9542273512934417,0.9035168823741334,0.9623899079667335,0.9233531599071986,0.9278067821710925
26,0.9969354645860836,0.9970708328251936,0.9777135031222292,0.9957696109183773,0.9742562706992139,1.2241222703276016,1.1423000783138364,1.1693435808285202,1.2805318092423277,0.9528760601866479,0.9006014994658783,0.961281165252187,0.9206018469676337,0.9255512020815468
27,0.9971433764178788,0.9972634968317168,0.977275291141939,0.9959807108160713,0.9735703870664525,1.2286759560592673,1.1431722226068,1.170239829099803,1.2846882637318493,0.9515247690798543,0.8976861165576232,0.9601724225376403,0.9178505340280688,0.9232956219920012
28,0.997351288249674,0.9974561608382398,0.9768370791616489,0.9961918107137653,0.972884503433691,1.2332296417909332,1.1440443668997635,1.1711360773710862,1.288844718221371,0.9501734779730606,0.894770733649368,0.9590636798230937,0.915099221088504,0.9210400419024556
29,0.9975592000814691,0.9976488248447629,0.9763988671813587,0.9964029106114592,0.9721986198009296,1.237783327522599,1.1449165111927273,1.172032325642369,1.2930011727108925,0.948822186866267,0.8918553507411129,0.9579549371085471,0.9123479081489391,0.91878446181291
30,0.9977671119132643,0.9978414888512861,0.9759606552010686,0.9966140105091532,0.9715127361681682,1.2423370132542646,1.1457886554856909,1.1729285739136521,1.2971576272004144,0.9474708957594733,0.8889399678328578,0.9568461943940004,0.9095965952093743,0.9165288817233643
