T_in,WWC 100H/X,WWC 130H/X,WWC 160H/X,WWC 190H/X,WWC 220H/X,AQUATOP S08,AQUATOP S11,AQUATOP T28H,AQUATOP T43H,ATLANTIC GEOLIA 10,ATLANTIC GEOLIA 13,ATLANTIC GEOLIA 17,ATLANTIC GEOLIA 5,ATLANTIC GEOLIA 7
-20,0.9873715203235051,0.9882082885251312,0.9978712542155763,0.9860590156244544,1.0058069178062388,1.0146527266709768,1.1021814408375088,1.1281161603495031,1.0893349027243324,1.0150354510991582,1.0347091132456143,1.0122833301213316,1.0471622421876174,1.0293078862006466
-19,0.9875794321553002,0.9884009525316544,0.9974330422352862,0.9862701155221484,1.0051210341734775,1.0192064124026428,1.1030535851304724,1.1290124086207862,1.093491357213854,1.0136841599923643,1.0317937303373592,1.011174587406785,1.0444109292480526,1.027052306111101
-18,0.9877873439870954,0.9885936165381775,0.996994830254996,0.9864812154198423,1.004435150540716,1.0237600981343085,1.1039257294234361,1.129908656892069,1.0976478117033757,1.0123328688855706,1.028878347429104,1.0100658446922384,1.0416596163084877,1.0247967260215554
-17,0.9879952558188907,0.9887862805447005,0.9965566182747059,0.9866923153175364,1.0037492669079546,1.0283137838659742,1.1047978737163997,1.1308049051633522,1.1018042661928973,1.010981577778777,1.0259629645208488,1.0089571019776917,1.0389083033689228,1.0225411459320097
-16,0.9882031676506858,0.9889789445512236,0.9961184062944157,0.9869034152152303,1.0030633832751932,1.0328674695976399,1.1056700180093633,1.131701153434635,1.105960720682419,1.0096302866719833,1.0230475816125937,1.007848359263145,1.036156990429358,1.020285565842464
-15,0.988411079482481,0.9891716085577467,0.9956801943141256,0.9871145151129244,1.0023774996424317,1.0374211553293056,1.106542162302327,1.1325974017059182,1.1101171751719405,1.0082789955651896,1.0201321987043386,1.0067396165485984,1.033405677489793,1.0180299857529185
-14,0.9886189913142762,0.9893642725642698,0.9952419823338354,0.9873256150106183,1.0016916160096705,1.0419748410609715,1.1074143065952906,1.133493649977201,1.1142736296614622,1.0069277044583957,1.0172168157960835,1.0056308738340518,1.0306543645502282,1.0157744056633728
-13,0.9888269031460714,0.9895569365707929,0.9948037703535453,0.9875367149083123,1.001005732376909,1.0465285267926372,1.1082864508882542,1.1343898982484841,1.1184300841509838,1.005576413351602,1.0143014328878284,1.0045221311195054,1.0279030516106633,1.0135188255738272
-12,0.9890348149778665,0.989749600577316,0.9943655583732551,0.9877478148060063,1.0003198487441476,1.051082212524303,1.109158595181218,1.135286146519767,1.1225865386405054,1.0042251222448084,1.0113860499795733,1.0034133884049588,1.0251517386710984,1.0112632454842816
-11,0.9892427268096617,0.9899422645838392,0.993927346392965,0.9879589147037002,0.9996339651113861,1.0556358982559686,1.1100307394741815,1.13618239479105,1.1267429931300272,1.0028738311380148,1.0084706670713182,1.002304645690412,1.0224004257315336,1.0090076653947357
