T_in,Buderus Logatherm WPS 10-1,Buderus Logatherm WPS 10K-1,Buderus Logatherm WPS 13-1,Buderus Logatherm WPS 17-1,Buderus Logatherm WPS 6-1,Buderus Logatherm WPS 6K-1,Buderus Logatherm WPS 8-1,Buderus Logatherm WPS 8K-1,Bosch Compress 6000 10 LW,Bosch Compress 6000 10 LWM,Bosch Compress 6000 13 LW,Bosch Compress 6000 17 LW,Bosch Compress 6000 6 LW,Bosch Compress 6000 6 LWM,Bosch Compress 6000 8 LW,Bosch Compress 6000 8 LWM,AQUATOP S06,AQUATOP S14,AQUATOP S17,AQUATOP T22H,AQUATOP T35H,CTC EcoPart 406 1x230V,CTC EcoPart 406 3x400V,CTC EcoPart 408 1x230V,CTC EcoPart 408 3x400V,CTC EcoPart 410 1x230V,CTC EcoPart 410 3x400V,CTC EcoPart 412 1x230V,CTC EcoPart 412 3x400V,CTC EcoPart 414 1x230V,CTC EcoPart 414 3x400V,CTC EcoPart 417 1x230V,CTC EcoPart 417 3x400V,CTC EcoPart 425 1x230V,CTC EcoPart 425 3x400V,CTC EcoPart 430 1x230V,CTC EcoPart 430 3x400V,CTC EcoAir 435 1x230V,CTC EcoPart 435 3x400V,Star-10,Star-10 RST,Star-12,Star-12 RST,Star-15,Star-17,Star-6,Star-6 RST,Star-8,Star-8 RST,F1145-10 1x230,F1245-10 1x230,F1145-10 3x400,F1145-10 PC 3x400,F1245-10 3x400,F1245-10 PC 3x400,F1145-12 1x230,F1245-12 1x230,F1145-12 3x400,F1245-12 3x400,F1145-15,F1145-17,F1145-5 1x230,F1145-5 PC 1x230,F1145-5 3x400,F1145-5 PC 3x400,F1245-5 1x230,F1245-5 PC 1x230,F1245-5 3x400,F1245-5 PC 3x400,F1145-6 3x400,F1145-6 PC 3x400,F1245-6 3x400,F1245-6 PC 3x400,F1145-8 1x230,F1245-8 1x230,F1145-8 3x400,F1145-8 PC 3x400,F1245-8 3x400,F1245-8 PC 3x400,TERRA 11 HPLA,"TERRA 11 HPLB, average","TERRA 11 HPLB, all climates, low","TERRA 14 HPLA, AVERAGAE CLIMATE","TERRA 14 HPLA, low temperature, all","TERRA 14 HPLB, average climate","TERRA 14 HPLB, all climates, low","TERRA 18 HPLA, average climate","TERRA 18 HPLA, low temperature, all","TERRA 6 HPLA , average climate","TERRA 6 HPLA, low temperature, all","TERRA 6 HPLB, AVERAGE CLIMATE","TERRA 6 HPLB, low temperature, all","TERRA 8 HPLA, low temperature, all","TERRA 8 HPLA , average climate","TERRA 8 HPLB, low temperature, all","TERRA 8 HPLB, average climate","WPF 04, all climates","WPF 04, average climates","WPF 04 cool, all climates","WPF 04 cool, average climates","WPC 04, all climates","WPC 04, average climates","WPC 04 cool, all climates","WPC 04 cool, average climates","WPF 05, average climates","WPC 05, all climates","WPC 05, average climates","WPF 05, all climates","WPF 05 cool, average climates","WPF 05 cool, all climates","WPC 05 cool, average climates","WPC 05 cool, all climates","WPF 07, all climates","WPF 07 cool, all climates","WPC 07, all climates","WPC 07 cool, all climates","WPF 07, average climates","WPF 07 cool, average climates","WPC 07 , average climates","WPC 07 cool, average climates","WPF 10 basic, all climates","WPF 10 basic, average climates",WPF 10,WPF 10 cool,WPC 10,WPC 10 cool,"WPF 13 basic, all climates","WPF 13 basic, average climates",WPF 13,WPF 13 (cool),WPC 13,WPC 13 (cool),"WPF 16 basic, all climates","WPF 16 basic, average climates","WPF 16, average climate","WPF 16, low temperature, all climates","WPF 16 cool, average climate","WPF 16 cool, low temperature, all","WPF 16, average climates","WPF 16, all climates","WPF 16 cool, average climates","WPF 16 cool, all climates",WPF 20,WPF 27 HT,WPF 27,WPF 35,WPF 40,WPF 52,WPF 66,"WPF 7 basic, all climates","WPF 7 basic, average climates","TTF 04, all climates","TTF 04, average climates","TTF 04 cool, all climates","TTF 04 cool, average climates","TTC 04, all climates","TTC 04, average climates","TTC 04 cool, all climates","TTC 04 cool, average climates","TTF 07, all climates","TTF 07, average climates","TTF 07 cool, all climates","TTF 07 cool, average climates","TTC 07, all climates","TTC 07, average climates","TTC 07 cool, all climates","TTC 07 cool, average climates","TTF 10 basic, all climates","TTF 10 basic, average climates","TTF 13 basic, all climates","TTF 13 basic, average climates",TTF 20,TTF 27 HT,TTF 27,TTF 35,TTF 40,TTF 52,TTF 66,"TTF 7 basic, all climates","TTF 7 basic, average climates",VITOCAL 200-G BWC 201.B06,VITOCAL 200-G BWC 201.B06 SC,VITOCAL 222-G BWT 221.B06,VITOCAL 222-G BWT 221.B06 SC,VITOCAL 200-G BWC 201.B08,VITOCAL 200-G BWC 201.B08 SC,VITOCAL 222-G BWT 221.B08,VITOCAL 222-G BWT 221.B08 SC,VITOCAL 200-G BWC 201.B10,VITOCAL 200-G BWC 201.B10 SC,VITOCAL 222-G BWT 221.B10,VITOCAL 222-G BWT 221.B10 SC,Vitocal 200-G BWC 201.B13,Vitocal 200-G BWC 201.B13 SC,VITOCAL 200-G BWC 201.B17,VITOCAL 200-G BWC 201.B17 SC,VITOCAL 200-G BWC-M 201.B06,VITOCAL 222-G BWT-M 221.B06,VITOCAL 222-G BWT-M 221.B06 SC,VITOCAL 200-G BWC-M 201.B08,VITOCAL 222-G BWT-M 221.B08,VITOCAL 222-G BWT-M 221.B08 SC,VITOCAL 200-G BWC-M 201.B10,VITOCAL 222-G BWT-M 221.B10,VITOCAL 222-G BWT-M 221.B10 SC
-20,1.5357461961625767,1.5357461961625767,1.5388033777821868,1.463604335644579,1.4739649242711872,1.4739649242711872,1.5256921092178897,1.5256921092178897,1.5357461961625767,1.5357461961625767,1.5388033777821868,1.463604335644579,1.4739649242711872,1.4739649242711872,1.5256921092178897,1.5256921092178897,1.5320876109814368,1.4982486705193179,1.656029566307419,1.612926208870041,1.506770322391978,1.4233316611977322,1.4233316611977322,1.4400197252288933,1.4400197252288933,1.5758513123552211,1.5758513123552211,1.4242684034105615,1.4242684034105615,1.385405547301912,1.385405547301912,1.437626760900169,1.437626760900169,1.4241220184798624,1.4241220184798624,1.3853161340035758,1.3853161340035758,1.4374686683926992,1.4374686683926992,1.1976591011237352,1.1976591011237352,1.3919087831776702,1.3919087831776702,0.6423501660231199,1.2662793031308235,1.1535516846062288,1.1535516846062288,1.1831659503126455,1.1831659503126455,1.1986979577906767,1.1986979577906767,1.1976591011237352,1.1976591011237352,1.1976591011237352,1.1976591011237352,1.3633981597559237,1.3633981597559237,1.3919087831776702,1.3919087831776702,0.6423501660231199,1.2662793031308235,1.0971826043359592,1.0971826043359592,1.0971826043359592,1.0971826043359592,1.0971826043359592,1.0971826043359592,1.0971826043359592,1.0971826043359592,1.1535516846062288,1.1535516846062288,1.1535516846062288,1.1535516846062288,1.3765541465048856,1.3765541465048856,1.1831659503126455,1.1831659503126455,1.1831659503126455,1.1831659503126455,1.2017144379055047,1.5862034263045879,1.5484975845518891,1.1229254315042536,4.033553461701349,1.5157775437091956,1.516063399635173,1.5379643497735846,1.6036717101215405,1.6481184671399847,1.7549677544659303,1.5388382469284825,1.6292044032480997,1.652406001840034,1.6213336300917014,1.7666455818371332,1.6994035229415034,1.3943105805493952,1.5538304907081244,1.3943105805493952,1.5538304907081244,1.3943105805493952,1.5538304907081244,1.3943105805493952,1.5538304907081244,1.6481184671399847,1.7549677544659303,1.6481184671399847,1.7549677544659303,1.6481184671399847,1.7549677544659303,1.6481184671399847,1.7549677544659303,1.652406001840034,1.652406001840034,1.652406001840034,1.652406001840034,1.6213336300917014,1.6213336300917014,1.6213336300917014,1.6213336300917014,1.6742944522276606,1.7814035993002455,1.2017144379055047,1.2017144379055047,1.2017144379055047,1.2017144379055047,1.6695708686799076,1.691499626509685,1.1229254315042536,1.1229254315042536,1.1229254315042536,1.1229254315042536,1.6791044322340525,1.6791044322340525,1.5379643497735846,1.6036717101215405,1.5379643497735846,1.6036717101215405,1.5379643497735846,1.6036717101215405,1.5379643497735846,1.6036717101215405,1.632522196660766,1.4020949574712738,1.6671354866208916,1.6169634954345316,1.6074460413369065,1.5926891605212923,1.5954657684507605,1.7363330222224174,1.6583249496885988,1.3943105805493952,1.5538304907081244,1.3943105805493952,1.5538304907081244,1.3943105805493952,1.5538304907081244,1.3943105805493952,1.5538304907081244,1.652406001840034,1.6213336300917014,1.652406001840034,1.6213336300917014,1.652406001840034,1.6213336300917014,1.652406001840034,1.6213336300917014,1.6742944522276606,1.7814035993002455,1.6695708686799076,1.691499626509685,1.632522196660766,1.4020949574712738,1.6671354866208916,1.3939610231614479,1.6074460413369065,1.5926891605212923,1.5831570407450086,1.7363330222224174,1.6583249496885988,1.4886725635592377,1.4886725635592377,1.4886725635592377,1.4886725635592377,1.565483465031882,1.565483465031882,1.565483465031882,1.565483465031882,1.5480646244939156,1.5480646244939156,1.5480646244939156,1.5480646244939156,1.4727806880957255,1.4727806880957255,1.462554834473885,1.462554834473885,1.6189008742552398,1.6189008742552398,1.6189008742552398,1.6262170202901947,1.6262170202901947,1.6262170202901947,1.5096471760948347,1.5096471760948347,1.5096471760948347
-19,1.5442325994846287,1.5442325994846287,1.5476442858846597,1.4710478541669194,1.4817690986537968,1.4817690986537968,1.5344269220636984,1.5344269220636984,1.5442325994846287,1.5442325994846287,1.5476442858846597,1.4710478541669194,1.4817690986537968,1.4817690986537968,1.5344269220636984,1.5344269220636984,1.531486854711881,1.4994479331258765,1.6601575787398657,1.61443526015687,1.5006320833758855,1.4309723728936914,1.4309723728936914,1.4486134515856832,1.4486134515856832,1.5518520077445126,1.5518520077445126,1.4310606673876367,1.4310606673876367,1.3917209925630765,1.3917209925630765,1.4447216669576521,1.4447216669576521,1.4309227228159331,1.4309227228159331,1.3916397034484729,1.3916397034484729,1.4445650784296828,1.4445650784296828,1.2030755045078005,1.2030755045078005,1.3993220834292148,1.3993220834292148,0.6498928529645474,1.2719972080092927,1.158319225248455,1.158319225248455,1.1879410743072873,1.1879410743072873,1.2029667666980202,1.2029667666980202,1.2030755045078005,1.2030755045078005,1.2030755045078005,1.2030755045078005,1.3694716950648316,1.3694716950648316,1.3993220834292148,1.3993220834292148,0.6498928529645474,1.2719972080092927,1.1013726356596227,1.1013726356596227,1.1013726356596227,1.1013726356596227,1.1013726356596227,1.1013726356596227,1.1013726356596227,1.1013726356596227,1.158319225248455,1.158319225248455,1.158319225248455,1.158319225248455,1.3832894932525077,1.3832894932525077,1.1879410743072873,1.1879410743072873,1.1879410743072873,1.1879410743072873,1.1864821626176258,1.5956054720633426,1.5527012276445666,1.1061903655558911,4.101459622910708,1.5241446342325407,1.520679349133048,1.546349369883139,1.6100740551840327,1.658233534991832,1.7641437153832915,1.5474356261063271,1.6361187396817531,1.6587044109437301,1.6307061450907918,1.7745267319770504,1.710253716252286,1.3940396990857284,1.5625764357057026,1.3940396990857284,1.5625764357057026,1.3940396990857284,1.5625764357057026,1.3940396990857284,1.5625764357057026,1.658233534991832,1.7641437153832915,1.658233534991832,1.7641437153832915,1.658233534991832,1.7641437153832915,1.658233534991832,1.7641437153832915,1.6587044109437301,1.6587044109437301,1.6587044109437301,1.6587044109437301,1.6307061450907918,1.6307061450907918,1.6307061450907918,1.6307061450907918,1.6786095884625702,1.7941130306839077,1.1864821626176258,1.1864821626176258,1.1864821626176258,1.1864821626176258,1.6747273404410203,1.702396831038199,1.1061903655558911,1.1061903655558911,1.1061903655558911,1.1061903655558911,1.6892719165361045,1.6892719165361045,1.546349369883139,1.6100740551840327,1.546349369883139,1.6100740551840327,1.546349369883139,1.6100740551840327,1.546349369883139,1.6100740551840327,1.6420785987368867,1.4082699586207408,1.677612510424714,1.635598768478545,1.616669874958677,1.6017656009871408,1.60452428392889,1.743184072057059,1.6684850917795835,1.3940396990857284,1.5625764357057026,1.3940396990857284,1.5625764357057026,1.3940396990857284,1.5625764357057026,1.3940396990857284,1.5625764357057026,1.6587044109437301,1.6307061450907918,1.6587044109437301,1.6307061450907918,1.6587044109437301,1.6307061450907918,1.6587044109437301,1.6307061450907918,1.6786095884625702,1.7941130306839077,1.6747273404410203,1.702396831038199,1.6420785987368867,1.4082699586207408,1.677612510424714,1.4171507134263313,1.616669874958677,1.6017656009871408,1.5918630603754442,1.743184072057059,1.6684850917795835,1.4944542610534575,1.4944542610534575,1.4944542610534575,1.4944542610534575,1.5710538506571166,1.5710538506571166,1.5710538506571166,1.5710538506571166,1.5536228975024695,1.5536228975024695,1.5536228975024695,1.5536228975024695,1.478123981266774,1.478123981266774,1.466743629297519,1.466743629297519,1.628060505078082,1.628060505078082,1.628060505078082,1.6331304970201992,1.6331304970201992,1.6331304970201992,1.514785883038739,1.514785883038739,1.514785883038739
-18,1.5527190028066804,1.5527190028066804,1.5564851939871327,1.47849137268926,1.4895732730364064,1.4895732730364064,1.543161734909507,1.543161734909507,1.5527190028066804,1.5527190028066804,1.5564851939871327,1.47849137268926,1.4895732730364064,1.4895732730364064,1.543161734909507,1.543161734909507,1.5308860984423251,1.5006471957324354,1.664285591172312,1.615944311443699,1.494493844359793,1.4386130845896503,1.4386130845896503,1.457207177942473,1.457207177942473,1.527852703133804,1.527852703133804,1.4378529313647122,1.4378529313647122,1.398036437824241,1.398036437824241,1.4518165730151353,1.4518165730151353,1.4377234271520039,1.4377234271520039,1.3979632728933702,1.3979632728933702,1.4516614884666665,1.4516614884666665,1.2084919078918661,1.2084919078918661,1.4067353836807592,1.4067353836807592,0.6574355399059748,1.2777151128877622,1.1630867658906816,1.1630867658906816,1.1927161983019294,1.1927161983019294,1.2072355756053637,1.2072355756053637,1.2084919078918661,1.2084919078918661,1.2084919078918661,1.2084919078918661,1.3755452303737394,1.3755452303737394,1.4067353836807592,1.4067353836807592,0.6574355399059748,1.2777151128877622,1.105562666983286,1.105562666983286,1.105562666983286,1.105562666983286,1.105562666983286,1.105562666983286,1.105562666983286,1.105562666983286,1.1630867658906816,1.1630867658906816,1.1630867658906816,1.1630867658906816,1.39002484000013,1.39002484000013,1.1927161983019294,1.1927161983019294,1.1927161983019294,1.1927161983019294,1.1712498873297468,1.6050075178220968,1.556904870737244,1.0894552996075286,4.169365784120069,1.5325117247558857,1.5252952986309232,1.5547343899926933,1.6164764002465246,1.6683486028436794,1.7733196763006522,1.5560330052841718,1.6430330761154066,1.6650028200474263,1.6400786600898825,1.782407882116968,1.7211039095630682,1.3937688176220617,1.5713223807032808,1.3937688176220617,1.5713223807032808,1.3937688176220617,1.5713223807032808,1.3937688176220617,1.5713223807032808,1.6683486028436794,1.7733196763006522,1.6683486028436794,1.7733196763006522,1.6683486028436794,1.7733196763006522,1.6683486028436794,1.7733196763006522,1.6650028200474263,1.6650028200474263,1.6650028200474263,1.6650028200474263,1.6400786600898825,1.6400786600898825,1.6400786600898825,1.6400786600898825,1.68292472469748,1.80682246206757,1.1712498873297468,1.1712498873297468,1.1712498873297468,1.1712498873297468,1.6798838122021333,1.713294035566713,1.0894552996075286,1.0894552996075286,1.0894552996075286,1.0894552996075286,1.6994394008381566,1.6994394008381566,1.5547343899926933,1.6164764002465246,1.5547343899926933,1.6164764002465246,1.5547343899926933,1.6164764002465246,1.5547343899926933,1.6164764002465246,1.6516350008130074,1.4144449597702078,1.6880895342285362,1.6542340415225583,1.6258937085804472,1.6108420414529894,1.6135827994070193,1.7500351218917007,1.6786452338705682,1.3937688176220617,1.5713223807032808,1.3937688176220617,1.5713223807032808,1.3937688176220617,1.5713223807032808,1.3937688176220617,1.5713223807032808,1.6650028200474263,1.6400786600898825,1.6650028200474263,1.6400786600898825,1.6650028200474263,1.6400786600898825,1.6650028200474263,1.6400786600898825,1.68292472469748,1.80682246206757,1.6798838122021333,1.713294035566713,1.6516350008130074,1.4144449597702078,1.6880895342285362,1.4403404036912146,1.6258937085804472,1.6108420414529894,1.60056908000588,1.7500351218917007,1.6786452338705682,1.5002359585476772,1.5002359585476772,1.5002359585476772,1.5002359585476772,1.576624236282351,1.576624236282351,1.576624236282351,1.576624236282351,1.5591811705110232,1.5591811705110232,1.5591811705110232,1.5591811705110232,1.4834672744378223,1.4834672744378223,1.4709324241211525,1.4709324241211525,1.6372201359009244,1.6372201359009244,1.6372201359009244,1.640043973750204,1.640043973750204,1.640043973750204,1.5199245899826435,1.5199245899826435,1.5199245899826435
-17,1.5612054061287322,1.5612054061287322,1.5653261020896059,1.4859348912116006,1.497377447419016,1.497377447419016,1.5518965477553155,1.5518965477553155,1.5612054061287322,1.5612054061287322,1.5653261020896059,1.4859348912116006,1.497377447419016,1.497377447419016,1.5518965477553155,1.5518965477553155,1.5302853421727696,1.501846458338994,1.6684136036047588,1.617453362730528,1.4883556053437004,1.4462537962856095,1.4462537962856095,1.4658009042992626,1.4658009042992626,1.5038533985230955,1.5038533985230955,1.4446451953417876,1.4446451953417876,1.4043518830854054,1.4043518830854054,1.458911479072618,1.458911479072618,1.4445241314880746,1.4445241314880746,1.4042868423382673,1.4042868423382673,1.4587578985036502,1.4587578985036502,1.2139083112759317,1.2139083112759317,1.4141486839323039,1.4141486839323039,0.6649782268474023,1.2834330177662316,1.167854306532908,1.167854306532908,1.197491322296571,1.197491322296571,1.2115043845127071,1.2115043845127071,1.2139083112759317,1.2139083112759317,1.2139083112759317,1.2139083112759317,1.3816187656826475,1.3816187656826475,1.4141486839323039,1.4141486839323039,0.6649782268474023,1.2834330177662316,1.1097526983069494,1.1097526983069494,1.1097526983069494,1.1097526983069494,1.1097526983069494,1.1097526983069494,1.1097526983069494,1.1097526983069494,1.167854306532908,1.167854306532908,1.167854306532908,1.167854306532908,1.3967601867477524,1.3967601867477524,1.197491322296571,1.197491322296571,1.197491322296571,1.197491322296571,1.1560176120418677,1.6144095635808515,1.5611085138299212,1.0727202336591661,4.237271945329429,1.5408788152792308,1.5299112481287984,1.5631194101022474,1.6228787453090168,1.6784636706955267,1.7824956372180134,1.5646303844620164,1.64994741254906,1.6713012291511224,1.649451175088973,1.7902890322568856,1.7319541028738508,1.3934979361583948,1.580068325700859,1.3934979361583948,1.580068325700859,1.3934979361583948,1.580068325700859,1.3934979361583948,1.580068325700859,1.6784636706955267,1.7824956372180134,1.6784636706955267,1.7824956372180134,1.6784636706955267,1.7824956372180134,1.6784636706955267,1.7824956372180134,1.6713012291511224,1.6713012291511224,1.6713012291511224,1.6713012291511224,1.649451175088973,1.649451175088973,1.649451175088973,1.649451175088973,1.6872398609323898,1.8195318934512321,1.1560176120418677,1.1560176120418677,1.1560176120418677,1.1560176120418677,1.6850402839632461,1.724191240095227,1.0727202336591661,1.0727202336591661,1.0727202336591661,1.0727202336591661,1.7096068851402086,1.7096068851402086,1.5631194101022474,1.6228787453090168,1.5631194101022474,1.6228787453090168,1.5631194101022474,1.6228787453090168,1.5631194101022474,1.6228787453090168,1.6611914028891281,1.4206199609196744,1.6985665580323586,1.6728693145665716,1.6351175422022175,1.619918481918838,1.6226413148851488,1.7568861717263424,1.688805375961553,1.3934979361583948,1.580068325700859,1.3934979361583948,1.580068325700859,1.3934979361583948,1.580068325700859,1.3934979361583948,1.580068325700859,1.6713012291511224,1.649451175088973,1.6713012291511224,1.649451175088973,1.6713012291511224,1.649451175088973,1.6713012291511224,1.649451175088973,1.6872398609323898,1.8195318934512321,1.6850402839632461,1.724191240095227,1.6611914028891281,1.4206199609196744,1.6985665580323586,1.463530093956098,1.6351175422022175,1.619918481918838,1.6092750996363157,1.7568861717263424,1.688805375961553,1.506017656041897,1.506017656041897,1.506017656041897,1.506017656041897,1.5821946219075855,1.5821946219075855,1.5821946219075855,1.5821946219075855,1.564739443519577,1.564739443519577,1.564739443519577,1.564739443519577,1.4888105676088708,1.4888105676088708,1.4751212189447862,1.4751212189447862,1.6463797667237672,1.6463797667237672,1.6463797667237672,1.6469574504802085,1.6469574504802085,1.6469574504802085,1.5250632969265479,1.5250632969265479,1.5250632969265479
-16,1.569691809450784,1.569691809450784,1.5741670101920788,1.493378409733941,1.5051816218016256,1.5051816218016256,1.5606313606011242,1.5606313606011242,1.569691809450784,1.569691809450784,1.5741670101920788,1.493378409733941,1.5051816218016256,1.5051816218016256,1.5606313606011242,1.5606313606011242,1.5296845859032138,1.503045720945553,1.6725416160372055,1.6189624140173573,1.482217366327608,1.4538945079815686,1.4538945079815686,1.4743946306560525,1.4743946306560525,1.479854093912387,1.479854093912387,1.451437459318863,1.451437459318863,1.41066732834657,1.41066732834657,1.4660063851301013,1.4660063851301013,1.4513248358241453,1.4513248358241453,1.4106104117831644,1.4106104117831644,1.4658543085406337,1.4658543085406337,1.2193247146599973,1.2193247146599973,1.4215619841838483,1.4215619841838483,0.6725209137888297,1.2891509226447009,1.1726218471751342,1.1726218471751342,1.2022664462912132,1.2022664462912132,1.2157731934200506,1.2157731934200506,1.2193247146599973,1.2193247146599973,1.2193247146599973,1.2193247146599973,1.3876923009915556,1.3876923009915556,1.4215619841838483,1.4215619841838483,0.6725209137888297,1.2891509226447009,1.1139427296306128,1.1139427296306128,1.1139427296306128,1.1139427296306128,1.1139427296306128,1.1139427296306128,1.1139427296306128,1.1139427296306128,1.1726218471751342,1.1726218471751342,1.1726218471751342,1.1726218471751342,1.4034955334953745,1.4034955334953745,1.2022664462912132,1.2022664462912132,1.2022664462912132,1.2022664462912132,1.1407853367539889,1.6238116093396062,1.5653121569225987,1.0559851677108036,4.30517810653879,1.549245905802576,1.5345271976266734,1.5715044302118018,1.629281090371509,1.688578738547374,1.7916715981353746,1.573227763639861,1.6568617489827135,1.6775996382548186,1.6588236900880635,1.7981701823968033,1.7428042961846333,1.393227054694728,1.5888142706984372,1.393227054694728,1.5888142706984372,1.393227054694728,1.5888142706984372,1.393227054694728,1.5888142706984372,1.688578738547374,1.7916715981353746,1.688578738547374,1.7916715981353746,1.688578738547374,1.7916715981353746,1.688578738547374,1.7916715981353746,1.6775996382548186,1.6775996382548186,1.6775996382548186,1.6775996382548186,1.6588236900880635,1.6588236900880635,1.6588236900880635,1.6588236900880635,1.6915549971672994,1.8322413248348943,1.1407853367539889,1.1407853367539889,1.1407853367539889,1.1407853367539889,1.690196755724359,1.735088444623741,1.0559851677108036,1.0559851677108036,1.0559851677108036,1.0559851677108036,1.7197743694422607,1.7197743694422607,1.5715044302118018,1.629281090371509,1.5715044302118018,1.629281090371509,1.5715044302118018,1.629281090371509,1.5715044302118018,1.629281090371509,1.6707478049652489,1.4267949620691414,1.7090435818361809,1.6915045876105848,1.6443413758239878,1.6289949223846865,1.6316998303632781,1.7637372215609841,1.6989655180525376,1.393227054694728,1.5888142706984372,1.393227054694728,1.5888142706984372,1.393227054694728,1.5888142706984372,1.393227054694728,1.5888142706984372,1.6775996382548186,1.6588236900880635,1.6775996382548186,1.6588236900880635,1.6775996382548186,1.6588236900880635,1.6775996382548186,1.6588236900880635,1.6915549971672994,1.8322413248348943,1.690196755724359,1.735088444623741,1.6707478049652489,1.4267949620691414,1.7090435818361809,1.486719784220981,1.6443413758239878,1.6289949223846865,1.6179811192667513,1.7637372215609841,1.6989655180525376,1.5117993535361167,1.5117993535361167,1.5117993535361167,1.5117993535361167,1.5877650075328202,1.5877650075328202,1.5877650075328202,1.5877650075328202,1.5702977165281309,1.5702977165281309,1.5702977165281309,1.5702977165281309,1.4941538607799192,1.4941538607799192,1.4793100137684199,1.4793100137684199,1.6555393975466095,1.6555393975466095,1.6555393975466095,1.6538709272102132,1.6538709272102132,1.6538709272102132,1.5302020038704522,1.5302020038704522,1.5302020038704522
-15,1.5781782127728357,1.5781782127728357,1.583007918294552,1.5008219282562816,1.5129857961842352,1.5129857961842352,1.5693661734469329,1.5693661734469329,1.5781782127728357,1.5781782127728357,1.583007918294552,1.5008219282562816,1.5129857961842352,1.5129857961842352,1.5693661734469329,1.5693661734469329,1.529083829633658,1.5042449835521117,1.6766696284696518,1.6204714653041865,1.4760791273115155,1.4615352196775278,1.4615352196775278,1.4829883570128422,1.4829883570128422,1.4558547893016784,1.4558547893016784,1.4582297232959383,1.4582297232959383,1.4169827736077343,1.4169827736077343,1.4731012911875845,1.4731012911875845,1.458125540160216,1.458125540160216,1.4169339812280615,1.4169339812280615,1.4729507185776174,1.4729507185776174,1.2247411180440628,1.2247411180440628,1.428975284435393,1.428975284435393,0.6800636007302572,1.2948688275231706,1.1773893878173605,1.1773893878173605,1.207041570285855,1.207041570285855,1.2200420023273941,1.2200420023273941,1.2247411180440628,1.2247411180440628,1.2247411180440628,1.2247411180440628,1.3937658363004632,1.3937658363004632,1.428975284435393,1.428975284435393,0.6800636007302572,1.2948688275231706,1.1181327609542762,1.1181327609542762,1.1181327609542762,1.1181327609542762,1.1181327609542762,1.1181327609542762,1.1181327609542762,1.1181327609542762,1.1773893878173605,1.1773893878173605,1.1773893878173605,1.1773893878173605,1.4102308802429966,1.4102308802429966,1.207041570285855,1.207041570285855,1.207041570285855,1.207041570285855,1.1255530614661098,1.633213655098361,1.569515800015276,1.0392501017624411,4.373084267748151,1.557612996325921,1.5391431471245487,1.579889450321356,1.6356834354340009,1.6986938063992214,1.8008475590527353,1.5818251428177057,1.6637760854163672,1.6838980473585148,1.6681962050871542,1.8060513325367205,1.7536544894954156,1.3929561732310614,1.5975602156960154,1.3929561732310614,1.5975602156960154,1.3929561732310614,1.5975602156960154,1.3929561732310614,1.5975602156960154,1.6986938063992214,1.8008475590527353,1.6986938063992214,1.8008475590527353,1.6986938063992214,1.8008475590527353,1.6986938063992214,1.8008475590527353,1.6838980473585148,1.6838980473585148,1.6838980473585148,1.6838980473585148,1.6681962050871542,1.6681962050871542,1.6681962050871542,1.6681962050871542,1.695870133402209,1.8449507562185565,1.1255530614661098,1.1255530614661098,1.1255530614661098,1.1255530614661098,1.695353227485472,1.745985649152255,1.0392501017624411,1.0392501017624411,1.0392501017624411,1.0392501017624411,1.7299418537443128,1.7299418537443128,1.579889450321356,1.6356834354340009,1.579889450321356,1.6356834354340009,1.579889450321356,1.6356834354340009,1.579889450321356,1.6356834354340009,1.6803042070413696,1.432969963218608,1.7195206056400032,1.710139860654598,1.653565209445758,1.6380713628505348,1.6407583458414077,1.7705882713956256,1.7091256601435223,1.3929561732310614,1.5975602156960154,1.3929561732310614,1.5975602156960154,1.3929561732310614,1.5975602156960154,1.3929561732310614,1.5975602156960154,1.6838980473585148,1.6681962050871542,1.6838980473585148,1.6681962050871542,1.6838980473585148,1.6681962050871542,1.6838980473585148,1.6681962050871542,1.695870133402209,1.8449507562185565,1.695353227485472,1.745985649152255,1.6803042070413696,1.432969963218608,1.7195206056400032,1.5099094744858643,1.653565209445758,1.6380713628505348,1.6266871388971869,1.7705882713956256,1.7091256601435223,1.5175810510303367,1.5175810510303367,1.5175810510303367,1.5175810510303367,1.5933353931580547,1.5933353931580547,1.5933353931580547,1.5933353931580547,1.5758559895366846,1.5758559895366846,1.5758559895366846,1.5758559895366846,1.4994971539509674,1.4994971539509674,1.4834988085920537,1.4834988085920537,1.6646990283694523,1.6646990283694523,1.6646990283694523,1.6607844039402178,1.6607844039402178,1.6607844039402178,1.5353407108143566,1.5353407108143566,1.5353407108143566
