T_in,LW 180 (L),LW 180A,LW 251 (L),LW 251A,LW 310 (L),LW 310A
-20,1.1995025814549993,1.1995025814549993,1.2403649561375176,1.2403649561375176,1.2480932148247845,1.2480932148247845
-19,1.1883690484164748,1.1883690484164748,1.2285218486413123,1.2285218486413123,1.2355879625267567,1.2355879625267567
-18,1.1772355153779503,1.1772355153779503,1.2166787411451072,1.2166787411451072,1.223082710228729,1.223082710228729
-17,1.1661019823394259,1.1661019823394259,1.204835633648902,1.204835633648902,1.2105774579307012,1.2105774579307012
-16,1.1549684493009016,1.1549684493009016,1.1929925261526968,1.1929925261526968,1.1980722056326734,1.1980722056326734
-15,1.143834916262377,1.143834916262377,1.1811494186564915,1.1811494186564915,1.1855669533346458,1.1855669533346458
-14,1.1327013832238526,1.1327013832238526,1.1693063111602862,1.1693063111602862,1.173061701036618,1.173061701036618
-13,1.1215678501853281,1.1215678501853281,1.157463203664081,1.157463203664081,1.1605564487385902,1.1605564487385902
-12,1.1104343171468039,1.1104343171468039,1.1456200961678757,1.1456200961678757,1.1480511964405626,1.1480511964405626
-11,1.0993007841082794,1.0993007841082794,1.1337769886716704,1.1337769886716704,1.1355459441425348,1.1355459441425348
-10,1.0881672510697549,1.0881672510697549,1.1219338811754653,1.1219338811754653,1.123040691844507,1.123040691844507
-9,1.0770337180312304,1.0770337180312304,1.11009077367926,1.11009077367926,1.1105354395464795,1.1105354395464795
-8,1.065900184992706,1.065900184992706,1.098247666183055,1.098247666183055,1.0980301872484517,1.0980301872484517
-7,1.0547666519541816,1.0547666519541816,1.0864045586868496,1.0864045586868496,1.085524934950424,1.085524934950424
-6,1.0436331189156571,1.0436331189156571,1.0745614511906443,1.0745614511906443,1.0730196826523961,1.0730196826523961
-5,1.0324995858771326,1.0324995858771326,1.0627183436944392,1.0627183436944392,1.0605144303543685,1.0605144303543685
-4,1.0213660528386082,1.0213660528386082,1.0508752361982339,1.0508752361982339,1.0480091780563408,1.0480091780563408
-3,1.0102325198000837,1.0102325198000837,1.0390321287020285,1.0390321287020285,1.035503925758313,1.035503925758313
-2,0.9990989867615593,0.9990989867615593,1.0271890212058234,1.0271890212058234,1.0229986734602852,1.0229986734602852
-1,0.9879654537230349,0.9879654537230349,1.0153459137096181,1.0153459137096181,1.0104934211622576,1.0104934211622576
0,0.9768319206845104,0.9768319206845104,1.003502806213413,1.003502806213413,0.9979881688642298,0.9979881688642298
1,0.9656983876459859,0.9656983876459859,0.9916596987172077,0.9916596987172077,0.9854829165662021,0.9854829165662021
2,0.9545648546074615,0.9545648546074615,0.9798165912210025,0.9798165912210025,0.9729776642681743,0.9729776642681743
3,0.9434313215689372,0.9434313215689372,0.9679734837247972,0.9679734837247972,0.9604724119701467,0.9604724119701467
4,0.9322977885304127,0.9322977885304127,0.956130376228592,0.956130376228592,0.9479671596721189,0.9479671596721189
5,0.9211642554918882,0.9211642554918882,0.9442872687323868,0.9442872687323868,0.9354619073740912,0.9354619073740912
6,0.9100307224533637,0.9100307224533637,0.9324441612361816,0.9324441612361816,0.9229566550760635,0.9229566550760635
7,0.8988971894148393,0.8988971894148393,0.9206010537399762,0.9206010537399762,0.9104514027780357,0.9104514027780357
8,0.8877636563763149,0.8877636563763149,0.908757946243771,0.908757946243771,0.8979461504800079,0.8979461504800079
9,0.8766301233377904,0.8766301233377904,0.8969148387475658,0.8969148387475658,0.8854408981819802,0.8854408981819802
10,0.865496590299266,0.865496590299266,0.8850717312513606,0.8850717312513606,0.8729356458839526,0.8729356458839526
11,0.8543630572607416,0.8543630572607416,0.8732286237551553,0.8732286237551553,0.8604303935859248,0.8604303935859248
12,0.8432295242222171,0.8432295242222171,0.8613855162589501,0.8613855162589501,0.8479251412878971,0.8479251412878971
13,0.8320959911836927,0.8320959911836927,0.8495424087627449,0.8495424087627449,0.8354198889898693,0.8354198889898693
14,0.8209624581451682,0.8209624581451682,0.8376993012665397,0.8376993012665397,0.8229146366918416,0.8229146366918416
15,0.8098289251066437,0.8098289251066437,0.8258561937703344,0.8258561937703344,0.8104093843938138,0.8104093843938138
16,0.7986953920681193,0.7986953920681193,0.8140130862741292,0.8140130862741292,0.7979041320957861,0.7979041320957861
17,0.787561859029595,0.787561859029595,0.802169978777924,0.802169978777924,0.7853988797977585,0.7853988797977585
18,0.7764283259910705,0.7764283259910705,0.7903268712817186,0.7903268712817186,0.7728936274997307,0.7728936274997307
19,0.765294792952546,0.765294792952546,0.7784837637855134,0.7784837637855134,0.760388375201703,0.760388375201703
20,0.7541612599140215,0.7541612599140215,0.7666406562893082,0.7666406562893082,0.7478831229036752,0.7478831229036752
21,0.7430277268754971,0.7430277268754971,0.754797548793103,0.754797548793103,0.7353778706056475,0.7353778706056475
22,0.7318941938369727,0.7318941938369727,0.7429544412968978,0.7429544412968978,0.7228726183076197,0.7228726183076197
23,0.7207606607984482,0.7207606607984482,0.7311113338006925,0.7311113338006925,0.710367366009592,0.710367366009592
24,0.7096271277599238,0.7096271277599238,0.7192682263044873,0.7192682263044873,0.6978621137115644,0.6978621137115644
25,0.6984935947213993,0.6984935947213993,0.7074251188082821,0.7074251188082821,0.6853568614135366,0.6853568614135366
26,0.6873600616828749,0.6873600616828749,0.6955820113120768,0.6955820113120768,0.6728516091155088,0.6728516091155088
27,0.6762265286443505,0.6762265286443505,0.6837389038158715,0.6837389038158715,0.6603463568174811,0.6603463568174811
28,0.665092995605826,0.665092995605826,0.6718957963196663,0.6718957963196663,0.6478411045194534,0.6478411045194534
29,0.6539594625673015,0.6539594625673015,0.6600526888234611,0.6600526888234611,0.6353358522214256,0.6353358522214256
30,0.642825929528777,0.642825929528777,0.6482095813272559,0.6482095813272559,0.622830599923398,0.622830599923398
